Country,Timeframe,Sex,Year,Age,mx
GBRTENW,Period,Female,1842,27,0.00999
GBRTENW,Period,Female,1842,28,0.01006
GBRTENW,Period,Female,1842,29,0.01009
GBRTENW,Period,Female,1842,30,0.01010
GBRTENW,Period,Female,1842,31,0.01009
GBRTENW,Period,Female,1842,32,0.01013
GBRTENW,Period,Female,1842,33,0.01024
GBRTENW,Period,Female,1842,34,0.01043
GBRTENW,Period,Female,1842,35,0.01096
GBRTENW,Period,Female,1842,36,0.01194
GBRTENW,Period,Female,1842,37,0.01268
GBRTENW,Period,Female,1842,38,0.01292
GBRTENW,Period,Female,1842,39,0.01306
GBRTENW,Period,Female,1842,40,0.01277
GBRTENW,Period,Female,1842,41,0.01210
GBRTENW,Period,Female,1842,42,0.01179
GBRTENW,Period,Female,1842,43,0.01190
GBRTENW,Period,Female,1842,44,0.01212
GBRTENW,Period,Female,1842,45,0.01281
GBRTENW,Period,Female,1842,46,0.01414
GBRTENW,Period,Female,1842,47,0.01529
GBRTENW,Period,Female,1842,48,0.01580
GBRTENW,Period,Female,1842,49,0.01614
GBRTENW,Period,Female,1842,50,0.01602
GBRTENW,Period,Female,1842,51,0.01541
GBRTENW,Period,Female,1842,52,0.01528
GBRTENW,Period,Female,1842,53,0.01584
GBRTENW,Period,Female,1842,54,0.01666
GBRTENW,Period,Female,1842,55,0.01866
GBRTENW,Period,Female,1842,56,0.02285
GBRTENW,Period,Female,1842,57,0.02676
GBRTENW,Period,Female,1842,58,0.02863
GBRTENW,Period,Female,1842,59,0.03040
GBRTENW,Period,Female,1842,60,0.03027
GBRTENW,Period,Female,1842,61,0.02815
GBRTENW,Period,Female,1842,62,0.02808
GBRTENW,Period,Female,1842,63,0.03018
GBRTENW,Period,Female,1842,64,0.03269
GBRTENW,Period,Female,1842,65,0.03742
GBRTENW,Period,Female,1842,66,0.04637
GBRTENW,Period,Female,1842,67,0.05458
GBRTENW,Period,Female,1842,68,0.05887
GBRTENW,Period,Female,1842,69,0.06316
GBRTENW,Period,Female,1842,70,0.06569
GBRTENW,Period,Female,1842,71,0.06579
GBRTENW,Period,Female,1842,72,0.06791
GBRTENW,Period,Female,1842,73,0.07277
GBRTENW,Period,Female,1842,74,0.07797
GBRTENW,Period,Female,1842,75,0.08704
GBRTENW,Period,Female,1842,76,0.10386
GBRTENW,Period,Female,1842,77,0.11912
GBRTENW,Period,Female,1842,78,0.12815
GBRTENW,Period,Female,1842,79,0.13848
GBRTENW,Period,Female,1842,80,0.12082
GBRTENW,Period,Female,1842,81,0.13115
GBRTENW,Period,Female,1842,82,0.14292
GBRTENW,Period,Female,1842,83,0.15651
GBRTENW,Period,Female,1842,84,0.16948
GBRTENW,Period,Female,1842,85,0.18041
GBRTENW,Period,Female,1842,86,0.19498
GBRTENW,Period,Female,1842,87,0.21059
GBRTENW,Period,Female,1842,88,0.22725
GBRTENW,Period,Female,1842,89,0.24502
GBRTENW,Period,Female,1842,90,0.26395
GBRTENW,Period,Female,1842,91,0.28407
GBRTENW,Period,Female,1842,92,0.30550
GBRTENW,Period,Female,1842,93,0.32819
GBRTENW,Period,Female,1842,94,0.35208
GBRTENW,Period,Female,1842,95,0.37740
GBRTENW,Period,Female,1842,96,0.40412
GBRTENW,Period,Female,1842,97,0.43213
GBRTENW,Period,Female,1842,98,0.46165
GBRTENW,Period,Female,1842,99,0.49345
GBRTENW,Period,Female,1842,100,0.52761
GBRTENW,Period,Female,1842,101,0.56607
GBRTENW,Period,Female,1842,102,0.60906
GBRTENW,Period,Female,1842,103,0.65146
GBRTENW,Period,Female,1842,104,0.71451
GBRTENW,Period,Female,1842,105,0.82759
GBRTENW,Period,Female,1842,106,0.96267
GBRTENW,Period,Female,1842,107,1.43195
GBRTENW,Period,Female,1842,108,4.17647
GBRTENW,Period,Female,1842,109,"NA"
GBRTENW,Period,Female,1842,110,"NA"
GBRTENW,Period,Female,1843,0,0.14823
GBRTENW,Period,Female,1843,1,0.06331
GBRTENW,Period,Female,1843,2,0.03363
GBRTENW,Period,Female,1843,3,0.02320
GBRTENW,Period,Female,1843,4,0.01703
GBRTENW,Period,Female,1843,5,0.01304
GBRTENW,Period,Female,1843,6,0.01016
GBRTENW,Period,Female,1843,7,0.00768
GBRTENW,Period,Female,1843,8,0.00601
GBRTENW,Period,Female,1843,9,0.00510
GBRTENW,Period,Female,1843,10,0.00474
GBRTENW,Period,Female,1843,11,0.00466
GBRTENW,Period,Female,1843,12,0.00475
GBRTENW,Period,Female,1843,13,0.00501
GBRTENW,Period,Female,1843,14,0.00548
GBRTENW,Period,Female,1843,15,0.00614
GBRTENW,Period,Female,1843,16,0.00677
GBRTENW,Period,Female,1843,17,0.00730
GBRTENW,Period,Female,1843,18,0.00782
GBRTENW,Period,Female,1843,19,0.00831
GBRTENW,Period,Female,1843,20,0.00872
GBRTENW,Period,Female,1843,21,0.00886
GBRTENW,Period,Female,1843,22,0.00872
GBRTENW,Period,Female,1843,23,0.00870
GBRTENW,Period,Female,1843,24,0.00877
GBRTENW,Period,Female,1843,25,0.00881
GBRTENW,Period,Female,1843,26,0.00901
GBRTENW,Period,Female,1843,27,0.00941
GBRTENW,Period,Female,1843,28,0.00971
GBRTENW,Period,Female,1843,29,0.00981
GBRTENW,Period,Female,1843,30,0.00989
GBRTENW,Period,Female,1843,31,0.00995
GBRTENW,Period,Female,1843,32,0.01001
GBRTENW,Period,Female,1843,33,0.01012
GBRTENW,Period,Female,1843,34,0.01032
GBRTENW,Period,Female,1843,35,0.01061
GBRTENW,Period,Female,1843,36,0.01121
GBRTENW,Period,Female,1843,37,0.01222
GBRTENW,Period,Female,1843,38,0.01298
GBRTENW,Period,Female,1843,39,0.01324
GBRTENW,Period,Female,1843,40,0.01337
GBRTENW,Period,Female,1843,41,0.01309
GBRTENW,Period,Female,1843,42,0.01241
GBRTENW,Period,Female,1843,43,0.01206
GBRTENW,Period,Female,1843,44,0.01210
GBRTENW,Period,Female,1843,45,0.01226
GBRTENW,Period,Female,1843,46,0.01290
GBRTENW,Period,Female,1843,47,0.01418
GBRTENW,Period,Female,1843,48,0.01526
GBRTENW,Period,Female,1843,49,0.01575
GBRTENW,Period,Female,1843,50,0.01612
GBRTENW,Period,Female,1843,51,0.01605
GBRTENW,Period,Female,1843,52,0.01552
GBRTENW,Period,Female,1843,53,0.01550
GBRTENW,Period,Female,1843,54,0.01622
GBRTENW,Period,Female,1843,55,0.01722
GBRTENW,Period,Female,1843,56,0.01941
GBRTENW,Period,Female,1843,57,0.02371
GBRTENW,Period,Female,1843,58,0.02767
GBRTENW,Period,Female,1843,59,0.02973
GBRTENW,Period,Female,1843,60,0.03169
GBRTENW,Period,Female,1843,61,0.03182
GBRTENW,Period,Female,1843,62,0.02999
GBRTENW,Period,Female,1843,63,0.03013
GBRTENW,Period,Female,1843,64,0.03246
GBRTENW,Period,Female,1843,65,0.03518
GBRTENW,Period,Female,1843,66,0.04004
GBRTENW,Period,Female,1843,67,0.04899
GBRTENW,Period,Female,1843,68,0.05715
GBRTENW,Period,Female,1843,69,0.06162
GBRTENW,Period,Female,1843,70,0.06616
GBRTENW,Period,Female,1843,71,0.06906
GBRTENW,Period,Female,1843,72,0.06960
GBRTENW,Period,Female,1843,73,0.07225
GBRTENW,Period,Female,1843,74,0.07779
GBRTENW,Period,Female,1843,75,0.08376
GBRTENW,Period,Female,1843,76,0.09369
GBRTENW,Period,Female,1843,77,0.11157
GBRTENW,Period,Female,1843,78,0.12805
GBRTENW,Period,Female,1843,79,0.13856
GBRTENW,Period,Female,1843,80,0.11996
GBRTENW,Period,Female,1843,81,0.13220
GBRTENW,Period,Female,1843,82,0.14358
GBRTENW,Period,Female,1843,83,0.15636
GBRTENW,Period,Female,1843,84,0.17076
GBRTENW,Period,Female,1843,85,0.18005
GBRTENW,Period,Female,1843,86,0.19440
GBRTENW,Period,Female,1843,87,0.20965
GBRTENW,Period,Female,1843,88,0.22586
GBRTENW,Period,Female,1843,89,0.24299
GBRTENW,Period,Female,1843,90,0.26107
GBRTENW,Period,Female,1843,91,0.28011
GBRTENW,Period,Female,1843,92,0.30012
GBRTENW,Period,Female,1843,93,0.32119
GBRTENW,Period,Female,1843,94,0.34318
GBRTENW,Period,Female,1843,95,0.36597
GBRTENW,Period,Female,1843,96,0.38987
GBRTENW,Period,Female,1843,97,0.41479
GBRTENW,Period,Female,1843,98,0.44051
GBRTENW,Period,Female,1843,99,0.46724
GBRTENW,Period,Female,1843,100,0.49656
GBRTENW,Period,Female,1843,101,0.52868
