year,sex,age,mx,age_start,age_width
1953,male,20-24,0.00157,20,5
1954,male,20-24,0.00150,20,5
1955,male,20-24,0.00157,20,5
1956,male,20-24,0.00140,20,5
1957,male,20-24,0.00150,20,5
1958,male,20-24,0.00139,20,5
1959,male,20-24,0.00135,20,5
1960,male,20-24,0.00126,20,5
1961,male,20-24,0.00138,20,5
1962,male,20-24,0.00134,20,5
1963,male,20-24,0.00142,20,5
1964,male,20-24,0.00151,20,5
1965,male,20-24,0.00151,20,5
1966,male,20-24,0.00153,20,5
1967,male,20-24,0.00159,20,5
1968,male,20-24,0.00156,20,5
1969,male,20-24,0.00166,20,5
1970,male,20-24,0.00162,20,5
1971,male,20-24,0.00175,20,5
1972,male,20-24,0.00186,20,5
1973,male,20-24,0.00183,20,5
1974,male,20-24,0.00172,20,5
1975,male,20-24,0.00170,20,5
1976,male,20-24,0.00184,20,5
1977,male,20-24,0.00177,20,5
1978,male,20-24,0.00171,20,5
1979,male,20-24,0.00180,20,5
1980,male,20-24,0.00186,20,5
1981,male,20-24,0.00176,20,5
1982,male,20-24,0.00176,20,5
1983,male,20-24,0.00177,20,5
1984,male,20-24,0.00174,20,5
1985,male,20-24,0.00156,20,5
1986,male,20-24,0.00158,20,5
1987,male,20-24,0.00148,20,5
1988,male,20-24,0.00151,20,5
1989,male,20-24,0.00154,20,5
1990,male,20-24,0.00152,20,5
1991,male,20-24,0.00151,20,5
1992,male,20-24,0.00142,20,5
1993,male,20-24,0.00142,20,5
1994,male,20-24,0.00135,20,5
1995,male,20-24,0.00125,20,5
1996,male,20-24,0.00119,20,5
1997,male,20-24,0.00116,20,5
1998,male,20-24,0.00113,20,5
1999,male,20-24,0.00112,20,5
1925,total,20-24,0.00585,20,5
1926,total,20-24,0.00595,20,5
1927,total,20-24,0.00555,20,5
1928,total,20-24,0.00540,20,5
1929,total,20-24,0.00558,20,5
1930,total,20-24,0.00505,20,5
1931,total,20-24,0.00511,20,5
1932,total,20-24,0.00483,20,5
1933,total,20-24,0.00442,20,5
1934,total,20-24,0.00434,20,5
1935,total,20-24,0.00440,20,5
1936,total,20-24,0.00418,20,5
1937,total,20-24,0.00414,20,5
1938,total,20-24,0.00430,20,5
1939,total,20-24,0.00392,20,5
1940,total,20-24,0.00366,20,5
1941,total,20-24,0.00355,20,5
1942,total,20-24,0.00378,20,5
1943,total,20-24,0.00384,20,5
1944,total,20-24,0.00794,20,5
1945,total,20-24,0.00397,20,5
1946,total,20-24,0.00271,20,5
1947,total,20-24,0.00239,20,5
1948,total,20-24,0.00199,20,5
1949,total,20-24,0.00172,20,5
1950,total,20-24,0.00155,20,5
1951,total,20-24,0.00146,20,5
1952,total,20-24,0.00130,20,5
1953,total,20-24,0.00126,20,5
1954,total,20-24,0.00117,20,5
1955,total,20-24,0.00117,20,5
1956,total,20-24,0.00105,20,5
1957,total,20-24,0.00111,20,5
1958,total,20-24,0.00103,20,5
1959,total,20-24,0.00104,20,5
1960,total,20-24,0.00099,20,5
1961,total,20-24,0.00100,20,5
1962,total,20-24,0.00100,20,5
1963,total,20-24,0.00107,20,5
1964,total,20-24,0.00108,20,5
1965,total,20-24,0.00110,20,5
1966,total,20-24,0.00110,20,5
1967,total,20-24,0.00116,20,5
1968,total,20-24,0.00112,20,5
1969,total,20-24,0.00116,20,5
1970,total,20-24,0.00112,20,5
1971,total,20-24,0.00120,20,5
1972,total,20-24,0.00127,20,5
1973,total,20-24,0.00126,20,5
1974,total,20-24,0.00116,20,5
1975,total,20-24,0.00115,20,5
1976,total,20-24,0.00122,20,5
1977,total,20-24,0.00120,20,5
1978,total,20-24,0.00114,20,5
1979,total,20-24,0.00118,20,5
1980,total,20-24,0.00122,20,5
1981,total,20-24,0.00115,20,5
1982,total,20-24,0.00115,20,5
1983,total,20-24,0.00117,20,5
1984,total,20-24,0.00114,20,5
1985,total,20-24,0.00104,20,5
1986,total,20-24,0.00104,20,5
1987,total,20-24,0.00097,20,5
1988,total,20-24,0.00098,20,5
1989,total,20-24,0.00101,20,5
1990,total,20-24,0.00097,20,5
1991,total,20-24,0.00098,20,5
1992,total,20-24,0.00092,20,5
1993,total,20-24,0.00093,20,5
1994,total,20-24,0.00088,20,5
1995,total,20-24,0.00084,20,5
1996,total,20-24,0.00081,20,5
1997,total,20-24,0.00078,20,5
1998,total,20-24,0.00077,20,5
1999,total,20-24,0.00076,20,5
1925,female,25-29,0.00558,25,5
1926,female,25-29,0.00561,25,5
1927,female,25-29,0.00532,25,5
1928,female,25-29,0.00529,25,5
1929,female,25-29,0.00539,25,5
1930,female,25-29,0.00489,25,5
1931,female,25-29,0.00489,25,5
1932,female,25-29,0.00453,25,5
1933,female,25-29,0.00442,25,5
1934,female,25-29,0.00420,25,5
1935,female,25-29,0.00422,25,5
1936,female,25-29,0.00389,25,5
1937,female,25-29,0.00409,25,5
1938,female,25-29,0.00395,25,5
1939,female,25-29,0.00369,25,5
1940,female,25-29,0.00418,25,5
1941,female,25-29,0.00383,25,5
1942,female,25-29,0.00382,25,5
1943,female,25-29,0.00398,25,5
1944,female,25-29,0.00505,25,5
1945,female,25-29,0.00348,25,5
1946,female,25-29,0.00281,25,5
1947,female,25-29,0.00238,25,5
1948,female,25-29,0.00204,25,5
1949,female,25-29,0.00188,25,5
1950,female,25-29,0.00161,25,5
1951,female,25-29,0.00161,25,5
1952,female,25-29,0.00128,25,5
1953,female,25-29,0.00121,25,5
1954,female,25-29,0.00109,25,5
1955,female,25-29,0.00104,25,5
1956,female,25-29,0.00097,25,5
1957,female,25-29,0.00095,25,5
1958,female,25-29,0.00084,25,5
1959,female,25-29,0.00083,25,5
1960,female,25-29,0.00082,25,5
1961,female,25-29,0.00079,25,5
1962,female,25-29,0.00076,25,5
1963,female,25-29,0.00081,25,5
1964,female,25-29,0.00068,25,5
1965,female,25-29,0.00074,25,5
1966,female,25-29,0.00074,25,5
1967,female,25-29,0.00075,25,5
1968,female,25-29,0.00070,25,5
1969,female,25-29,0.00072,25,5
1970,female,25-29,0.00068,25,5
1971,female,25-29,0.00067,25,5
1972,female,25-29,0.00068,25,5
1973,female,25-29,0.00063,25,5
1974,female,25-29,0.00062,25,5
1975,female,25-29,0.00063,25,5
1976,female,25-29,0.00063,25,5
1977,female,25-29,0.00065,25,5
1978,female,25-29,0.00059,25,5
1979,female,25-29,0.00058,25,5
1980,female,25-29,0.00060,25,5
1981,female,25-29,0.00059,25,5
1982,female,25-29,0.00060,25,5
1983,female,25-29,0.00064,25,5
1984,female,25-29,0.00059,25,5
1985,female,25-29,0.00057,25,5
1986,female,25-29,0.00056,25,5
1987,female,25-29,0.00052,25,5
1988,female,25-29,0.00055,25,5
1989,female,25-29,0.00054,25,5
1990,female,25-29,0.00055,25,5
1991,female,25-29,0.00057,25,5
1992,female,25-29,0.00056,25,5
1993,female,25-29,0.00056,25,5
1994,female,25-29,0.00054,25,5
1995,female,25-29,0.00053,25,5
1996,female,25-29,0.00049,25,5
1997,female,25-29,0.00041,25,5
1998,female,25-29,0.00042,25,5
1999,female,25-29,0.00040,25,5
1925,male,25-29,0.00602,25,5
1926,male,25-29,0.00591,25,5
1927,male,25-29,0.00565,25,5
1928,male,25-29,0.00561,25,5
1929,male,25-29,0.00585,25,5
1930,male,25-29,0.00552,25,5
1931,male,25-29,0.00544,25,5
1932,male,25-29,0.00515,25,5
1933,male,25-29,0.00498,25,5
1934,male,25-29,0.00497,25,5
1935,male,25-29,0.00486,25,5
1936,male,25-29,0.00478,25,5
1937,male,25-29,0.00487,25,5
1938,male,25-29,0.00491,25,5
1939,male,25-29,0.00448,25,5
1940,male,25-29,0.00473,25,5
1941,male,25-29,0.00518,25,5
1942,male,25-29,0.00428,25,5
1943,male,25-29,0.00501,25,5
1944,male,25-29,0.01124,25,5
1945,male,25-29,0.00546,25,5
1946,male,25-29,0.00346,25,5
1947,male,25-29,0.00304,25,5
1948,male,25-29,0.00269,25,5
1949,male,25-29,0.00236,25,5
1950,male,25-29,0.00226,25,5
1951,male,25-29,0.00223,25,5
1952,male,25-29,0.00191,25,5
1953,male,25-29,0.00190,25,5
1954,male,25-29,0.00181,25,5
1955,male,25-29,0.00187,25,5
1956,male,25-29,0.00179,25,5
1957,male,25-29,0.00201,25,5
1958,male,25-29,0.00184,25,5
1959,male,25-29,0.00179,25,5
1960,male,25-29,0.00161,25,5
1961,male,25-29,0.00176,25,5
1962,male,25-29,0.00163,25,5
1963,male,25-29,0.00165,25,5
1964,male,25-29,0.00169,25,5
1965,male,25-29,0.00160,25,5
1966,male,25-29,0.00167,25,5
1967,male,25-29,0.00159,25,5
1968,male,25-29,0.00157,25,5
1969,male,25-29,0.00162,25,5
1970,male,25-29,0.00158,25,5
1971,male,25-29,0.00158,25,5
1972,male,25-29,0.00160,25,5
1973,male,25-29,0.00151,25,5
1974,male,25-29,0.00145,25,5
1975,male,25-29,0.00143,25,5
1976,male,25-29,0.00149,25,5
1977,male,25-29,0.00147,25,5
1978,male,25-29,0.00145,25,5
1979,male,25-29,0.00153,25,5
1980,male,25-29,0.00156,25,5
1981,male,25-29,0.00153,25,5
1982,male,25-29,0.00157,25,5
1983,male,25-29,0.00159,25,5
1984,male,25-29,0.00159,25,5
1985,male,25-29,0.00156,25,5
1986,male,25-29,0.00151,25,5
1987,male,25-29,0.00150,25,5
1988,male,25-29,0.00149,25,5
1989,male,25-29,0.00159,25,5
1990,male,25-29,0.00163,25,5
1991,male,25-29,0.00168,25,5
1992,male,25-29,0.00164,25,5
1993,male,25-29,0.00159,25,5
1994,male,25-29,0.00157,25,5
1995,male,25-29,0.00152,25,5
1996,male,25-29,0.00135,25,5
1997,male,25-29,0.00123,25,5
1998,male,25-29,0.00119,25,5
1999,male,25-29,0.00115,25,5
1925,total,25-29,0.00579,25,5
1926,total,25-29,0.00576,25,5
1927,total,25-29,0.00549,25,5
1928,total,25-29,0.00545,25,5
1929,total,25-29,0.00562,25,5
1930,total,25-29,0.00521,25,5
1931,total,25-29,0.00517,25,5
1932,total,25-29,0.00485,25,5
1933,total,25-29,0.00471,25,5
1934,total,25-29,0.00459,25,5
1935,total,25-29,0.00454,25,5
1936,total,25-29,0.00433,25,5
1937,total,25-29,0.00448,25,5
1938,total,25-29,0.00443,25,5
1939,total,25-29,0.00408,25,5
1940,total,25-29,0.00444,25,5
1941,total,25-29,0.00446,25,5
1942,total,25-29,0.00405,25,5
1943,total,25-29,0.00449,25,5
1944,total,25-29,0.00810,25,5
1945,total,25-29,0.00446,25,5
1946,total,25-29,0.00313,25,5
1947,total,25-29,0.00271,25,5
1948,total,25-29,0.00236,25,5
1949,total,25-29,0.00212,25,5
1950,total,25-29,0.00193,25,5
1951,total,25-29,0.00192,25,5
1952,total,25-29,0.00160,25,5
1953,total,25-29,0.00156,25,5
1954,total,25-29,0.00146,25,5
1955,total,25-29,0.00147,25,5
1956,total,25-29,0.00139,25,5
1957,total,25-29,0.00149,25,5
1958,total,25-29,0.00135,25,5
1959,total,25-29,0.00132,25,5
1960,total,25-29,0.00123,25,5
1961,total,25-29,0.00129,25,5
1962,total,25-29,0.00121,25,5
1963,total,25-29,0.00124,25,5
1964,total,25-29,0.00120,25,5
1965,total,25-29,0.00118,25,5
1966,total,25-29,0.00121,25,5
1967,total,25-29,0.00118,25,5
1968,total,25-29,0.00114,25,5
1969,total,25-29,0.00118,25,5
1970,total,25-29,0.00115,25,5
1971,total,25-29,0.00114,25,5
1972,total,25-29,0.00116,25,5
1973,total,25-29,0.00109,25,5
1974,total,25-29,0.00104,25,5
1975,total,25-29,0.00104,25,5
1976,total,25-29,0.00107,25,5
1977,total,25-29,0.00107,25,5
1978,total,25-29,0.00102,25,5
1979,total,25-29,0.00105,25,5
1980,total,25-29,0.00107,25,5
1981,total,25-29,0.00105,25,5
1982,total,25-29,0.00108,25,5
1983,total,25-29,0.00110,25,5
1984,total,25-29,0.00108,25,5
1985,total,25-29,0.00106,25,5
1986,total,25-29,0.00102,25,5
1987,total,25-29,0.00100,25,5
1988,total,25-29,0.00101,25,5
1989,total,25-29,0.00106,25,5
1990,total,25-29,0.00108,25,5
1991,total,25-29,0.00112,25,5
1992,total,25-29,0.00109,25,5
1993,total,25-29,0.00107,25,5
1994,total,25-29,0.00104,25,5
1995,total,25-29,0.00101,25,5
1996,total,25-29,0.00091,25,5
1997,total,25-29,0.00081,25,5
1998,total,25-29,0.00080,25,5
1999,total,25-29,0.00077,25,5
1925,female,30-34,0.00561,30,5
1926,female,30-34,0.00565,30,5
1927,female,30-34,0.00536,30,5
1928,female,30-34,0.00518,30,5
1929,female,30-34,0.00525,30,5
1930,female,30-34,0.00484,30,5
1931,female,30-34,0.00488,30,5
1932,female,30-34,0.00461,30,5
1933,female,30-34,0.00452,30,5
1934,female,30-34,0.00428,30,5
1935,female,30-34,0.00435,30,5
1936,female,30-34,0.00409,30,5
1937,female,30-34,0.00399,30,5
1938,female,30-34,0.00404,30,5
1939,female,30-34,0.00380,30,5
1940,female,30-34,0.00444,30,5
1941,female,30-34,0.00398,30,5
1942,female,30-34,0.00398,30,5
1943,female,30-34,0.00392,30,5
1944,female,30-34,0.00496,30,5
1945,female,30-34,0.00359,30,5
1946,female,30-34,0.00294,30,5
1947,female,30-34,0.00262,30,5
1948,female,30-34,0.00236,30,5
1949,female,30-34,0.00224,30,5
1950,female,30-34,0.00196,30,5
1951,female,30-34,0.00194,30,5
1952,female,30-34,0.00164,30,5
1953,female,30-34,0.00160,30,5
1954,female,30-34,0.00148,30,5
1955,female,30-34,0.00136,30,5
1956,female,30-34,0.00136,30,5
1957,female,30-34,0.00127,30,5
1958,female,30-34,0.00113,30,5
1959,female,30-34,0.00111,30,5
1960,female,30-34,0.00109,30,5
1961,female,30-34,0.00108,30,5
1962,female,30-34,0.00110,30,5
1963,female,30-34,0.00106,30,5
1964,female,30-34,0.00098,30,5
1965,female,30-34,0.00101,30,5
1966,female,30-34,0.00096,30,5
1967,female,30-34,0.00098,30,5
1968,female,30-34,0.00087,30,5
1969,female,30-34,0.00091,30,5
1970,female,30-34,0.00092,30,5
1971,female,30-34,0.00089,30,5
1972,female,30-34,0.00092,30,5
1973,female,30-34,0.00086,30,5
1974,female,30-34,0.00090,30,5
1975,female,30-34,0.00083,30,5
1976,female,30-34,0.00075,30,5
1977,female,30-34,0.00075,30,5
1978,female,30-34,0.00076,30,5
1979,female,30-34,0.00074,30,5
1980,female,30-34,0.00076,30,5
1981,female,30-34,0.00075,30,5
1982,female,30-34,0.00074,30,5
1983,female,30-34,0.00076,30,5
1984,female,30-34,0.00076,30,5
1985,female,30-34,0.00073,30,5
1986,female,30-34,0.00069,30,5
1987,female,30-34,0.00069,30,5
1988,female,30-34,0.00066,30,5
1989,female,30-34,0.00069,30,5
1990,female,30-34,0.00067,30,5
1991,female,30-34,0.00069,30,5
1992,female,30-34,0.00074,30,5
1993,female,30-34,0.00073,30,5
1994,female,30-34,0.00072,30,5
1995,female,30-34,0.00074,30,5
1996,female,30-34,0.00071,30,5
1997,female,30-34,0.00060,30,5
1998,female,30-34,0.00057,30,5
1999,female,30-34,0.00056,30,5
1925,male,30-34,0.00687,30,5
1926,male,30-34,0.00676,30,5
1927,male,30-34,0.00646,30,5
1928,male,30-34,0.00609,30,5
1929,male,30-34,0.00657,30,5
1930,male,30-34,0.00636,30,5
1931,male,30-34,0.00614,30,5
1932,male,30-34,0.00596,30,5
1933,male,30-34,0.00599,30,5
1934,male,30-34,0.00593,30,5
1935,male,30-34,0.00620,30,5
1936,male,30-34,0.00594,30,5
1937,male,30-34,0.00603,30,5
1938,male,30-34,0.00601,30,5
1939,male,30-34,0.00557,30,5
1940,male,30-34,0.00543,30,5
1941,male,30-34,0.00569,30,5
1942,male,30-34,0.00503,30,5
1943,male,30-34,0.00508,30,5
1944,male,30-34,0.00942,30,5
1945,male,30-34,0.00502,30,5
1946,male,30-34,0.00352,30,5
1947,male,30-34,0.00338,30,5
1948,male,30-34,0.00326,30,5
1949,male,30-34,0.00283,30,5
1950,male,30-34,0.00265,30,5
1951,male,30-34,0.00260,30,5
1952,male,30-34,0.00232,30,5
1953,male,30-34,0.00235,30,5
1954,male,30-34,0.00228,30,5
1955,male,30-34,0.00228,30,5
1956,male,30-34,0.00231,30,5
1957,male,30-34,0.00233,30,5
1958,male,30-34,0.00213,30,5
1959,male,30-34,0.00213,30,5
1960,male,30-34,0.00210,30,5
1961,male,30-34,0.00214,30,5
1962,male,30-34,0.00214,30,5
1963,male,30-34,0.00204,30,5
1964,male,30-34,0.00194,30,5
1965,male,30-34,0.00201,30,5
1966,male,30-34,0.00196,30,5
1967,male,30-34,0.00194,30,5
1968,male,30-34,0.00188,30,5
1969,male,30-34,0.00195,30,5
1970,male,30-34,0.00187,30,5
1971,male,30-34,0.00184,30,5
1972,male,30-34,0.00194,30,5
1973,male,30-34,0.00181,30,5
1974,male,30-34,0.00169,30,5
1975,male,30-34,0.00162,30,5
1976,male,30-34,0.00167,30,5
1977,male,30-34,0.00163,30,5
1978,male,30-34,0.00155,30,5
1979,male,30-34,0.00163,30,5
1980,male,30-34,0.00160,30,5
1981,male,30-34,0.00164,30,5
1982,male,30-34,0.00161,30,5
1983,male,30-34,0.00171,30,5
1984,male,30-34,0.00172,30,5
1985,male,30-34,0.00168,30,5
1986,male,30-34,0.00173,30,5
1987,male,30-34,0.00169,30,5
1988,male,30-34,0.00175,30,5
1989,male,30-34,0.00181,30,5
1990,male,30-34,0.00185,30,5
1991,male,30-34,0.00197,30,5
1992,male,30-34,0.00197,30,5
1993,male,30-34,0.00199,30,5
1994,male,30-34,0.00197,30,5
1995,male,30-34,0.00192,30,5
1996,male,30-34,0.00169,30,5
1997,male,30-34,0.00146,30,5
1998,male,30-34,0.00136,30,5
1999,male,30-34,0.00131,30,5
1925,total,30-34,0.00617,30,5
1926,total,30-34,0.00615,30,5
1927,total,30-34,0.00587,30,5
1928,total,30-34,0.00562,30,5
1929,total,30-34,0.00589,30,5
1930,total,30-34,0.00560,30,5
1931,total,30-34,0.00551,30,5
1932,total,30-34,0.00530,30,5
1933,total,30-34,0.00527,30,5
1934,total,30-34,0.00512,30,5
1935,total,30-34,0.00529,30,5
1936,total,30-34,0.00503,30,5
1937,total,30-34,0.00502,30,5
1938,total,30-34,0.00503,30,5
1939,total,30-34,0.00469,30,5
1940,total,30-34,0.00493,30,5
1941,total,30-34,0.00482,30,5
1942,total,30-34,0.00450,30,5
1943,total,30-34,0.00449,30,5
1944,total,30-34,0.00716,30,5
1945,total,30-34,0.00430,30,5
1946,total,30-34,0.00323,30,5
1947,total,30-34,0.00299,30,5
1948,total,30-34,0.00280,30,5
1949,total,30-34,0.00253,30,5
1950,total,30-34,0.00231,30,5
1951,total,30-34,0.00227,30,5
1952,total,30-34,0.00199,30,5
1953,total,30-34,0.00198,30,5
1954,total,30-34,0.00188,30,5
1955,total,30-34,0.00182,30,5
1956,total,30-34,0.00184,30,5
1957,total,30-34,0.00180,30,5
1958,total,30-34,0.00164,30,5
1959,total,30-34,0.00163,30,5
1960,total,30-34,0.00160,30,5
1961,total,30-34,0.00162,30,5
1962,total,30-34,0.00163,30,5
1963,total,30-34,0.00156,30,5
1964,total,30-34,0.00147,30,5
1965,total,30-34,0.00152,30,5
1966,total,30-34,0.00147,30,5
1967,total,30-34,0.00147,30,5
1968,total,30-34,0.00138,30,5
1969,total,30-34,0.00144,30,5
1970,total,30-34,0.00141,30,5
1971,total,30-34,0.00138,30,5
1972,total,30-34,0.00144,30,5
1973,total,30-34,0.00135,30,5
1974,total,30-34,0.00131,30,5
1975,total,30-34,0.00124,30,5
1976,total,30-34,0.00123,30,5
1977,total,30-34,0.00120,30,5
1978,total,30-34,0.00118,30,5
1979,total,30-34,0.00119,30,5
1980,total,30-34,0.00119,30,5
1981,total,30-34,0.00120,30,5
1982,total,30-34,0.00119,30,5
1983,total,30-34,0.00123,30,5
1984,total,30-34,0.00124,30,5
1985,total,30-34,0.00120,30,5
1986,total,30-34,0.00120,30,5
1987,total,30-34,0.00118,30,5
1988,total,30-34,0.00119,30,5
1989,total,30-34,0.00123,30,5
1990,total,30-34,0.00125,30,5
1991,total,30-34,0.00132,30,5
1992,total,30-34,0.00135,30,5
1993,total,30-34,0.00135,30,5
1994,total,30-34,0.00133,30,5
1995,total,30-34,0.00131,30,5
1996,total,30-34,0.00119,30,5
1997,total,30-34,0.00102,30,5
1998,total,30-34,0.00095,30,5
1999,total,30-34,0.00092,30,5
1925,female,35-39,0.00595,35,5
1926,female,35-39,0.00604,35,5
1927,female,35-39,0.00566,35,5
1928,female,35-39,0.00550,35,5
1929,female,35-39,0.00585,35,5
1930,female,35-39,0.00536,35,5
1931,female,35-39,0.00533,35,5
1932,female,35-39,0.00514,35,5
1933,female,35-39,0.00502,35,5
1934,female,35-39,0.00481,35,5
1935,female,35-39,0.00496,35,5
1936,female,35-39,0.00462,35,5
1937,female,35-39,0.00454,35,5
1938,female,35-39,0.00445,35,5
1939,female,35-39,0.00426,35,5
1940,female,35-39,0.00501,35,5
1941,female,35-39,0.00451,35,5
1942,female,35-39,0.00425,35,5
1943,female,35-39,0.00418,35,5
1944,female,35-39,0.00512,35,5
1945,female,35-39,0.00389,35,5
1946,female,35-39,0.00325,35,5
1947,female,35-39,0.00283,35,5
1948,female,35-39,0.00262,35,5
1949,female,35-39,0.00261,35,5
1950,female,35-39,0.00252,35,5
1951,female,35-39,0.00250,35,5
1952,female,35-39,0.00223,35,5
1953,female,35-39,0.00230,35,5
1954,female,35-39,0.00208,35,5
1955,female,35-39,0.00193,35,5
1956,female,35-39,0.00196,35,5
1957,female,35-39,0.00182,35,5
1958,female,35-39,0.00159,35,5
1959,female,35-39,0.00161,35,5
1960,female,35-39,0.00161,35,5
1961,female,35-39,0.00152,35,5
1962,female,35-39,0.00153,35,5
1963,female,35-39,0.00146,35,5
1964,female,35-39,0.00148,35,5
1965,female,35-39,0.00152,35,5
1966,female,35-39,0.00147,35,5
1967,female,35-39,0.00142,35,5
1968,female,35-39,0.00138,35,5
1969,female,35-39,0.00141,35,5
1970,female,35-39,0.00132,35,5
1971,female,35-39,0.00138,35,5
1972,female,35-39,0.00135,35,5
1973,female,35-39,0.00131,35,5
1974,female,35-39,0.00115,35,5
1975,female,35-39,0.00119,35,5
1976,female,35-39,0.00121,35,5
1977,female,35-39,0.00117,35,5
1978,female,35-39,0.00112,35,5
1979,female,35-39,0.00113,35,5
1980,female,35-39,0.00111,35,5
1981,female,35-39,0.00110,35,5
1982,female,35-39,0.00109,35,5
1983,female,35-39,0.00106,35,5
1984,female,35-39,0.00102,35,5
1985,female,35-39,0.00105,35,5
1986,female,35-39,0.00099,35,5
1987,female,35-39,0.00098,35,5
1988,female,35-39,0.00099,35,5
1989,female,35-39,0.00099,35,5
1990,female,35-39,0.00099,35,5
1991,female,35-39,0.00094,35,5
1992,female,35-39,0.00100,35,5
1993,female,35-39,0.00095,35,5
1994,female,35-39,0.00101,35,5
1995,female,35-39,0.00098,35,5
1996,female,35-39,0.00097,35,5
1997,female,35-39,0.00088,35,5
1998,female,35-39,0.00087,35,5
1999,female,35-39,0.00085,35,5
1925,male,35-39,0.00826,35,5
1926,male,35-39,0.00823,35,5
1927,male,35-39,0.00747,35,5
1928,male,35-39,0.00739,35,5
1929,male,35-39,0.00801,35,5
1930,male,35-39,0.00781,35,5
1931,male,35-39,0.00757,35,5
1932,male,35-39,0.00727,35,5
1933,male,35-39,0.00722,35,5
1934,male,35-39,0.00762,35,5
1935,male,35-39,0.00778,35,5
1936,male,35-39,0.00750,35,5
1937,male,35-39,0.00749,35,5
1938,male,35-39,0.00785,35,5
1939,male,35-39,0.00730,35,5
1940,male,35-39,0.00744,35,5
1941,male,35-39,0.00764,35,5
1942,male,35-39,0.00623,35,5
1943,male,35-39,0.00613,35,5
1944,male,35-39,0.00977,35,5
1945,male,35-39,0.00558,35,5
1946,male,35-39,0.00414,35,5
1947,male,35-39,0.00391,35,5
1948,male,35-39,0.00388,35,5
1949,male,35-39,0.00364,35,5
1950,male,35-39,0.00352,35,5
1951,male,35-39,0.00360,35,5
1952,male,35-39,0.00328,35,5
1953,male,35-39,0.00317,35,5
1954,male,35-39,0.00320,35,5
1955,male,35-39,0.00306,35,5
1956,male,35-39,0.00304,35,5
1957,male,35-39,0.00292,35,5
1958,male,35-39,0.00273,35,5
1959,male,35-39,0.00278,35,5
1960,male,35-39,0.00271,35,5
1961,male,35-39,0.00277,35,5
1962,male,35-39,0.00290,35,5
1963,male,35-39,0.00287,35,5
1964,male,35-39,0.00284,35,5
1965,male,35-39,0.00291,35,5
1966,male,35-39,0.00283,35,5
1967,male,35-39,0.00270,35,5
1968,male,35-39,0.00278,35,5
1969,male,35-39,0.00291,35,5
1970,male,35-39,0.00273,35,5
1971,male,35-39,0.00269,35,5
1972,male,35-39,0.00271,35,5
1973,male,35-39,0.00252,35,5
1974,male,35-39,0.00254,35,5
1975,male,35-39,0.00250,35,5
1976,male,35-39,0.00249,35,5
1977,male,35-39,0.00237,35,5
1978,male,35-39,0.00227,35,5
1979,male,35-39,0.00228,35,5
1980,male,35-39,0.00224,35,5
1981,male,35-39,0.00220,35,5
1982,male,35-39,0.00222,35,5
1983,male,35-39,0.00225,35,5
1984,male,35-39,0.00220,35,5
1985,male,35-39,0.00220,35,5
1986,male,35-39,0.00220,35,5
1987,male,35-39,0.00224,35,5
1988,male,35-39,0.00225,35,5
1989,male,35-39,0.00228,35,5
1990,male,35-39,0.00240,35,5
1991,male,35-39,0.00241,35,5
1992,male,35-39,0.00246,35,5
1993,male,35-39,0.00253,35,5
1994,male,35-39,0.00246,35,5
1995,male,35-39,0.00241,35,5
1996,male,35-39,0.00224,35,5
1997,male,35-39,0.00202,35,5
1998,male,35-39,0.00194,35,5
1999,male,35-39,0.00178,35,5
1925,total,35-39,0.00700,35,5
1926,total,35-39,0.00704,35,5
1927,total,35-39,0.00648,35,5
1928,total,35-39,0.00636,35,5
1929,total,35-39,0.00683,35,5
1930,total,35-39,0.00647,35,5
1931,total,35-39,0.00635,35,5
1932,total,35-39,0.00612,35,5
1933,total,35-39,0.00606,35,5
1934,total,35-39,0.00617,35,5
1935,total,35-39,0.00635,35,5
1936,total,35-39,0.00605,35,5
1937,total,35-39,0.00602,35,5
1938,total,35-39,0.00616,35,5
1939,total,35-39,0.00579,35,5
1940,total,35-39,0.00623,35,5
1941,total,35-39,0.00607,35,5
1942,total,35-39,0.00524,35,5
1943,total,35-39,0.00515,35,5
1944,total,35-39,0.00743,35,5
1945,total,35-39,0.00473,35,5
1946,total,35-39,0.00369,35,5
1947,total,35-39,0.00337,35,5
1948,total,35-39,0.00324,35,5
1949,total,35-39,0.00312,35,5
1950,total,35-39,0.00301,35,5
1951,total,35-39,0.00305,35,5
1952,total,35-39,0.00275,35,5
1953,total,35-39,0.00273,35,5
1954,total,35-39,0.00264,35,5
1955,total,35-39,0.00250,35,5
1956,total,35-39,0.00250,35,5
1957,total,35-39,0.00237,35,5
1958,total,35-39,0.00216,35,5
1959,total,35-39,0.00220,35,5
1960,total,35-39,0.00216,35,5
1961,total,35-39,0.00215,35,5
1962,total,35-39,0.00222,35,5
1963,total,35-39,0.00217,35,5
1964,total,35-39,0.00217,35,5
1965,total,35-39,0.00223,35,5
1966,total,35-39,0.00216,35,5
1967,total,35-39,0.00207,35,5
1968,total,35-39,0.00209,35,5
1969,total,35-39,0.00218,35,5
1970,total,35-39,0.00204,35,5
1971,total,35-39,0.00205,35,5
1972,total,35-39,0.00205,35,5
1973,total,35-39,0.00193,35,5
1974,total,35-39,0.00186,35,5
1975,total,35-39,0.00186,35,5
1976,total,35-39,0.00186,35,5
1977,total,35-39,0.00178,35,5
1978,total,35-39,0.00171,35,5
