"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,892,6,5,7,13,15,22,9,8,15,13,15,31,30,50,87,101,150,159,108,42,8,1
1926,935,7,5,9,13,15,23,8,7,15,13,15,30,29,50,91,107,163,170,116,42,7,1
1927,999,11,6,10,10,13,22,8,6,12,12,14,26,26,45,92,109,199,188,132,49,9,1
1928,1039,16,6,8,7,10,18,9,8,15,15,17,32,34,54,105,121,188,187,129,50,9,1
1929,1102,20,9,10,7,11,20,11,9,17,17,18,33,36,57,100,121,196,202,143,54,10,1
1930,967,22,9,6,4,9,15,8,6,14,15,13,35,40,59,87,111,167,188,114,37,6,1
1931,1060,30,1,7,8,7,13,7,8,14,12,18,33,38,54,96,118,192,215,134,45,8,1
1932,1022,23,11,5,6,6,13,9,6,15,17,16,30,40,60,88,110,173,214,127,45,8,1
1933,977,15,9,8,6,5,13,8,7,11,13,15,28,41,64,84,109,163,204,122,45,8,1
1934,945,6,8,8,11,4,15,8,8,20,17,15,31,40,60,82,111,157,184,114,39,7,0
1935,980,6,8,7,11,7,12,8,6,11,14,17,35,40,55,94,121,162,188,123,44,8,1
1936,972,5,12,11,11,10,14,6,6,12,13,13,31,43,54,85,115,161,190,126,44,8,1
1937,761,5,14,5,6,7,10,5,6,8,10,8,24,39,49,62,80,120,153,106,37,7,1
1938,772,4,12,5,3,7,10,5,9,7,9,8,33,33,48,62,74,135,156,106,39,7,0
1939,758,4,3,13,2,7,4,6,9,6,7,17,53,36,20,49,91,122,158,105,39,7,0
1940,1107,5,6,4,4,6,6,7,8,14,17,23,33,53,75,119,129,189,209,136,53,9,1
1941,1057,10,3,3,7,8,7,5,8,13,21,20,36,51,74,103,132,207,183,115,43,7,1
1942,1174,11,3,6,5,8,12,5,5,12,22,20,39,51,75,144,145,239,199,120,45,7,1
1943,1058,9,9,10,11,12,10,6,10,10,14,23,34,35,69,133,145,184,181,106,40,6,1
1944,1135,17,13,10,17,8,12,4,5,9,19,18,27,46,73,117,170,209,194,119,43,7,1
1945,1026,12,15,17,13,8,11,5,9,11,12,15,30,43,78,122,140,168,169,105,36,6,0
1946,793,15,7,4,7,5,9,4,6,12,6,8,18,31,65,73,117,131,144,93,31,5,0
1947,760,6,4,2,4,4,4,4,1,6,9,12,26,36,53,76,117,136,135,89,29,5,0
1948,696,6,2,6,1,4,4,5,1,6,10,8,18,30,53,72,95,111,136,92,30,6,0
1949,761,5,4,1,4,4,5,5,1,5,10,12,21,25,46,72,106,132,151,105,39,7,1
1950,855,9,6,3,7,9,8,5,5,7,9,21,29,25,56,104,114,145,145,102,39,7,1
1951,900,12,2,3,5,3,3,5,3,7,15,14,23,37,63,94,113,156,163,120,47,8,1
1952,936,9,5,5,4,6,5,4,1,5,9,22,35,44,72,91,122,177,157,110,49,3,0
1953,942,5,7,6,2,1,5,3,6,2,16,15,27,42,67,112,152,172,151,98,51,0,0
1954,900,10,3,2,0,3,4,3,3,4,9,20,26,44,70,103,128,191,142,86,39,11,0
1955,891,9,8,2,2,5,4,2,7,4,8,18,25,39,69,85,165,164,149,109,15,1,1
1956,1004,7,2,3,1,2,3,4,4,3,11,7,31,42,66,115,165,185,185,123,43,1,1
1957,935,7,4,2,0,5,2,5,3,7,7,18,21,45,67,87,142,190,175,103,45,0,0
1958,955,7,1,4,2,1,2,2,1,6,3,17,21,47,57,115,165,178,185,100,38,3,0
1959,993,2,3,2,0,1,5,3,5,6,8,22,27,51,55,89,179,207,172,98,47,11,0
1960,1029,2,1,1,0,1,4,4,3,7,9,19,23,44,68,95,162,209,199,117,49,11,1
1961,1064,2,1,0,0,4,2,5,3,7,3,17,24,41,64,97,171,215,205,134,53,13,1
1962,989,0,2,0,2,3,7,2,3,4,6,9,25,30,64,109,148,199,174,139,51,11,1
1963,1033,1,2,2,3,2,3,2,4,4,12,13,24,41,66,101,160,217,173,130,61,12,0
1964,918,3,3,1,1,2,2,4,4,10,9,16,25,36,60,92,130,167,172,130,50,3,0
1965,951,2,1,4,1,0,5,4,3,8,8,10,22,30,53,85,150,165,201,134,51,13,1
1966,1021,1,3,1,3,2,7,3,2,5,7,12,31,29,72,93,149,198,177,153,58,14,0
1967,1022,0,4,1,1,6,6,5,5,3,6,16,24,36,65,118,136,170,191,143,71,15,0
1968,1086,2,1,1,1,4,5,2,2,5,7,15,16,52,89,130,193,216,190,112,37,6,0
1969,1105,0,1,1,0,4,3,4,7,4,12,19,24,41,77,145,181,215,197,122,40,8,0
1970,1092,2,3,1,2,4,1,2,3,14,9,26,23,50,75,131,178,207,207,113,36,5,0
1971,1135,1,0,2,2,4,1,2,2,12,13,11,18,41,100,144,191,224,204,114,44,4,1
1972,1066,2,1,0,1,2,1,4,7,8,15,16,19,31,87,128,145,227,197,127,39,9,0
1973,1064,0,2,2,2,0,6,4,5,8,13,17,32,31,74,118,180,209,191,105,50,12,2
1974,1041,0,2,0,3,5,8,7,3,2,11,18,37,32,68,111,171,210,172,118,53,9,2
1975,1114,0,2,1,4,4,4,7,3,7,8,26,20,35,61,117,217,199,204,126,59,11,0
1976,1283,0,1,0,2,5,8,3,5,6,9,17,37,38,78,135,192,258,238,170,62,18,0
1977,1266,0,4,1,2,6,3,4,5,6,10,20,32,33,51,126,203,246,235,186,82,10,1
1978,1265,0,0,2,6,1,6,5,6,5,13,16,29,51,55,133,183,265,215,180,74,19,1
1979,1173,0,0,4,5,3,9,6,7,8,6,16,25,40,34,113,160,254,203,194,71,14,1
1980,1299,0,2,0,3,5,5,6,12,5,9,15,22,53,49,100,206,261,275,178,70,21,2
1981,1561,0,2,2,2,6,2,8,6,14,10,20,39,56,66,129,204,323,317,238,99,16,2
1982,1521,0,1,1,5,5,4,8,7,6,9,19,32,53,73,94,232,291,325,239,91,22,4
1983,1787,0,0,2,2,5,9,5,9,7,12,15,24,45,89,94,222,356,388,314,146,39,4
1984,1834,0,0,0,2,4,4,4,7,11,10,14,32,45,92,67,223,379,414,331,156,37,2
1985,1799,0,1,0,3,6,2,4,11,8,7,17,27,50,72,86,196,337,408,358,166,37,3
1986,1805,0,0,1,0,0,6,4,8,7,10,8,25,30,75,100,176,332,438,345,181,53,6
1987,1830,0,1,2,1,3,4,4,5,6,7,14,23,50,76,102,163,335,415,361,205,47,6
1988,1769,0,1,0,2,4,5,1,7,3,7,8,22,42,71,118,131,318,418,371,169,63,8
1989,1764,0,1,2,5,3,5,9,5,8,10,4,13,32,53,111,121,285,393,395,234,66,9
1990,1735,0,1,1,0,4,3,5,5,12,10,10,16,32,61,116,95,254,428,375,247,54,6
1991,1782,0,0,1,2,5,5,8,2,6,12,11,17,38,50,112,149,232,395,388,261,72,16
1992,1636,0,2,1,1,5,5,2,7,7,6,12,14,43,43,97,128,204,345,391,249,68,6
1993,1822,0,0,2,4,7,4,4,0,6,6,9,11,25,68,110,162,175,432,433,269,91,4
1994,1733,0,0,0,1,2,6,3,7,8,12,12,14,20,62,94,173,149,368,410,300,80,12
1995,1777,0,3,3,3,0,5,7,5,7,13,15,12,15,56,79,175,170,380,442,285,80,22
1996,1761,0,1,1,2,4,2,4,3,8,6,15,15,13,58,69,144,190,341,427,329,113,16
1997,1722,0,0,1,4,3,3,3,4,6,10,15,11,20,43,87,134,230,269,426,313,118,22
1998,1925,0,0,0,1,4,1,4,7,5,9,13,14,18,43,93,179,249,315,496,338,120,16
1999,1959,0,1,2,0,1,6,4,2,5,6,10,21,31,39,84,133,299,232,515,393,156,19
