"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,17364,7,14,14,22,29,49,89,261,463,972,1381,1732,2158,2506,2630,2263,1653,809,256,54,3,0
1926,19829,11,13,14,20,28,57,110,296,534,1015,1654,2070,2341,2871,2989,2599,1902,919,322,56,8,2
1927,22397,12,16,16,17,33,62,134,328,571,1082,1710,2364,2671,3355,3460,2949,2162,1029,365,51,9,1
1928,22705,6,29,21,25,31,51,113,318,516,1086,1669,2307,2710,3325,3518,3083,2357,1096,382,56,7,0
1929,22680,6,39,27,14,36,60,124,288,569,1072,1683,2293,2679,3222,3585,3196,2279,1041,395,66,6,0
1930,22807,2,23,24,24,28,62,103,285,565,1066,1722,2244,2730,3385,3529,2659,2798,895,489,148,23,2
1931,23032,15,30,22,19,30,58,115,295,564,1049,1658,2193,2904,3090,3728,2719,2905,924,520,164,27,2
1932,23217,23,47,24,24,27,52,108,277,553,1031,1682,2169,2895,3176,3650,2849,2921,977,525,175,29,2
1933,22815,10,42,25,28,30,50,110,282,555,972,1619,2094,2858,3180,3592,2821,2907,931,508,173,28,2
1934,22450,4,37,25,35,20,64,100,274,499,983,1545,2124,2690,3122,3428,2804,2971,973,547,175,28,2
1935,22605,1,23,28,32,31,50,109,283,535,927,1570,2142,2775,3131,3403,2781,3046,954,566,187,30,2
1936,22896,7,33,34,39,42,50,110,274,513,995,1510,2207,2579,3433,3346,2790,3081,1009,610,197,33,3
1937,23117,16,34,32,56,57,44,112,255,564,899,1520,2216,2774,3304,3598,2816,2807,1079,676,215,39,3
1938,23499,30,51,27,46,78,35,99,242,564,924,1435,2165,2808,3300,3707,2871,2877,1200,746,250,43,3
1939,20682,26,42,35,28,60,31,61,229,520,758,1302,1968,2469,2830,3182,2515,2653,1067,647,218,40,2
1940,29008,27,45,44,46,55,45,126,286,550,1051,1716,2236,3156,3910,4327,3789,4499,1672,1000,363,60,5
