"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1156,1,1,2,3,8,11,37,48,58,61,61,109,69,87,113,131,212,79,46,16,3,0
1926,1248,2,1,3,3,8,11,37,52,63,65,66,132,73,93,120,139,229,84,49,16,2,0
1927,1307,1,2,6,4,9,15,36,53,58,62,68,146,74,96,122,141,247,90,54,18,3,0
1928,1311,1,2,6,3,10,13,37,50,61,62,67,146,82,102,119,139,244,92,54,19,3,0
1929,1328,1,1,7,3,9,11,49,58,70,74,71,97,73,91,113,150,265,100,60,21,3,0
1930,1334,2,1,5,3,6,8,40,56,67,79,82,137,104,103,126,178,187,88,46,14,2,0
1931,1255,1,1,3,2,3,7,28,46,59,52,67,112,84,96,131,192,197,100,54,17,3,0
1932,1267,1,2,3,2,3,8,26,47,67,70,67,101,90,89,130,199,194,98,51,17,3,0
1933,1173,1,1,2,2,2,7,20,41,50,57,58,94,69,91,129,191,190,96,50,17,3,0
1934,1155,1,2,2,2,2,6,23,46,57,67,57,85,81,74,124,182,189,90,48,16,2,0
1935,1235,2,2,0,1,4,2,28,51,66,68,75,111,74,87,120,183,198,92,52,17,3,0
1936,1191,2,2,2,2,3,4,22,34,65,78,70,105,77,90,106,174,195,90,53,17,3,0
1937,1140,3,1,0,1,3,6,23,56,54,81,65,88,106,66,100,170,164,84,50,16,3,0
1938,1275,5,1,0,1,7,6,22,77,67,102,74,99,153,63,110,166,161,88,52,18,3,0
1939,1202,3,0,0,0,7,2,20,51,59,91,66,91,165,56,115,163,159,84,49,16,3,0
1940,1486,3,1,3,2,5,6,29,55,72,91,96,130,113,107,168,193,210,111,63,23,4,0
1941,1454,4,1,2,2,4,5,25,52,75,88,92,141,121,115,179,176,195,100,54,19,3,0
1942,1258,3,1,2,2,3,6,15,30,43,56,59,102,96,101,154,175,218,110,58,21,3,0
1943,1163,1,1,0,1,6,15,16,39,40,61,56,94,83,102,140,157,181,98,50,18,2,0
1944,1265,1,1,1,2,5,14,16,37,51,68,72,82,106,98,159,175,198,103,55,18,3,0
1945,1066,3,4,2,2,6,22,11,34,50,56,68,78,65,72,129,151,165,86,47,15,2,0
1946,828,1,1,3,2,5,20,6,21,26,35,34,54,58,67,94,130,133,78,42,13,2,0
1947,897,4,4,3,2,3,8,11,23,41,42,62,51,50,64,106,135,142,84,47,15,2,0
1948,1037,8,4,2,2,7,15,13,20,45,60,76,89,81,87,117,134,141,76,44,14,2,0
1949,1128,8,4,2,2,4,12,18,20,57,72,73,75,89,94,127,141,158,95,56,19,3,0
1950,1331,12,7,2,2,3,10,16,26,45,72,99,107,124,111,162,167,194,94,56,20,3,0
1951,1450,14,7,2,2,4,8,20,27,40,82,92,130,125,110,165,177,223,116,74,28,4,0
1952,1563,14,11,3,3,4,15,12,29,41,78,103,131,137,141,173,210,225,135,81,16,2,0
1953,1836,10,7,2,4,5,11,24,31,48,96,129,149,159,156,226,271,230,183,75,19,3,0
1954,1869,16,10,4,2,5,13,16,47,44,95,116,130,187,167,230,238,229,188,99,28,6,0
1955,1894,23,7,3,1,2,5,17,35,44,93,130,181,171,173,219,248,232,178,93,36,2,0
1956,2284,15,8,5,0,6,8,23,43,66,90,127,186,191,222,262,302,328,242,119,36,4,0
1957,2432,15,7,6,3,4,8,13,38,48,68,117,167,201,225,276,328,412,300,151,44,4,0
1958,2163,17,10,2,3,4,8,16,30,46,23,85,115,153,183,246,325,357,323,174,40,7,0
1959,2241,23,6,2,3,4,8,17,29,59,46,89,125,162,187,232,317,376,337,165,48,6,2
1960,2436,14,10,2,3,3,8,11,27,49,55,87,125,164,196,241,340,424,372,234,58,12,1
1961,2484,16,10,2,5,2,4,10,37,54,56,66,126,149,193,259,341,459,377,243,60,14,1
1962,2881,15,10,4,3,5,7,12,26,64,68,77,132,153,237,295,380,539,481,276,79,16,2
1963,2811,14,5,2,4,3,4,16,28,43,67,66,136,166,212,304,377,515,452,291,96,8,2
1964,2792,22,11,1,5,8,5,10,23,55,73,66,122,142,198,257,382,513,482,301,105,12,0
1965,2932,20,4,4,4,7,11,16,29,47,73,68,119,165,188,255,374,528,543,340,117,21,0
1966,3113,15,5,7,7,9,4,11,20,57,67,71,94,162,194,298,415,534,617,378,134,12,1
1967,3317,21,6,5,4,4,6,10,36,52,67,85,80,138,205,273,461,633,608,450,149,23,0
