"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,66155,4281,1497,240,208,544,692,619,698,756,716,917,1632,1981,2693,4694,6951,11087,13311,8629,3361,606,42
1926,62599,3906,1460,265,173,468,603,532,581,617,622,776,1436,1649,2310,4073,6416,10797,13306,8812,3209,536,52
1927,50925,1727,1137,142,73,219,286,273,291,318,315,413,825,941,1454,2622,4730,9546,12638,8979,3343,602,53
1928,51215,1662,1222,135,51,187,230,296,298,336,323,423,808,969,1454,2804,4964,9401,12735,8824,3441,590,63
1929,54886,1594,876,165,51,200,255,278,294,346,314,420,832,937,1390,2962,5558,10153,13919,9868,3756,663,54
1930,44875,1547,688,160,62,192,268,210,244,265,267,352,688,885,1196,2508,5812,6876,12551,7317,2367,390,31
1931,50636,1534,768,143,65,172,238,230,291,323,297,387,790,1043,1321,2614,6272,7620,14423,8657,2907,502,40
1932,48800,1410,753,150,80,149,249,222,274,305,298,405,808,1051,1389,2527,6213,7209,13938,8004,2841,492,32
1933,50057,1801,706,134,74,130,218,228,289,339,304,444,858,1156,1483,2747,6315,7335,13925,8089,2939,507,39
1934,48881,1728,742,158,90,103,248,245,319,375,338,468,946,1189,1574,2885,6215,7291,13018,7807,2660,452,30
1935,53493,2056,797,150,96,125,260,280,373,416,396,539,1112,1402,1847,3238,6654,7967,13609,8586,3031,519,39
1936,51685,2043,755,157,99,147,227,259,347,383,389,516,1110,1362,1896,2952,6483,7684,13038,8391,2893,506,46
1937,50017,2061,755,95,84,180,222,353,319,386,332,386,1123,1346,1865,2875,6399,8001,11986,7971,2719,521,39
1938,54651,2049,965,83,29,149,289,287,321,407,458,509,1443,1456,2344,3313,6753,9117,12708,8377,3008,548,37
1939,57803,1803,846,85,24,217,238,220,323,383,619,553,1406,1412,2498,3567,7194,9719,13905,8904,3215,633,38
1940,51787,2180,740,162,97,210,192,264,367,443,408,521,936,1168,1627,2798,5392,7401,13938,8862,3436,596,48
1941,38023,1284,447,96,55,133,130,162,235,300,307,381,704,865,1070,2095,3967,5479,10792,6642,2454,391,36
1942,35599,1162,387,66,39,100,121,116,188,231,233,297,596,739,956,1818,3792,5145,10537,6294,2382,369,31
1943,31183,869,333,71,26,68,108,84,133,161,163,212,308,428,569,1123,3332,4325,10282,5985,2240,333,28
1944,33460,905,346,62,28,88,132,83,149,166,154,206,313,432,590,1323,3625,4593,10900,6607,2340,387,30
1945,29080,1264,474,73,32,79,115,75,137,147,139,175,282,361,535,1108,3145,3880,9160,5656,1910,310,21
1946,24403,1101,328,49,23,69,92,83,111,125,129,163,239,309,465,882,2568,2946,7857,4911,1645,293,18
1947,23368,1039,315,32,20,56,73,70,79,105,102,142,195,246,394,693,2398,2852,7665,4944,1628,298,22
1948,21746,749,233,26,13,34,50,65,53,87,107,122,183,224,346,591,2160,2584,7286,4896,1611,301,25
1949,25163,756,276,26,15,36,50,68,42,87,99,139,197,232,343,630,2305,2921,8555,5828,2128,398,32
