"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,231,157,29,3,5,7,2,10,4,4,3,1,1,1,0,1,1,1,0,0,0,0,0
1926,253,176,31,4,5,8,2,10,4,4,3,1,2,1,0,1,1,1,0,0,0,0,0
1927,218,131,36,7,6,8,3,9,4,4,3,1,1,1,0,1,1,1,0,0,0,0,0
1928,260,148,60,7,5,9,3,10,4,4,3,1,2,1,0,1,1,1,0,0,0,0,0
1929,338,251,28,8,5,8,3,13,5,5,4,1,2,2,0,1,1,1,0,0,0,0,0
1930,323,247,25,5,4,5,2,11,5,5,4,1,3,3,1,1,1,1,0,0,0,0,0
1931,216,170,9,3,2,3,1,8,4,4,2,1,3,2,0,1,1,1,0,0,0,0,0
1932,251,200,12,3,3,3,1,7,3,4,3,1,3,2,0,2,2,0,0,0,0,0,0
1933,213,166,14,2,3,2,1,6,3,3,3,1,2,2,0,1,1,0,0,0,0,0,0
1934,221,176,10,2,4,2,1,6,4,4,3,1,2,2,0,1,1,1,0,0,0,0,0
1935,184,140,11,1,2,2,1,7,4,4,3,1,2,2,0,1,1,1,0,0,0,0,0
1936,177,133,11,2,3,3,1,6,3,4,3,1,2,2,0,1,1,1,0,0,0,0,0
1937,228,187,10,1,2,3,1,6,3,3,3,1,2,3,0,1,1,1,0,0,0,0,0
1938,322,278,9,1,2,6,1,5,3,4,3,1,2,3,0,1,1,1,0,0,0,0,0
1939,393,347,3,7,7,6,1,4,2,3,3,1,2,3,0,1,1,1,0,0,0,0,0
1940,490,439,5,3,3,4,1,7,4,5,4,2,3,3,1,2,2,2,0,0,0,0,0
1941,464,409,5,4,3,4,1,6,4,5,4,2,4,4,1,3,2,2,1,0,0,0,0
1942,516,465,6,4,3,3,1,4,3,4,4,2,3,3,1,2,2,3,1,1,0,0,0
1943,529,409,34,8,7,8,7,7,3,6,3,3,3,5,2,5,4,5,5,3,1,0,0
1944,629,497,49,14,9,8,7,4,4,5,6,4,5,4,3,4,3,3,1,1,0,0,0
1945,618,494,55,17,9,11,5,4,3,4,4,2,2,2,1,2,2,2,0,0,0,0,0
1946,819,702,53,15,6,12,5,3,4,3,2,1,2,2,1,2,2,1,1,1,0,0,0
1947,996,869,54,15,7,15,7,4,2,4,2,2,3,2,2,2,3,2,1,1,0,0,0
1948,962,817,57,24,11,13,8,8,1,4,4,5,4,3,1,1,2,1,0,0,0,0,0
1949,1155,969,80,21,16,21,9,10,4,2,4,2,2,3,1,2,3,2,2,1,0,0,0
1950,1019,857,72,11,11,9,9,10,2,1,5,5,4,6,3,3,5,6,1,1,0,0,0
1951,1118,942,70,14,14,10,14,6,4,8,6,8,5,3,1,4,4,4,2,1,0,0,0
1952,1178,970,92,16,8,14,10,8,4,3,6,7,12,8,5,4,6,2,2,2,1,0,0
1953,1246,1008,94,18,13,11,8,7,5,6,8,12,9,12,7,7,10,6,5,2,1,0,0
1954,1356,1110,101,28,11,13,9,10,10,4,3,10,15,5,8,4,4,7,2,3,0,1,0
1955,1372,1095,133,21,17,11,8,7,8,5,6,11,11,6,5,8,6,7,3,5,0,0,1
1956,1403,1145,122,21,13,11,13,11,5,3,3,11,6,6,8,7,8,3,4,1,1,0,0
1957,1453,1109,146,34,21,14,10,10,13,12,10,8,18,7,14,16,6,2,2,0,1,1,0
1958,1512,1171,141,36,29,14,14,17,12,10,8,7,10,15,7,4,6,5,3,3,1,0,0
1959,1493,1128,142,47,33,12,11,18,14,11,7,12,16,12,8,7,6,4,3,4,0,0,0
1960,1569,1159,158,51,25,23,20,12,15,14,10,19,15,13,8,12,5,8,3,3,0,0,0
1961,1570,1149,160,52,31,23,14,8,15,17,9,17,9,14,14,14,11,9,3,2,1,0,0
1962,1547,1133,150,38,31,14,17,10,16,13,23,14,15,24,19,15,6,5,4,2,0,0,0
1963,1619,1199,144,49,32,26,17,12,24,8,23,11,19,16,19,5,10,1,3,2,1,0,1
1964,1643,1190,157,53,21,26,12,11,20,19,24,15,24,23,18,12,7,4,7,2,1,0,0
1965,1579,1165,139,30,42,27,14,9,14,19,10,15,17,16,16,8,14,10,11,3,1,1,0
