"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,9099,1109,1104,476,384,375,305,231,223,183,219,215,271,309,456,593,718,892,631,315,83,10,0
1926,9461,1323,1173,564,359,380,300,228,237,188,227,232,272,316,470,608,724,893,591,297,70,9,0
1927,9704,1300,1157,696,328,412,351,238,241,185,215,234,289,333,514,656,760,900,568,261,59,9,0
1928,9840,1440,1147,731,295,426,330,252,239,200,231,239,273,347,477,666,753,893,557,271,62,8,0
1929,10118,1575,1155,781,276,395,345,272,233,199,234,226,284,336,499,682,791,897,578,285,65,8,0
1930,9460,1518,905,485,215,283,281,217,234,218,244,278,342,391,519,730,790,919,512,284,82,13,1
1931,9110,1317,839,537,226,252,242,211,242,208,231,292,322,391,493,730,756,888,527,302,90,14,1
1932,9185,1371,889,492,270,209,226,203,212,237,264,257,308,399,521,716,798,896,524,286,91,15,1
1933,8636,1253,739,437,277,179,200,164,202,177,241,276,298,362,508,687,783,899,539,301,98,15,1
1934,8319,1100,708,426,292,148,197,164,223,196,213,250,268,361,510,662,764,914,519,299,91,14,1
1935,8320,998,591,357,260,186,176,186,220,207,229,271,314,367,535,665,781,968,550,336,106,16,1
1936,7988,990,585,340,255,181,161,154,196,207,247,236,289,343,506,615,765,933,534,333,103,16,1
1937,7844,917,461,325,233,170,128,194,193,172,189,217,257,330,501,667,751,1034,583,383,118,20,1
1938,8359,954,488,333,282,170,118,211,198,165,199,245,271,325,516,722,772,1134,660,432,141,23,1
1939,7962,865,491,282,257,153,107,157,144,134,183,189,274,332,460,677,751,1106,736,480,156,26,1
1940,9595,663,556,270,170,187,129,157,212,195,305,308,389,481,637,879,1048,1386,866,537,190,30,1
1941,8898,489,425,212,144,146,131,112,193,194,278,328,390,490,675,948,986,1287,805,477,163,24,1
1942,8392,529,345,153,126,126,140,100,172,190,246,308,340,442,628,883,982,1256,793,451,158,23,1
1943,6842,805,316,161,109,155,139,80,152,129,174,189,222,297,476,666,750,926,619,339,120,17,1
1944,7069,774,335,162,129,142,152,88,141,129,171,198,231,321,499,658,812,983,639,365,121,19,1
1945,7120,1160,418,188,96,138,143,86,114,120,141,205,216,283,442,635,772,913,583,341,108,17,1
1946,6311,897,323,127,110,116,158,92,103,100,130,144,201,258,414,577,748,824,547,325,101,17,1
1947,6481,964,284,99,76,89,102,90,84,92,122,154,214,253,417,606,808,917,604,371,114,20,1
1948,6073,800,261,85,48,88,88,78,66,84,118,144,189,255,417,599,782,891,576,369,113,20,1
1949,6882,849,357,86,56,88,90,96,57,96,124,150,203,285,431,674,885,1067,675,437,148,27,1
1950,6657,687,295,63,47,74,69,82,68,63,108,171,205,253,436,698,904,1123,679,447,157,27,3
1951,6987,718,324,61,46,58,73,81,57,54,96,124,181,301,432,647,964,1291,743,514,188,31,3
1952,6913,595,346,62,32,62,53,55,61,60,120,139,197,264,444,669,1020,1220,925,458,113,16,1
1953,6936,496,269,64,32,43,54,70,75,49,95,142,210,281,445,722,1042,1260,962,476,133,15,1
1954,6876,495,279,77,38,56,48,60,65,51,100,128,192,280,463,692,967,1240,977,514,136,15,1
1955,6892,473,258,70,25,39,51,55,65,51,107,132,181,240,468,701,1020,1282,995,504,155,19,1
1956,7003,405,197,55,26,34,45,55,64,49,76,130,176,243,472,697,1098,1334,1107,560,155,27,0
1957,7030,388,211,72,46,52,41,48,51,47,77,111,175,276,461,685,1052,1322,1116,601,171,26,2
1958,7052,352,196,55,39,35,47,47,67,58,78,143,206,272,444,654,1054,1323,1149,632,173,30,0
1959,7175,314,202,64,47,18,53,47,54,86,71,138,203,283,435,658,1050,1363,1239,644,183,24,1
1960,7013,282,178,51,41,33,39,56,69,76,74,120,182,277,436,665,1011,1348,1149,701,183,41,2
1961,6833,268,146,50,37,27,34,37,66,81,75,117,157,253,417,660,984,1314,1167,714,184,43,2
1962,7502,255,175,56,35,32,37,49,66,82,85,88,187,291,461,671,1014,1465,1325,835,239,51,4
1963,7614,295,141,74,35,49,35,45,59,84,99,95,182,260,469,673,1071,1440,1332,883,240,48,3
1964,7446,295,127,71,30,32,38,36,61,58,94,67,186,238,454,713,993,1428,1366,867,248,42,2
1965,7473,259,135,49,58,48,29,39,50,64,109,83,137,248,428,678,1018,1405,1395,897,289,53,2
1966,7474,230,120,57,45,43,42,35,50,79,106,86,130,241,436,662,1051,1363,1402,952,293,46,5
1967,7649,225,117,59,32,35,30,31,51,60,92,107,94,230,409,733,1076,1441,1422,991,358,57,2
1968,7778,214,106,40,40,37,38,35,47,65,76,111,116,228,392,615,1025,1458,1539,1123,398,70,2
1969,8093,213,106,51,52,37,40,19,42,74,88,126,72,233,395,664,1055,1529,1588,1159,453,85,9
1970,7504,196,91,35,29,43,45,20,43,55,79,106,91,170,358,593,1007,1433,1455,1140,430,77,8
1971,7511,169,112,42,54,34,48,30,42,50,76,98,102,166,323,556,947,1397,1499,1161,493,104,8
1972,6868,162,96,39,32,42,43,33,41,58,73,96,108,149,295,493,855,1209,1352,1118,473,93,6
1973,7092,155,93,40,26,35,37,38,29,49,78,102,134,114,287,515,848,1320,1427,1166,490,104,4
1974,6888,132,80,30,24,38,26,41,32,45,64,105,144,114,274,513,822,1250,1363,1143,505,132,12
1975,6814,134,66,45,33,35,31,47,33,40,71,110,135,117,259,452,792,1234,1402,1110,541,121,3
1976,6785,89,56,30,28,37,27,30,41,30,70,94,140,152,237,463,762,1270,1401,1155,535,125,13
1977,6401,75,63,30,28,38,40,41,30,32,49,83,111,161,196,422,699,1172,1387,1083,536,112,13
1978,6745,85,54,41,30,29,35,39,40,40,54,86,115,167,155,445,766,1229,1508,1204,506,100,14
1979,6115,79,34,29,31,42,30,29,46,34,55,97,113,197,153,377,716,1106,1320,984,522,109,12
1980,5928,82,65,39,21,39,29,48,41,42,56,77,141,177,199,383,740,1123,1186,892,431,103,14
1981,5953,80,63,28,37,39,37,39,40,42,62,97,132,171,213,337,688,1056,1247,977,441,115,12
1982,5607,85,45,46,30,33,33,42,54,52,54,81,127,187,229,300,634,1007,1186,891,382,97,12
1983,5939,76,52,25,41,31,34,34,61,56,57,78,130,175,253,272,682,1003,1336,957,464,108,14
1984,4967,57,38,21,27,36,45,31,43,44,46,62,113,164,256,216,607,876,1055,780,363,79,8
1985,4288,63,41,19,36,29,42,40,30,48,46,81,123,163,240,266,497,776,828,605,254,54,7
1986,4337,45,46,25,21,39,31,35,40,63,46,67,100,173,254,268,487,768,874,620,263,64,8
1987,4617,57,40,23,20,37,41,38,38,50,62,67,127,155,251,315,412,843,962,722,283,69,5
1988,5170,74,31,21,29,30,33,40,40,46,57,58,101,173,232,363,376,987,1108,900,375,88,8
1989,5655,52,28,11,36,21,40,36,44,51,70,68,87,149,276,428,387,1025,1273,989,466,107,11
1990,5763,50,33,18,20,26,34,29,45,56,51,48,93,174,275,413,463,948,1243,1092,509,132,11
1991,5703,61,38,27,24,33,34,47,41,52,73,69,87,134,254,398,514,822,1309,993,553,128,12
1992,5773,60,31,12,25,33,31,31,46,54,69,68,78,137,247,401,557,729,1325,1155,538,134,12
1993,6065,60,27,15,20,28,36,29,46,42,72,80,80,137,254,387,695,707,1350,1215,612,157,16
1994,6326,75,24,18,22,40,25,23,45,52,84,91,91,145,243,367,728,625,1435,1339,677,165,12
1995,6575,73,32,16,23,18,27,34,48,50,62,112,73,132,227,372,750,752,1405,1437,721,193,18
1996,6873,64,27,14,24,25,30,34,33,62,68,83,85,133,222,412,768,883,1409,1506,776,193,22
1997,7356,55,26,12,18,32,25,27,35,67,69,122,107,111,245,400,705,1103,1292,1677,949,263,16
1998,8567,64,34,11,22,24,24,41,43,68,53,81,130,147,212,447,812,1398,1283,2067,1223,350,33
1999,9497,65,25,13,18,18,26,45,39,58,65,99,121,127,224,427,811,1640,1331,2361,1451,494,39
