"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,11382,236,592,258,189,347,506,569,562,593,741,962,845,766,1024,990,838,719,390,191,57,6,0
1926,10730,262,625,265,157,348,529,522,533,532,704,816,786,754,920,870,755,706,404,189,48,6,0
1927,8909,246,612,242,120,290,423,426,382,431,549,611,635,618,725,712,623,604,397,196,54,8,1
1928,8962,195,533,260,121,304,401,475,423,457,570,669,636,630,735,760,602,556,394,172,61,10,0
1929,9779,280,621,332,108,289,380,474,447,464,592,665,701,680,855,866,716,629,408,197,68,8,0
1930,9976,253,586,286,103,289,387,473,519,492,650,737,734,724,847,831,690,677,405,218,65,10,1
1931,10623,220,581,315,148,279,444,488,516,548,705,808,748,785,869,990,737,719,413,228,70,11,1
1932,10729,170,539,284,148,263,451,467,550,545,730,802,833,831,981,991,759,713,389,205,66,10,1
1933,10923,183,521,315,167,228,418,521,555,588,723,818,783,834,994,980,776,734,451,241,79,13,1
1934,10561,149,496,262,174,179,468,475,538,547,655,819,822,872,935,919,749,747,431,238,73,11,1
1935,10900,149,434,285,174,198,417,503,538,581,704,805,803,864,1008,988,807,843,443,257,82,13,1
1936,10696,141,393,281,139,224,377,468,541,506,700,830,826,856,1032,970,760,816,462,273,85,13,1
1937,10452,168,413,266,125,289,286,534,511,552,813,812,783,723,942,932,793,793,391,238,72,13,1
1938,10875,194,424,231,142,292,269,559,509,527,775,833,812,718,1022,979,871,893,450,273,88,15,1
1939,10548,154,344,255,181,246,229,480,433,498,727,791,746,783,1080,1004,778,967,467,275,92,18,1
1940,16733,266,563,588,546,647,557,699,875,1008,1099,1147,1079,1190,1355,1343,1053,1239,803,476,171,28,2
1941,9600,164,399,270,160,270,331,339,424,461,610,674,669,679,782,808,679,832,583,333,114,17,2
1942,9508,166,411,220,195,281,397,347,446,488,549,618,558,591,704,758,684,860,694,385,136,20,2
1943,12892,220,519,379,300,446,616,491,667,674,793,814,794,873,913,1048,906,1046,796,428,149,21,2
1944,34972,427,1044,1126,1242,1907,2415,1382,2279,2305,2554,2541,2439,2377,2371,2416,1839,2091,1248,699,230,36,3
1945,11514,258,489,322,216,363,559,401,529,553,608,634,691,705,873,1042,934,1025,740,421,130,20,1
1946,9296,207,410,199,136,222,372,275,343,455,468,505,575,598,752,832,860,878,677,389,119,20,1
1947,8720,211,395,205,123,261,320,300,279,409,444,509,512,515,670,735,770,818,688,409,124,21,2
1948,8440,150,432,162,82,206,271,279,254,364,462,478,560,533,650,712,736,788,716,444,136,24,2
1949,8546,159,370,161,99,193,245,281,172,323,472,479,562,565,668,737,772,876,750,472,160,28,2
1950,8937,157,422,109,81,178,267,258,229,340,470,543,561,581,665,722,812,957,830,530,186,31,5
1951,9519,187,371,126,88,210,254,261,210,276,472,615,651,669,682,783,815,1037,922,620,228,37,5
1952,9881,209,375,123,92,203,285,271,257,238,445,517,667,688,687,832,875,1123,967,686,289,47,5
1953,10520,181,394,156,80,201,294,308,297,244,415,560,702,700,721,855,1005,1140,1100,792,313,58,3
1954,10630,191,376,130,84,209,310,297,311,219,438,571,665,704,791,868,927,1208,1136,828,300,62,6
1955,11229,189,326,157,85,223,307,331,323,234,376,553,710,696,751,878,993,1257,1378,972,404,79,3
1956,12276,202,345,173,102,222,296,309,341,312,365,544,707,746,859,975,1168,1420,1595,1068,436,82,10
1957,12353,199,318,159,118,204,308,334,328,351,308,569,636,753,873,953,1143,1461,1600,1142,485,103,7
1958,12101,183,312,169,116,202,305,324,314,306,270,490,590,685,757,914,1124,1401,1741,1252,537,99,11
1959,12892,209,334,234,122,245,361,294,327,364,272,512,618,690,794,919,1129,1478,1864,1451,563,105,5
1960,12833,182,323,153,113,231,324,319,314,369,253,446,560,695,789,908,1156,1587,1854,1528,590,130,10
1961,13221,197,335,169,157,279,300,298,334,384,339,409,624,672,717,854,1137,1548,1948,1674,674,158,12
1962,14374,204,346,185,164,345,302,311,352,361,388,414,624,716,851,922,1129,1761,2138,1894,782,165,19
1963,14828,211,289,190,134,330,401,351,365,367,423,374,607,735,861,970,1272,1768,2170,1895,898,193,24
1964,14727,241,349,194,164,397,367,315,365,414,479,334,669,718,871,924,1231,1719,2081,1848,845,190,12
1965,15581,250,353,193,171,458,440,373,383,463,490,387,557,731,830,994,1282,1701,2230,2101,978,194,19
