"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,141,41,24,11,13,0,11,3,2,6,3,5,9,2,3,1,1,3,2,1,0,0,0
1926,152,49,25,13,12,0,11,3,2,6,3,6,8,2,3,1,1,3,2,1,0,0,0
1927,169,45,37,22,15,0,16,1,0,5,2,5,10,2,5,2,1,0,0,0,0,0,0
1928,206,71,20,20,12,0,12,2,1,7,4,7,15,6,8,7,5,5,3,1,0,0,0
1929,229,89,21,16,8,0,10,3,2,7,4,6,11,4,6,17,13,6,4,2,0,0,0
1930,215,103,25,17,11,0,14,2,1,3,2,4,0,0,0,14,11,5,3,1,0,0,0
1931,205,61,37,19,12,0,12,1,0,4,2,5,4,3,3,2,1,22,11,6,2,0,0
1932,185,32,28,19,15,0,12,0,0,9,4,9,4,3,3,4,4,21,9,5,2,0,0
1933,173,46,25,13,12,0,8,0,0,6,3,8,5,2,3,4,4,18,9,5,2,0,0
1934,147,54,16,15,15,0,9,0,0,4,2,4,3,1,2,7,7,5,2,1,0,0,0
1935,183,87,22,11,12,0,7,0,0,4,2,5,5,1,2,6,7,6,3,2,1,0,0
1936,193,92,28,13,14,0,8,1,1,3,2,3,4,1,2,5,5,5,3,2,1,0,0
1937,205,137,16,10,4,0,0,0,0,6,1,4,0,1,3,5,9,5,2,1,0,0,0
1938,246,172,14,8,10,0,0,0,0,6,1,1,2,0,3,6,16,2,2,2,1,0,0
1939,255,212,8,6,5,0,0,0,0,1,1,1,2,0,0,6,12,2,0,0,0,0,0
1940,236,174,15,3,3,0,2,0,0,2,1,2,2,2,1,8,8,6,4,2,1,0,0
1941,231,184,10,4,4,0,3,0,0,1,0,1,3,3,2,3,3,6,3,2,1,0,0
1942,258,204,12,2,2,0,2,1,1,2,2,3,5,3,3,5,5,3,2,1,0,0,0
1943,186,155,9,3,1,0,2,1,0,1,2,2,2,1,0,2,3,3,1,0,0,0,0
1944,224,175,12,2,3,1,4,1,1,1,2,3,2,5,4,1,2,3,2,1,0,0,0
1945,371,319,23,1,2,0,1,1,0,1,1,1,1,1,2,4,2,3,5,3,1,0,0
1946,445,395,18,3,1,0,1,0,0,2,0,3,3,1,0,4,5,5,2,1,0,0,0
1947,487,438,22,1,2,0,2,0,0,1,0,2,1,1,4,2,3,4,3,2,1,0,0
1948,334,302,13,0,1,0,1,0,0,1,1,2,2,0,1,3,2,2,3,2,1,0,0
1949,336,291,25,2,1,0,0,0,0,1,0,1,2,2,1,0,3,3,3,2,1,0,0
1950,287,236,22,1,0,1,3,0,0,2,1,5,4,1,1,2,2,3,2,1,0,0,0
1951,282,223,33,2,3,0,1,0,0,0,1,2,3,0,1,1,2,3,2,1,0,0,0
1952,225,161,34,1,2,2,0,0,0,0,1,2,3,2,0,8,2,3,4,0,0,0,0
1953,196,142,24,1,0,2,1,1,0,0,1,2,3,1,2,1,4,5,4,2,0,0,0
1954,183,137,15,1,1,0,0,1,2,0,1,1,1,3,3,5,5,2,3,1,1,0,0
1955,176,132,14,3,1,1,0,0,1,1,0,2,1,2,1,1,7,1,6,0,1,0,0
1956,165,109,16,4,1,1,0,0,0,3,1,0,3,2,2,6,6,6,2,2,0,0,0
1957,158,109,12,4,0,0,0,0,0,1,1,0,1,3,2,3,5,9,3,3,0,1,0
1958,160,102,22,1,1,1,0,0,0,0,1,1,1,4,5,3,6,5,3,2,1,1,0
1959,115,69,13,0,3,0,0,0,0,2,0,1,4,3,2,1,4,7,3,0,3,0,0
1960,98,53,7,0,1,0,0,0,0,0,3,2,1,4,1,2,6,8,4,4,2,0,0
1961,81,31,5,1,1,0,1,0,0,0,0,1,1,2,7,2,7,8,5,7,2,0,0
1962,83,28,8,0,0,0,0,2,1,0,0,0,2,0,1,6,12,10,6,5,1,0,0
1963,76,27,5,1,1,0,0,0,1,0,2,0,0,1,2,2,7,10,10,4,3,0,0
1964,83,26,4,1,1,0,0,0,0,0,0,2,3,0,3,6,14,7,8,7,1,0,0
1965,55,16,5,0,0,0,0,0,0,0,1,1,0,0,1,4,7,7,6,3,3,1,0
1966,61,16,2,0,1,1,0,0,0,0,1,0,0,4,2,6,6,10,4,6,2,0,0
1967,93,18,9,0,2,0,0,1,1,0,1,0,0,2,2,5,14,10,15,10,2,0,1
1968,60,15,3,2,0,0,1,0,0,0,2,0,0,2,4,4,10,6,9,2,0,0,0
1969,53,6,1,1,0,0,0,0,0,0,0,1,1,4,0,5,9,16,5,4,0,0,0
1970,58,9,1,1,1,0,0,0,0,1,0,0,1,2,2,5,4,15,9,2,3,2,0
1971,51,10,0,0,1,0,2,0,0,0,0,1,0,0,1,2,10,7,11,5,1,0,0
1972,61,13,2,1,0,0,0,0,0,0,1,0,1,0,1,7,5,12,12,4,2,0,0
1973,74,6,2,1,0,1,2,1,0,0,0,1,0,2,1,6,10,10,19,7,5,0,0
1974,72,7,0,0,1,0,0,0,1,1,0,0,3,0,5,7,6,9,15,10,4,3,0
1975,61,4,1,0,0,0,0,0,0,0,2,2,0,2,3,3,8,12,9,12,3,0,0
1976,76,5,1,1,0,0,0,0,0,1,0,1,0,1,1,8,12,17,13,8,6,1,0
1977,48,3,0,0,0,0,0,1,0,1,0,0,0,3,0,4,6,6,11,10,3,0,0
1978,42,1,1,0,0,0,0,2,0,0,0,1,1,2,0,5,2,11,12,1,2,0,1
1979,46,3,1,0,0,0,1,0,0,0,1,0,2,1,1,4,2,13,6,5,6,0,0
1980,40,1,0,0,0,0,1,1,1,1,0,1,0,1,1,4,3,3,9,7,4,2,0
1981,49,2,0,0,0,0,0,1,1,0,0,0,0,2,1,4,5,9,12,7,4,1,0
1982,49,2,0,0,0,1,0,0,0,1,0,2,0,1,1,3,3,8,11,8,8,0,0
1983,38,1,0,0,0,0,0,1,0,0,0,1,2,0,2,2,2,7,6,8,3,3,0
1984,44,1,0,0,1,0,0,0,0,0,1,0,1,1,2,1,7,11,11,2,3,2,0
1985,48,4,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,10,6,12,4,3,0
1986,72,2,3,0,1,0,0,0,0,1,0,0,0,1,4,1,4,10,23,13,8,1,0
1987,50,1,1,0,0,0,0,0,0,1,0,0,1,0,1,3,5,12,11,9,3,2,0
1988,43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,10,10,11,4,2,0
1989,38,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,4,8,9,6,3,0
1990,35,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,5,5,4,10,4,0
1991,36,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,15,2,4,0
1992,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,5,9,7,9,1,0
1993,43,2,0,0,0,0,0,1,0,0,0,0,3,0,2,2,0,2,6,9,10,4,2
