"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1976,4917,11,3,8,6,8,9,29,22,21,36,70,94,80,153,336,553,799,1058,981,483,139,19
1977,4572,6,3,5,4,9,7,17,21,24,28,42,84,86,117,247,488,802,1024,883,501,146,27
1978,4662,5,5,1,4,7,8,15,13,21,26,44,66,76,104,243,477,786,1068,969,538,152,35
1979,4469,5,2,4,4,7,8,11,11,16,21,44,48,95,83,215,421,708,1070,965,565,148,18
1980,4456,2,2,4,2,1,11,10,5,14,25,42,47,82,81,192,388,758,1000,983,614,164,29
1981,4240,3,1,2,2,4,9,6,18,19,22,39,58,75,77,167,404,645,985,975,551,156,22
1982,4130,6,4,2,3,2,7,9,11,10,12,25,50,66,82,155,369,634,1005,963,529,165,21
1983,4088,1,6,1,3,2,6,12,12,17,13,40,47,67,107,113,312,657,896,999,582,163,32
1984,3841,6,2,1,2,6,8,8,11,10,11,29,42,62,94,98,345,589,862,903,568,167,17
1985,3928,5,4,0,4,2,6,6,9,8,14,27,41,54,94,114,307,585,892,969,586,181,20
1986,3827,6,1,2,2,5,7,7,6,17,17,18,29,50,94,117,239,514,865,1022,596,188,25
1987,3576,4,1,0,0,2,1,5,10,17,16,16,27,60,85,118,194,516,786,926,570,194,28
1988,3436,5,1,0,0,5,4,6,8,11,17,17,30,59,79,141,177,473,751,875,574,173,30
1989,3546,5,1,2,0,5,3,5,5,10,10,20,33,58,73,138,153,451,747,966,619,206,36
1990,3558,5,0,0,2,2,1,3,8,11,18,10,22,53,70,132,174,437,805,884,665,220,36
1991,3613,4,0,1,0,3,4,4,5,8,14,23,30,63,76,162,183,415,763,954,624,238,39
1992,3377,4,3,0,3,3,4,4,5,3,13,17,21,48,59,136,187,333,709,935,650,213,27
1993,3733,3,0,2,1,3,1,1,9,11,19,22,18,33,89,154,256,334,785,989,733,231,39
1994,3597,3,0,0,1,1,0,1,6,9,10,25,19,35,73,141,280,296,779,903,731,241,43
1995,3702,4,1,1,1,0,2,5,5,8,18,27,24,39,78,147,303,321,744,922,737,264,51
1996,3679,4,0,0,0,1,2,6,7,11,11,13,23,44,73,158,294,358,639,936,754,288,57
1997,3700,1,1,1,1,0,4,5,5,8,21,15,20,33,60,146,248,417,600,990,787,280,57
1998,3834,6,0,2,1,2,3,1,8,7,13,19,28,38,74,141,279,446,532,1040,823,320,51
1999,4017,1,2,0,0,1,0,5,3,3,11,25,39,38,51,137,259,480,511,1150,910,318,73
