"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,343827,31298,12276,3121,3169,7351,9681,9243,8664,8998,10435,12095,14881,17831,23957,30616,37190,41760,35375,18698,6126,991,67
1926,347581,34090,12596,3710,2957,7444,9898,9357,8904,9127,10564,12269,15461,17461,23853,30314,36848,42143,34961,18921,5740,884,75
1927,332599,28812,11172,3874,2509,6806,9403,8962,8573,8509,9622,11273,14549,16494,23141,29790,35681,42549,34602,19289,5923,979,83
1928,330736,31495,11325,4184,2241,6863,9105,8980,8330,8330,9430,10947,14177,16861,22636,30334,35620,40783,33486,18590,5998,930,89
1929,362240,32046,11234,4618,1936,6560,9183,9182,8516,8908,10155,11987,15351,18210,24568,33719,40953,46395,38964,21750,6838,1083,81
1930,311877,27287,9104,3941,2005,5534,8234,8321,7983,8232,9301,11405,13929,17409,22148,29402,35421,37081,31741,17258,5246,827,65
1931,331021,25442,9131,3806,2350,5016,8114,8262,8087,8320,9394,11514,14001,18511,21968,31414,38933,41297,37022,20730,6541,1081,84
1932,320209,25348,9002,3649,2523,4178,7426,7556,7685,8094,9233,11216,13855,18137,22100,30490,38493,39219,35510,19025,6350,1052,67
1933,320013,23473,7925,3508,2579,3567,6875,7340,7574,7919,9050,11358,13785,18522,22774,30202,39141,40254,36447,19771,6751,1112,84
1934,302770,21513,7792,3354,2705,2721,6592,6925,7162,7647,8436,10679,13404,17335,22250,28548,36950,39155,33663,18859,6036,979,64
1935,315984,20193,6738,3036,2543,2992,5987,6951,7232,7995,8935,11224,14332,18110,23419,30275,38896,42365,35584,20994,6959,1136,85
1936,307801,19512,6755,2867,2373,3250,5144,6278,6752,7466,8797,10488,13892,17091,23859,28454,38404,42043,35131,21146,6849,1143,103
1937,300867,18729,6126,2779,2264,3763,4634,6551,6526,7403,8462,10269,13468,16765,23027,28258,37446,41503,33760,21073,6743,1226,90
1938,310431,18571,5757,2698,2189,3819,4211,6265,6582,7289,8646,10647,13627,17011,23896,29383,38266,44034,36181,22418,7548,1303,88
1939,298425,17102,4782,2296,1876,3726,3477,5545,5878,6670,7871,9925,12574,16118,22397,28772,37134,43793,37056,22389,7558,1399,84
1940,358666,21955,6627,2972,2441,4335,4217,5771,6841,7775,9056,11045,13998,18636,25684,34513,44331,52410,46510,27688,10073,1658,129
1941,309520,16552,5114,2448,2071,3892,4306,4757,5983,6922,8541,10539,13195,17045,22494,31440,37285,44913,39835,22915,7956,1206,108
1942,305037,17641,4638,2286,2018,3813,4807,4206,5967,6468,7749,9567,12064,16036,21794,30488,37454,45294,40705,22670,8076,1197,96
1943,297828,19922,4755,2472,2102,3679,5183,3889,5800,6301,7511,8968,11348,15072,20308,29612,36846,43199,40219,21755,7692,1102,91
1944,338574,20883,5409,2914,2914,4941,7152,4439,7257,7662,9008,10634,12978,16691,23015,32788,41875,48109,44779,25242,8438,1341,103
1945,305143,30686,6288,2334,1782,3135,4802,3574,4878,5846,6762,8467,10794,14201,20272,29295,38283,43001,39555,22734,7249,1131,74
1946,270984,25854,4482,1688,1408,2543,3908,3519,3760,5027,5847,7172,9787,13121,18642,26119,35875,37607,35910,20902,6608,1133,70
1947,265240,26261,3689,1250,1058,2147,3372,3359,2960,4371,5321,7229,9652,12302,18043,25140,35364,38343,35884,21535,6695,1178,85
1948,248430,20425,3276,991,789,1708,2730,3144,2388,4008,5252,7164,9365,12272,17461,24201,33864,36851,33685,21049,6536,1172,96
1949,285190,22414,3969,997,871,1608,2333,3094,2051,3958,5483,7322,10023,13119,18695,27075,38875,44855,41426,26237,9031,1625,127
1950,262269,18940,3334,708,713,1281,2072,2607,2086,3523,5008,7207,9729,12712,17564,25613,35257,42082,37523,24081,8573,1450,206
1951,279472,17864,3560,728,646,1162,1930,2574,2414,3155,4902,7293,10117,13507,18403,26359,36871,47525,40734,27547,10258,1696,227
1952,257943,15930,3493,688,505,960,1552,2028,2290,2485,4669,6733,9688,12661,17020,24929,34575,43074,38228,25247,9337,1682,167
1953,275284,14115,2790,736,477,834,1450,1913,2441,2294,4583,6840,10007,13182,17693,25712,36713,47711,44059,28485,11077,1952,220
1954,253523,13957,2651,694,434,784,1283,1705,2424,1886,4284,6436,9294,12497,16829,24118,33479,43171,40160,25463,9926,1911,135
1955,257471,13179,2622,692,388,685,1146,1648,2200,2040,3871,6342,9173,12252,16754,23851,34010,43585,42732,27411,10714,2049,127
1956,266836,12305,2135,702,454,662,1039,1536,2183,2428,3442,6227,9169,12229,17015,24032,35215,45481,47261,28773,12013,2325,210
1957,258281,11721,2277,711,542,693,1038,1517,2024,2549,3008,5885,8729,11915,16882,23490,34480,43664,44847,28269,11543,2300,197
1958,246521,10892,2045,635,500,595,940,1324,1820,2452,2406,5303,7953,11049,15536,22108,32083,41850,44500,28756,11298,2285,191
1959,250074,10354,2000,739,566,582,1027,1309,1781,2670,2266,5188,7947,11277,15713,22103,31996,42608,45113,30115,11864,2598,258
1960,255149,9475,1666,603,531,602,955,1277,1751,2632,2470,4961,7954,11115,15852,22637,32104,43495,46218,32926,12863,2848,214
1961,242767,9114,1659,587,536,654,813,1190,1752,2478,2647,4314,7358,10580,15276,21503,30371,41101,43708,32224,11891,2797,214
1962,264581,8902,1720,605,547,789,851,1131,1796,2509,3151,4031,7654,10902,16117,23054,32209,44977,48815,37003,14420,3049,349
1963,272200,9315,1561,636,517,826,945,1211,1737,2412,3608,3647,7660,11088,16423,23621,33316,46010,50067,38211,15757,3262,367
1964,251518,8590,1515,587,500,875,889,1007,1602,2442,3677,3116,7471,10504,15559,22019,30863,41775,45881,34599,14664,3040,342
1965,263031,8097,1332,569,527,941,960,1073,1619,2522,3596,3661,6858,10743,15712,22796,32342,43091,49098,37180,16519,3434,361
1966,255582,7838,1309,616,484,909,1022,1031,1504,2435,3565,4101,6248,10219,15302,22041,31754,41589,47002,36377,16533,3324,382
1967,262183,7344,1273,568,534,1022,1202,1035,1522,2371,3484,4499,5643,10101,15096,22356,32433,42468,48839,38270,17829,3954,339
1968,267746,7297,1295,607,551,1046,1213,971,1316,2273,3498,5087,4857,10207,15027,22540,32692,43648,49977,39831,18970,4366,477
1969,275736,6989,1240,638,620,1059,1302,1007,1351,2326,3513,5547,4576,10292,15726,23958,35121,45869,50329,40253,18949,4554,517
1970,263074,6533,1125,629,530,1074,1299,987,1340,2123,3439,5060,5026,8919,14295,21857,32207,43168,48623,40130,19411,4719,580
1971,268611,6370,1191,633,578,1076,1377,1075,1264,2183,3384,5184,5645,8280,13981,21696,32009,43879,50043,42150,20710,5292,611
1972,264600,5972,1050,648,571,1133,1408,1187,1296,2096,3448,5096,6276,7274,13983,21079,31679,43731,49106,41438,20282,5198,649
1973,270801,5637,1107,632,541,1119,1421,1197,1213,1993,3284,4940,6639,6314,13523,20869,32325,44415,51387,43793,21983,5748,721
1974,265947,4925,1058,575,511,1092,1237,1247,1288,1721,3157,4828,7253,5679,12931,20105,31531,43714,50641,43176,22636,5894,748
1975,269245,4371,977,517,491,1032,1255,1338,1213,1739,3044,4803,7048,6385,12005,20217,31436,44448,52063,44201,23464,6319,879
1976,266928,3771,892,540,492,1077,1234,1347,1224,1720,2910,4737,6877,7217,10625,19129,30261,44421,52101,44944,24111,6432,866
1977,255205,3509,858,522,497,1038,1305,1380,1318,1657,2646,4508,6421,7808,9118,17941,28702,42088,50330,42774,23282,6342,1161
1978,260698,3314,749,531,456,1008,1194,1241,1451,1595,2592,4459,6408,8574,8091,17487,28679,42689,52386,45043,24834,6785,1132
1979,258071,3211,656,520,448,1048,1203,1216,1494,1617,2541,4173,6388,9084,7118,16933,27675,41814,51655,45709,25367,7197,1004
1980,261627,3282,737,476,461,1035,1231,1239,1623,1633,2500,4116,6254,8700,7788,15511,27255,42098,52863,47202,26548,7931,1143
1981,267209,3200,735,462,461,1053,1156,1221,1603,1799,2320,3866,5947,8407,9198,14343,26607,42242,54776,50163,27917,8490,1243
1982,260444,3152,668,422,448,953,1174,1254,1591,1922,2232,3685,5892,8234,10022,12494,25935,40600,53484,49275,27582,8215,1210
1983,270758,2877,741,391,442,906,1214,1322,1612,2026,2217,3614,5918,8166,11105,10975,25801,41629,56540,52442,30299,9072,1449
1984,260022,2702,610,344,420,876,1153,1238,1619,2058,2226,3490,5535,7928,11456,9493,24484,39478,54071,50729,29668,9039,1405
1985,265604,2648,614,343,374,818,1142,1207,1545,2241,2120,3260,5464,7824,11208,10627,22909,39659,55485,53622,31039,9880,1575
1986,263147,2650,587,340,356,827,1080,1180,1460,2130,2411,3152,5222,7628,11003,12032,20398,38303,54451,53859,32219,10248,1611
1987,252106,2445,534,350,324,705,1000,1095,1459,2119,2552,3036,4947,7511,10379,13206,17337,36257,51356,52069,31752,10002,1671
1988,252144,2512,542,293,318,716,976,1173,1404,2123,2720,3087,4824,7217,10173,14286,15134,35355,50872,53267,32722,10707,1723
1989,255020,2391,535,304,343,685,1010,1150,1470,2103,2938,2970,4596,7076,10086,15130,13022,34219,50915,55287,35185,11621,1984
1990,253537,2315,463,276,292,678,903,1168,1421,2092,2896,3019,4354,6783,9843,14179,14385,31554,50378,55677,36431,12297,2133
1991,252125,2269,524,285,303,627,961,1227,1470,2004,3012,3284,4121,6486,9765,14204,16345,28174,49254,55497,37396,12758,2159
1992,250024,2063,412,274,282,596,925,1200,1592,2135,2951,3516,3988,6244,9483,13958,18181,24447,48247,55040,38684,13432,2374
1993,256586,1872,415,267,270,604,958,1192,1584,2019,3068,3839,4036,6215,9535,14007,19901,21965,48708,57753,41422,14337,2619
1994,249216,1748,362,243,298,498,884,1131,1551,2153,2893,4043,4043,5886,9109,13674,21399,18729,46396,55419,41262,14751,2744
1995,256512,1543,393,223,278,540,903,1103,1597,2092,3068,4328,4078,5581,8915,13705,21165,21349,44232,58240,43668,16477,3034
1996,258984,1479,328,213,234,513,802,1016,1526,2095,2959,4266,4557,5451,8633,13439,21012,24533,40702,58285,45826,17815,3300
1997,257507,1458,355,188,247,526,713,855,1299,1892,2842,4278,4985,5321,8086,13327,20169,27585,35657,58802,46403,19000,3515
1998,259802,1475,273,213,236,500,741,888,1218,1879,2872,4086,5176,5353,7976,12904,20117,30415,31870,59651,48012,20186,3758
1999,262695,1375,302,194,243,502,708,835,1175,1844,2918,4218,5501,5279,7776,12378,19698,33224,28642,60580,50111,21097,4093
