"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,7712,54,127,47,34,118,62,132,118,128,199,198,337,522,756,674,935,1320,1121,620,184,26,0
1926,7817,60,122,53,31,105,62,119,109,120,187,188,323,477,725,702,985,1411,1180,655,181,23,0
1927,7681,42,80,36,26,65,51,82,83,88,128,153,269,408,675,767,1013,1541,1228,717,202,27,0
1928,7819,51,69,45,22,71,51,91,88,100,137,162,274,434,692,807,1060,1497,1235,699,206,27,0
1929,8286,59,75,48,18,68,46,93,96,110,146,168,293,459,712,792,1128,1592,1346,782,224,30,0
1930,7246,75,80,43,15,55,37,67,80,89,134,161,272,455,662,724,1191,1130,1225,587,145,18,0
1931,8011,60,81,42,30,58,38,86,92,105,153,175,301,502,644,763,1303,1248,1422,703,181,24,0
1932,7995,45,69,48,23,47,39,78,93,102,152,190,320,542,710,743,1331,1231,1377,652,178,24,0
1933,7975,44,64,48,33,54,46,89,104,96,151,176,315,542,726,709,1322,1245,1356,651,181,24,0
1934,7767,36,69,49,31,34,32,79,94,100,146,169,302,552,802,728,1251,1215,1265,627,164,22,0
1935,8278,36,65,49,31,44,36,97,98,109,177,207,346,564,821,797,1296,1296,1312,686,186,25,0
1936,8057,48,63,49,35,50,37,79,100,108,183,178,334,563,804,716,1282,1281,1266,676,180,25,0
1937,7680,56,73,46,22,71,32,91,79,91,183,174,302,556,794,752,1246,1163,1131,627,167,25,0
1938,7816,47,85,36,18,68,33,73,65,77,184,209,304,552,883,826,1162,1160,1177,649,182,27,0
1939,7496,45,51,33,16,61,24,50,68,77,177,199,275,485,825,784,1096,1162,1206,650,183,29,0
1940,8414,58,65,43,35,67,40,76,101,119,166,198,294,549,774,877,1240,1363,1373,728,220,30,0
1941,6934,54,44,39,27,63,37,63,99,112,153,202,265,454,641,788,960,1057,1115,573,166,21,0
1942,6762,52,46,32,25,58,40,60,108,117,183,219,307,447,598,690,938,1029,1092,541,159,19,0
1943,5991,90,46,47,22,55,45,45,71,87,132,139,225,348,514,535,851,916,1113,535,156,18,0
1944,6342,66,44,36,21,54,52,44,89,97,137,163,273,362,493,586,924,977,1161,581,160,21,0
1945,5663,61,62,36,26,51,54,42,67,79,139,140,224,354,497,548,801,832,992,508,134,17,0
1946,5093,69,53,39,27,55,45,53,56,72,108,115,206,341,477,478,731,718,865,450,119,17,0
1947,4773,54,46,21,17,42,34,46,42,65,103,110,171,278,409,495,696,705,849,455,118,17,0
1948,4558,57,51,16,17,38,31,38,33,53,82,112,175,272,384,433,676,690,812,453,117,17,0
1949,5480,43,69,15,27,47,34,51,33,52,98,126,176,297,461,568,807,880,968,548,157,24,0
1950,5427,47,56,22,13,33,28,54,30,51,80,131,193,299,469,592,800,906,916,528,158,22,0
1951,5934,44,46,7,23,27,34,46,35,44,88,119,207,336,484,680,863,1058,984,597,187,26,0
1952,5699,42,66,19,12,23,28,33,32,34,66,107,212,344,468,643,896,1033,817,574,215,36,0
1953,5993,37,49,13,15,26,22,32,38,31,98,96,188,329,533,704,925,1071,904,606,238,36,0
1954,5742,41,47,22,7,25,23,30,37,27,61,92,190,299,496,686,957,1072,819,553,222,38,0
1955,5945,39,53,11,7,16,18,23,33,28,54,93,169,293,487,722,967,1127,939,594,229,40,0
1956,6141,40,30,12,6,14,15,25,38,37,56,118,199,303,520,733,972,1146,1003,593,240,42,0
1957,5756,40,49,8,2,11,19,31,28,40,44,95,173,292,477,689,943,1067,929,546,229,43,0
1958,5713,33,31,10,11,9,16,19,25,29,29,87,138,241,531,648,925,1096,968,602,222,45,0
1959,5528,35,48,14,6,8,15,13,25,37,35,63,131,264,440,655,900,1034,935,594,227,48,1
1960,5863,31,25,10,3,13,21,22,20,41,37,74,137,262,469,720,946,1130,998,626,236,43,0
1961,5854,25,36,14,4,9,9,22,35,30,31,64,132,244,491,709,954,1120,987,657,235,46,0
1962,6523,29,30,9,7,11,12,19,34,36,48,56,135,306,541,796,1054,1235,1101,733,281,50,0
1963,7281,28,21,4,14,13,13,14,29,30,61,57,137,310,578,944,1185,1406,1232,831,317,55,0
1964,7031,27,32,4,6,13,8,20,33,25,63,47,124,312,573,896,1204,1370,1174,752,291,59,0
1965,7514,34,28,7,6,10,12,11,34,41,68,54,130,287,603,893,1305,1479,1319,821,314,58,0
1966,7645,27,25,9,5,13,16,7,24,37,52,59,132,288,606,956,1346,1530,1301,828,322,63,0
1967,7866,22,22,9,3,20,11,14,21,35,64,74,107,307,598,935,1387,1558,1375,871,355,78,0
1968,7246,74,29,12,4,5,8,7,13,27,41,63,81,271,543,911,1308,1451,1213,793,329,64,0
1969,8424,91,28,16,12,16,11,16,21,25,64,99,109,260,615,990,1470,1613,1491,960,418,100,0
1970,7703,88,35,12,7,11,10,10,15,34,49,71,96,225,463,912,1306,1529,1365,965,406,93,0
1971,7561,64,28,17,11,11,12,9,15,33,50,68,93,199,450,815,1251,1490,1380,1017,435,115,1
1972,7810,64,20,16,7,9,13,18,11,13,47,85,102,211,457,857,1221,1569,1489,1031,443,122,4
1973,7840,63,24,30,14,10,9,15,17,30,61,76,133,146,419,783,1224,1506,1495,1122,531,134,0
1974,8189,50,38,29,12,9,20,11,22,17,49,59,117,167,380,764,1286,1601,1597,1201,592,161,5
1975,8767,50,17,18,10,11,14,20,20,30,36,68,134,151,351,885,1346,1693,1724,1319,685,183,3
1976,9295,45,26,17,20,14,14,22,14,14,45,75,124,179,366,799,1386,1791,1854,1500,777,209,4
1977,8822,30,25,25,12,13,9,19,24,8,28,59,133,183,300,659,1245,1714,1930,1406,744,252,4
1978,8836,34,16,29,18,13,9,16,20,23,32,74,120,198,243,662,1197,1707,1904,1499,803,215,3
1979,8088,33,18,20,11,13,11,8,17,17,33,49,91,192,188,537,1012,1590,1746,1501,756,218,27
1980,8221,42,16,26,24,11,13,18,20,19,34,56,104,187,209,489,1047,1538,1784,1524,802,228,30
1981,8276,37,21,23,25,22,8,11,22,24,30,58,81,157,246,452,979,1499,1912,1565,845,220,39
1982,7969,34,29,19,23,9,12,9,23,22,18,42,101,160,262,389,864,1479,1761,1547,877,258,31
1983,8645,53,28,19,21,15,11,13,19,24,32,40,100,173,297,350,926,1521,1999,1679,981,295,49
1984,8185,45,12,11,13,18,20,8,18,21,23,46,89,128,288,280,852,1447,1904,1683,925,295,59
1985,8201,43,19,12,13,14,16,16,13,30,30,31,82,163,281,320,719,1385,1892,1740,999,332,51
1986,8189,38,19,12,16,15,14,11,9,25,24,38,88,128,260,339,662,1374,1838,1774,1068,373,64
1987,7788,29,15,14,11,11,13,5,17,24,27,28,67,134,234,410,528,1185,1729,1777,1119,355,56
1988,7698,29,11,12,16,9,16,9,12,27,32,47,62,124,235,411,456,1152,1737,1775,1101,365,60
1989,8015,21,17,10,13,10,9,10,15,20,25,31,70,122,225,394,395,1114,1720,2021,1258,444,71
1990,8262,27,11,19,11,6,11,12,12,12,30,34,62,130,216,398,473,1061,1714,2049,1354,528,92
1991,8171,25,11,6,9,11,15,13,15,25,34,39,52,111,223,366,469,880,1757,2065,1410,535,100
1992,8098,27,12,12,13,6,17,14,12,28,38,45,55,108,203,358,518,754,1687,2021,1498,554,118
1993,8415,21,9,4,6,11,18,18,15,22,35,34,57,109,188,391,594,713,1695,2112,1637,619,107
1994,8196,25,8,6,11,6,15,5,6,23,47,52,45,106,203,378,619,587,1641,2020,1669,594,130
1995,8557,21,7,5,13,11,14,16,15,18,31,55,46,85,195,347,648,654,1535,2131,1836,742,132
1996,8445,21,8,6,10,13,6,10,17,23,32,50,56,90,158,331,596,777,1300,2203,1809,785,144
1997,8710,19,8,7,20,12,7,3,14,19,35,58,58,86,152,365,632,909,1244,2184,1888,820,170
1998,9717,22,6,2,10,15,11,16,16,22,34,65,80,94,179,446,717,1192,1251,2406,2032,904,197
1999,10221,25,14,5,7,12,12,13,13,19,34,58,85,93,209,415,777,1352,1235,2443,2175,1009,216
