"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,11446,923,355,88,104,136,210,214,304,445,614,856,1042,1104,1177,1192,1111,887,465,173,38,7,0
1926,12725,1350,466,137,89,163,195,232,332,466,693,892,1134,1111,1271,1295,1173,990,457,214,57,7,0
1927,12908,1030,354,153,101,180,210,228,347,438,608,817,1041,1110,1368,1465,1334,1252,579,229,55,8,0
1928,13090,1310,440,203,82,173,195,256,346,438,622,764,1089,1106,1330,1459,1305,1124,549,234,58,10,0
1929,13444,1283,405,209,87,172,215,266,345,441,658,841,1041,1174,1406,1531,1310,1153,593,250,55,7,0
1930,12879,865,338,317,131,205,300,346,428,533,673,926,1076,1185,1262,1397,1053,1094,431,235,72,11,1
1931,12464,780,329,282,172,161,293,327,405,477,649,770,981,1218,1231,1333,1105,1161,446,251,80,13,1
1932,12543,694,347,250,182,155,298,324,425,536,690,890,1013,1146,1200,1371,1096,1113,465,250,84,14,1
1933,12448,682,317,285,189,146,291,320,390,493,652,882,1019,1200,1262,1312,1107,1127,439,239,82,14,1
1934,12195,573,282,292,186,125,237,305,413,470,669,844,1015,1167,1294,1279,1061,1115,489,275,89,14,1
1935,12441,491,247,229,151,118,227,302,402,516,658,930,1157,1196,1297,1321,1126,1209,474,281,94,15,1
1936,12031,403,230,218,155,128,164,241,347,513,709,905,1049,1209,1365,1253,1099,1188,466,282,92,15,1
1937,12244,456,253,370,204,152,131,272,435,574,682,843,1070,1100,1249,1265,1103,1193,477,299,96,17,1
1938,12191,518,274,445,201,123,113,267,460,597,677,879,1028,1102,1155,1231,1109,1074,502,312,105,18,1
1939,10625,526,273,313,116,102,90,244,367,503,613,813,884,1009,978,1066,980,980,416,252,85,16,1
1940,13335,809,331,176,138,143,104,179,289,438,669,830,1041,1175,1300,1374,1309,1532,806,484,178,29,2
1941,13583,495,188,158,122,152,119,193,287,411,698,889,1088,1187,1403,1561,1357,1612,918,530,185,28,2
1942,12615,609,209,140,128,123,172,150,266,339,431,621,763,946,1249,1526,1466,1745,966,540,193,29,2
1943,10873,756,180,113,122,122,188,135,273,325,375,511,661,766,975,1206,1233,1443,842,457,163,23,2
1944,9695,643,184,104,137,144,212,131,262,313,358,446,569,668,904,1147,1053,1208,677,384,129,20,1
1945,10304,1276,324,105,97,127,183,160,296,324,435,539,604,680,818,1022,982,1101,686,397,128,20,1
1946,8822,767,198,78,87,107,165,183,189,276,355,421,505,614,772,891,1010,1054,638,372,118,20,1
1947,9079,904,227,80,94,110,138,126,155,256,354,430,584,606,786,981,969,1047,676,407,127,22,1
1948,9038,583,144,46,60,85,111,123,119,233,390,554,662,692,864,1037,1011,1095,662,414,129,23,2
1949,9613,704,204,51,66,77,83,124,122,263,431,599,728,775,875,1042,1015,1165,681,431,149,27,2
1950,9502,398,154,29,51,64,85,135,114,258,413,653,817,892,889,1040,1001,1186,692,443,158,26,4
1951,10316,299,145,47,40,56,72,105,150,204,453,723,977,1062,1026,1157,1044,1335,721,486,182,30,4
1952,10855,229,133,46,43,49,74,95,154,214,487,747,1011,1139,1234,1232,1266,1190,882,454,146,29,3
1953,11558,203,100,37,25,43,91,129,183,220,525,838,1207,1311,1280,1280,1267,1264,893,499,137,22,2
1954,11361,163,89,48,18,31,61,99,199,195,498,767,1095,1286,1261,1369,1246,1254,981,503,165,28,6
1955,11893,158,88,35,22,25,59,90,178,245,449,846,1168,1341,1416,1376,1345,1271,1011,572,166,32,2
1956,12249,139,81,31,20,42,49,98,203,291,431,767,1205,1263,1420,1438,1484,1355,1122,550,231,30,1
1957,11466,150,74,26,29,23,49,79,160,250,389,684,1006,1209,1366,1343,1345,1348,1097,614,185,35,4
1958,10562,149,61,19,29,25,34,60,135,208,242,534,796,1026,1139,1263,1349,1386,1218,655,189,43,3
1959,10891,141,56,25,31,26,46,70,140,258,230,560,872,1032,1167,1292,1358,1402,1261,647,224,54,2
1960,11290,105,41,24,25,19,23,68,145,268,296,541,911,1109,1295,1357,1422,1425,1233,717,215,47,3
1961,11609,107,46,24,29,13,26,76,161,261,345,523,867,1098,1190,1490,1422,1518,1290,814,247,58,4
1962,11967,98,41,16,20,26,27,54,147,290,401,509,873,1054,1344,1475,1516,1619,1343,797,258,54,6
1963,12476,100,35,13,14,30,33,64,158,254,479,433,880,1154,1369,1533,1573,1624,1427,908,333,56,6
1964,12301,98,40,15,14,28,36,52,154,298,493,420,911,1104,1230,1479,1541,1620,1467,868,365,58,10
1965,12679,82,32,20,20,20,31,66,143,354,475,497,850,1106,1403,1503,1572,1612,1470,996,352,65,11
1966,12973,52,31,17,18,19,28,57,138,342,533,562,760,1076,1431,1542,1631,1673,1593,980,421,63,5
1967,13602,60,24,13,12,23,40,53,155,374,509,628,717,1065,1381,1542,1789,1773,1689,1189,474,91,1
1968,13674,84,30,15,16,23,46,51,126,347,492,721,601,1123,1354,1600,1766,1841,1722,1135,483,88,8
1969,14347,85,26,13,10,28,32,56,146,365,540,736,548,1026,1373,1732,1866,1956,1943,1268,484,103,9
1970,14401,101,21,20,9,15,45,47,131,317,549,728,702,885,1324,1609,1870,1996,1939,1398,578,105,12
1971,14841,105,22,11,14,29,50,57,120,330,561,768,744,897,1328,1631,1918,2103,1990,1423,584,141,16
1972,15412,112,20,13,20,24,46,65,115,309,599,765,823,776,1323,1636,1913,2297,2132,1629,650,130,16
1973,15740,111,22,15,21,28,42,71,132,304,573,754,872,719,1328,1687,1984,2264,2314,1661,686,136,15
1974,15237,89,18,14,13,17,35,78,118,221,550,744,968,658,1173,1511,1923,2246,2267,1670,782,131,12
1975,15925,72,18,14,20,21,46,81,137,275,541,796,922,763,1101,1605,1963,2407,2371,1797,792,173,11
1976,15754,68,17,25,22,19,38,75,125,253,480,790,947,859,950,1428,1981,2331,2420,1835,888,190,14
1977,15364,61,14,11,5,27,22,81,111,209,398,746,853,903,815,1401,1867,2324,2440,1956,878,217,23
1978,15438,50,24,11,9,20,33,71,150,205,399,730,903,1014,797,1358,1760,2236,2531,1951,939,212,34
1979,15344,25,10,6,13,22,29,71,113,195,372,639,883,1006,725,1284,1755,2277,2572,2057,1028,236,27
1980,15596,20,13,12,7,20,22,60,111,185,322,636,838,920,756,1145,1704,2393,2832,2162,1133,267,38
1981,15492,20,11,9,13,15,27,36,136,186,318,533,778,895,896,1009,1613,2266,2731,2437,1194,333,36
1982,14710,17,13,6,11,13,14,37,114,196,286,529,711,855,920,832,1467,2170,2715,2284,1170,316,34
1983,15234,13,15,5,6,7,23,38,119,195,267,457,759,827,949,732,1607,2191,2821,2495,1322,350,36
1984,14568,16,6,5,9,8,23,41,95,216,253,385,662,815,930,647,1386,2108,2854,2451,1275,339,44
1985,14182,17,13,4,4,9,23,37,94,227,223,365,643,791,889,664,1184,1998,2711,2492,1390,358,46
1986,13601,16,11,7,6,8,19,33,78,201,253,335,520,703,828,752,1089,1842,2580,2469,1359,436,56
1987,12886,11,5,4,7,12,13,22,80,191,264,317,429,669,732,777,838,1728,2438,2444,1451,399,55
1988,13056,16,10,3,4,6,10,30,75,162,299,315,495,619,785,877,863,1710,2409,2429,1451,423,65
1989,12762,18,14,4,7,4,8,20,65,176,253,290,411,662,737,898,641,1604,2350,2579,1483,480,58
1990,12589,18,9,6,6,1,10,17,55,170,303,322,418,549,704,783,768,1418,2333,2607,1558,458,76
1991,12653,19,10,3,3,6,10,14,63,142,262,305,361,518,745,820,868,1294,2296,2648,1669,525,72
1992,12342,20,7,3,1,6,6,31,57,115,217,322,335,507,689,823,960,1214,2261,2502,1639,532,95
1993,12431,19,7,3,0,3,7,12,42,138,244,345,345,487,670,762,1001,1013,2154,2618,1878,589,94
1994,12072,24,5,1,3,1,7,25,52,126,230,372,366,459,575,741,1106,898,2085,2568,1756,574,98
