"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1011,117,42,16,20,24,35,30,45,44,45,53,66,79,98,111,84,73,20,8,2,0,0
1926,1099,133,49,20,20,25,40,33,48,47,48,57,72,80,104,119,90,82,22,9,1,0,0
1927,1242,134,52,22,19,27,37,30,42,37,38,47,84,97,130,173,138,94,26,11,2,0,0
1928,1259,166,75,23,16,24,34,31,43,41,41,49,89,104,134,154,117,79,25,10,2,0,0
1929,1360,183,77,29,15,26,43,29,45,41,43,49,86,104,133,166,125,114,33,14,3,0,0
1930,1213,191,75,33,17,26,37,27,39,38,39,52,80,104,121,134,88,82,18,10,2,0,0
1931,1172,194,69,22,20,19,30,27,48,41,45,53,84,102,113,109,80,79,21,11,3,0,0
1932,1236,135,53,37,36,28,40,31,42,37,41,56,74,108,100,143,117,107,31,16,5,1,0
1933,1267,117,80,36,35,23,42,29,44,37,41,50,84,109,111,162,113,105,29,15,4,1,0
1934,1205,105,57,39,32,17,41,24,40,37,38,44,85,106,125,147,106,113,29,15,4,1,0
1935,1117,49,67,25,22,17,21,26,42,38,38,43,84,114,132,131,99,116,30,16,5,1,0
1936,1146,66,53,24,24,18,18,27,42,42,38,48,78,102,129,134,98,140,37,20,6,1,0
1937,1378,92,46,17,30,8,37,40,55,46,50,51,91,85,131,183,169,145,60,32,9,1,0
1938,1436,88,45,23,29,13,29,47,57,52,65,50,93,91,120,196,178,138,72,39,10,2,0
1939,1290,75,38,12,19,14,16,32,40,40,65,67,85,90,122,158,158,114,83,45,13,2,0
1940,1329,68,39,31,27,26,20,27,44,46,54,63,97,121,134,181,123,153,43,24,8,1,0
1941,1603,69,49,31,22,31,27,30,60,65,76,88,137,148,167,249,136,147,41,22,7,1,0
1942,1952,109,40,33,24,28,36,31,76,74,108,116,190,203,211,291,179,137,39,20,7,1,0
1943,1300,65,48,38,27,35,35,21,35,48,51,69,80,112,138,163,122,137,44,22,7,1,1
1944,1315,70,59,44,20,29,39,15,44,47,59,69,96,119,146,136,119,133,42,22,7,1,1
1945,1355,106,71,33,38,37,38,22,44,46,61,87,76,109,118,150,120,131,39,20,6,1,0
1946,1171,115,69,34,25,28,29,23,35,32,50,63,58,79,98,139,104,106,48,26,8,1,1
1947,1138,92,58,29,20,20,31,20,31,40,40,74,66,86,112,123,104,108,47,26,8,1,1
1948,1071,110,51,26,17,24,33,26,18,32,44,64,63,86,114,109,97,103,31,18,5,1,0
1949,1080,93,79,25,17,24,29,22,24,39,46,51,68,65,92,112,104,119,38,23,7,1,0
1950,1081,77,66,12,23,12,19,23,19,25,34,53,68,91,102,112,111,129,59,35,11,2,1
1951,1067,70,103,22,13,10,25,20,18,16,35,50,72,85,75,127,109,137,43,26,9,1,1
1952,1055,64,70,15,13,15,19,22,29,20,32,34,59,76,111,118,138,114,71,29,6,0,0
1953,1001,68,85,16,9,9,16,20,14,10,30,41,48,70,108,118,123,118,61,24,9,2,0
1954,940,71,66,21,8,17,7,16,19,16,21,39,52,63,88,86,112,125,72,29,12,1,0
1955,970,67,77,21,8,10,13,13,21,14,21,41,42,69,76,89,127,124,98,29,8,2,0
1956,866,68,58,15,7,13,12,7,13,14,15,33,48,68,63,91,112,110,80,30,8,1,0
1957,870,68,68,17,12,10,5,6,15,13,10,29,38,68,93,78,107,115,78,35,6,0,0
1958,841,52,67,14,5,8,13,10,9,9,11,36,33,51,67,87,108,124,86,44,7,0,0
1959,859,45,45,14,10,9,8,5,16,22,14,24,29,44,78,89,128,132,87,41,15,4,0
1960,813,38,33,13,12,7,13,9,13,8,16,19,30,54,57,82,93,145,103,50,14,3,0
1961,848,32,38,13,5,9,7,9,14,22,17,26,40,61,75,87,111,114,91,56,17,3,0
1962,825,38,38,12,8,9,7,10,11,9,13,23,29,47,58,87,101,142,103,65,12,2,0
1963,876,35,48,15,5,12,10,5,13,13,14,14,26,49,71,100,117,133,111,67,13,4,0
1964,824,30,52,11,4,13,4,2,11,8,10,10,24,44,66,94,103,117,125,77,16,3,0
1965,847,19,39,11,7,11,10,2,11,12,9,18,22,45,62,76,93,138,138,93,24,7,0
1966,894,27,35,7,4,6,10,1,15,17,22,18,19,44,61,103,107,149,128,87,30,3,0
1967,949,20,36,9,4,10,6,4,10,14,17,25,24,41,72,91,116,167,145,84,49,5,0
1968,1049,52,26,7,4,12,7,9,8,15,23,18,23,32,67,117,147,148,162,119,42,9,0
1969,1182,64,44,7,11,14,12,6,15,10,26,35,18,68,77,128,135,151,143,122,88,8,0
1970,1207,52,43,15,8,9,15,6,8,9,25,32,20,36,77,94,168,180,183,142,70,15,0
1971,1226,69,57,18,8,9,12,10,6,20,20,27,31,35,61,123,159,158,146,148,84,26,1
1972,1316,59,50,14,9,8,8,15,10,16,24,28,34,51,94,141,181,191,184,135,56,8,0
1973,1425,60,57,11,10,15,15,5,11,14,27,33,52,34,76,145,199,188,227,150,86,10,0
1974,1578,64,44,9,12,12,16,11,14,13,23,35,45,47,86,141,224,240,223,201,98,20,1
1975,1646,72,40,15,19,14,19,15,7,12,15,35,51,39,80,152,181,208,211,201,165,95,2
1976,1665,76,52,14,8,11,16,8,9,10,18,38,45,50,74,122,207,304,288,218,72,24,0
1977,1883,57,63,10,17,10,8,10,11,16,19,38,47,66,72,147,237,322,320,246,122,42,3
1978,1900,71,64,17,17,24,16,8,12,20,17,34,35,62,64,154,211,295,355,272,127,24,1
1979,1964,32,47,23,8,13,16,14,15,12,17,36,60,79,76,157,238,325,369,262,137,26,2
1980,2027,34,47,21,12,15,20,11,11,14,18,35,38,73,67,144,244,372,351,302,153,38,7
1981,2043,41,37,13,10,18,14,11,14,17,23,36,39,78,78,149,244,357,382,271,154,52,5
1982,2065,34,34,10,12,12,13,16,15,15,15,30,37,60,103,133,250,328,371,345,179,50,3
1983,2219,29,37,11,15,9,13,10,13,13,9,28,45,82,111,96,239,357,448,377,227,42,8
1984,2224,26,42,12,13,7,15,14,19,13,13,24,41,49,94,108,271,345,455,391,199,66,7
1985,2370,20,37,13,21,20,15,21,11,15,10,18,31,70,105,99,220,376,514,438,220,83,13
1986,2313,23,39,19,18,18,13,9,16,17,13,29,40,57,100,132,230,349,503,422,200,62,4
1987,2311,23,26,12,15,13,10,13,15,15,17,24,38,70,117,135,202,352,456,431,256,69,2
1988,2188,18,21,6,9,16,6,6,16,12,11,20,36,62,97,134,192,353,395,411,283,77,7
1989,2136,15,29,11,11,11,11,9,7,10,18,13,44,76,80,155,114,258,420,411,320,107,6
1990,2271,18,20,8,7,9,7,12,12,15,20,25,32,70,98,136,168,339,479,431,260,92,13
1991,2264,10,18,8,5,12,12,18,13,16,17,26,29,52,94,137,161,261,428,454,339,129,25
1992,2095,8,11,8,12,13,11,12,24,8,20,18,29,47,86,141,179,244,384,425,314,90,11
1993,2383,12,21,11,13,11,10,17,10,19,24,21,32,42,91,158,209,262,509,460,303,136,12
1994,2341,14,11,6,11,8,11,11,10,10,14,30,35,43,99,135,254,192,440,500,364,124,19
1995,2556,11,17,7,7,12,9,13,16,22,27,32,29,46,94,149,253,247,458,550,396,142,19
1996,2576,5,16,8,8,8,8,9,11,10,15,28,33,43,85,145,238,291,423,603,436,136,17
1997,2589,8,11,9,7,9,9,12,11,19,17,30,34,44,86,153,226,353,356,568,441,156,30
1998,2729,7,16,4,5,7,10,11,7,11,13,28,45,45,91,157,258,372,364,632,474,150,22
1999,2685,6,13,4,5,9,9,7,4,20,14,28,42,42,71,154,231,406,329,643,436,189,23
