"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1979,1745,0,1,4,10,7,10,11,10,18,15,30,50,83,65,159,259,370,304,223,96,19,1
1980,1936,0,3,5,4,8,7,7,17,11,22,41,55,88,112,218,344,369,319,208,70,26,2
1981,2255,0,3,3,3,11,5,13,9,21,24,47,60,103,110,220,328,438,434,265,136,20,2
1982,2289,0,2,2,5,8,7,13,14,11,21,46,60,92,126,163,355,447,414,296,150,52,5
1983,2603,0,2,4,4,8,10,7,11,17,17,27,69,86,144,189,354,479,455,379,257,79,5
1984,2681,0,1,0,3,6,6,9,14,18,19,26,54,84,146,138,275,432,474,482,283,208,3
1985,2656,0,2,2,4,8,4,9,13,23,19,42,56,119,138,178,396,528,527,394,166,26,2
1986,2645,0,1,2,2,3,9,8,15,12,18,22,64,90,148,217,368,485,518,406,191,59,7
1987,2656,0,1,2,2,7,4,6,10,17,20,14,56,101,171,222,379,491,507,425,187,31,3
1988,2537,0,4,2,3,6,5,2,17,14,18,13,32,86,113,182,198,389,464,487,300,194,8
1989,2555,0,1,3,6,7,8,12,10,14,19,19,46,75,119,197,189,436,545,508,255,70,16
1990,2551,0,2,1,0,4,5,6,6,13,13,21,27,77,131,186,241,508,580,479,206,42,3
1991,2635,0,1,2,6,6,6,12,2,9,31,21,45,60,145,224,260,455,573,467,231,70,9
1992,2399,0,2,1,3,6,7,2,10,8,13,29,28,54,88,156,217,273,538,505,350,104,5
1993,2663,0,1,3,4,9,6,6,1,11,18,28,19,58,112,192,253,293,591,580,366,107,5
1994,2580,0,0,0,1,4,8,6,10,19,24,32,31,64,143,173,371,388,579,428,224,67,8
1995,2642,0,3,3,5,2,7,9,10,11,21,25,31,33,99,160,296,267,570,588,386,93,23
1996,2605,0,1,4,3,7,4,4,4,12,20,29,30,36,99,141,242,308,502,599,406,137,17
1997,2577,0,1,1,4,8,4,5,6,13,20,24,27,37,75,167,245,370,407,596,400,143,24
1998,2856,0,1,1,2,6,4,7,8,12,20,27,36,47,78,166,292,411,449,678,441,150,20
1999,2972,0,2,3,2,4,6,7,8,8,19,27,40,58,77,154,245,494,359,736,508,192,23
