"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,712211,72926,25785,6315,6116,13800,19773,18932,17384,19712,24140,29454,36131,43230,55994,66844,75599,76546,61974,30737,9291,1427,97
1926,716966,78639,26120,7587,5581,13888,20252,19218,17825,19772,23986,28857,36928,41813,55649,66212,74799,77753,61099,30665,8841,1368,110
1927,679809,66318,23288,7918,4684,12872,18915,18619,17517,18036,21786,26123,34318,39354,52969,64596,72044,78389,60010,31592,8935,1419,104
1928,678269,72815,23632,8499,4294,12777,18468,18749,17149,17758,21569,25438,33764,40240,52488,65680,71563,75591,57052,30279,8966,1375,117
1929,742732,74184,23909,9288,3734,12666,19026,19520,18570,19144,23273,28004,37079,44175,57131,72521,81535,85695,66345,35120,10140,1564,106
1930,652953,62698,19434,8215,3953,10757,17148,18178,18328,18252,21658,26799,33927,42205,52101,64564,72661,70345,54200,28360,7847,1221,100
1931,682816,59360,19187,7818,4592,9863,16989,17958,18400,18344,21291,26224,33454,44840,51781,67974,78977,77847,62884,33391,9950,1559,130
1932,663705,59544,18898,7559,5092,8215,15948,16558,17946,18116,20711,25796,32656,43883,51882,66525,77746,73969,61152,30501,9407,1500,96
1933,664133,54467,16930,7321,5294,7075,14448,15937,18005,18256,20759,26389,32559,44735,53443,66705,79785,75406,63095,31725,10081,1603,113
1934,637713,50716,16699,7050,5361,5563,14040,15390,17482,19058,20059,25286,31974,42865,53064,64226,75886,74035,58349,29994,9087,1429,95
1935,661722,47480,14374,6430,5098,6137,13082,15112,17916,20329,21184,26310,33689,44173,56147,67101,80046,79536,62100,33309,10403,1630,132
1936,645844,45771,14311,6050,4743,6615,11188,14078,16883,19683,21115,24858,32579,41421,56880,63901,79230,79475,61448,33696,10154,1616,144
1937,632896,43781,13364,5892,4571,7658,9796,14402,16632,19877,21035,24459,31974,40591,55246,64215,77276,78196,58721,33357,10029,1696,124
1938,650832,43487,12456,5666,4438,8018,9088,14081,16555,20691,22212,25046,32710,41488,56449,66343,79278,81997,62555,35496,10836,1825,117
1939,622484,40141,10412,4902,3872,7758,7171,12274,14599,18422,20950,23386,30029,38688,53493,64910,77954,81630,63580,35354,10947,1895,114
1940,738089,51402,14508,6403,5388,9784,8405,11625,15103,19550,24217,26587,34155,44479,60131,77090,91666,97288,79899,43397,14437,2377,198
1941,655564,38392,10772,5226,4313,8312,9260,10434,14387,18770,24110,26582,32397,41443,53912,72136,79164,86830,69509,36214,11533,1710,155
1942,637959,40976,9952,5001,4230,8168,10359,8807,13378,16030,20951,23487,28674,38272,51076,70257,80345,87409,71190,35983,11541,1719,151
1943,604819,46678,10178,5449,4428,8039,11411,8628,13135,15600,19947,21837,25795,34553,46438,65131,75411,80392,66498,33065,10569,1496,138
1944,712085,49400,11889,6679,6844,15444,25091,14048,20647,22283,26244,28301,30558,39084,50617,70197,83302,87311,72603,37937,11666,1786,153
1945,615799,70582,13735,5181,4356,7610,12461,9021,11504,14277,17780,21400,24163,32157,44603,61719,75671,78159,64962,34608,10199,1530,118
1946,545525,60385,9804,3794,3129,5590,8830,7776,8156,11491,14768,18532,21980,29350,41027,55494,71950,70160,60006,32303,9384,1489,125
1947,538157,61461,8187,2766,2485,5040,7727,7619,6687,10501,13841,19259,22530,28374,39728,53471,71474,71651,60528,33523,9606,1565,132
