"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,26324,2309,1085,189,257,375,400,420,593,908,1332,1928,2507,2788,3075,2873,2382,1715,822,290,61,14,0
1926,29342,3329,1442,267,243,402,420,466,643,937,1456,2062,2663,2886,3222,3089,2589,1910,855,353,94,12,1
1927,29379,2527,1022,299,235,432,413,498,662,897,1309,1917,2625,2954,3390,3454,2836,2353,1037,414,88,15,0
1928,30327,3225,1356,393,220,427,418,541,710,903,1371,1829,2648,2964,3415,3446,2742,2221,991,392,97,17,1
1929,30947,3149,1198,380,193,391,455,542,735,940,1432,1976,2677,3091,3488,3544,2837,2329,1057,429,89,13,0
1930,28608,2098,963,591,293,452,554,677,871,1023,1393,2021,2602,3050,3190,3128,2245,2163,757,400,116,20,2
1931,27819,1915,920,528,357,418,541,650,829,991,1332,1776,2340,3069,3082,3130,2301,2258,798,427,132,23,3
1932,28168,1766,956,525,438,379,545,635,880,1059,1429,1952,2436,2997,3036,3213,2344,2203,811,409,130,22,2
1933,27656,1680,877,556,432,301,526,622,856,1003,1346,1890,2385,3084,3143,3107,2351,2181,772,391,129,22,2
1934,27614,1442,800,554,416,260,463,625,922,1073,1409,1924,2391,3068,3218,3095,2319,2204,835,434,137,23,2
1935,28126,1253,698,449,374,295,437,571,882,1191,1429,2018,2710,3123,3386,3131,2388,2310,848,459,148,25,3
1936,27257,1073,689,434,386,293,326,505,796,1176,1612,1963,2570,3095,3414,2923,2299,2259,820,455,142,24,3
1937,28202,1152,682,674,366,291,287,509,936,1291,1665,2072,2628,2905,3389,3074,2403,2322,875,498,153,28,3
1938,28265,1194,655,739,342,283,305,504,984,1377,1813,2123,2590,2854,3253,2945,2337,2324,922,524,164,30,3
1939,24480,1155,589,631,191,250,247,428,829,1093,1639,1894,2248,2556,2713,2581,2017,2087,749,421,134,25,3
1940,29916,1942,991,391,334,407,204,301,590,984,1606,2019,2574,3037,3310,3306,2717,2860,1309,731,255,45,5
1941,30377,1232,571,337,312,341,256,328,655,996,1751,2176,2678,3080,3476,3680,2803,3055,1517,810,271,45,6
1942,27738,1513,637,346,287,327,346,255,552,765,1243,1543,1947,2496,2948,3572,2971,3212,1606,834,283,48,7
1943,23858,1880,566,287,269,334,327,244,538,706,1069,1293,1637,1936,2364,2817,2540,2671,1390,707,237,39,6
1944,21216,1672,588,244,288,377,432,277,519,666,942,1168,1363,1724,2132,2450,2142,2208,1172,618,195,34,5
1945,22892,3016,977,256,261,369,380,315,566,721,1096,1353,1468,1753,2032,2293,2011,2046,1137,615,190,32,4
1946,19607,1973,533,194,222,244,353,299,368,622,912,1197,1277,1521,1814,2078,2096,2014,1080,591,178,32,4
1947,20534,2262,725,182,214,264,296,263,338,583,931,1209,1477,1586,1860,2232,2074,2046,1128,635,188,35,5
1948,20349,1513,469,113,142,196,247,290,273,546,961,1413,1675,1716,2149,2329,2118,2122,1165,668,200,39,5
1949,21433,1743,658,129,156,200,204,277,241,587,1032,1548,1834,1973,2112,2248,2088,2214,1207,704,230,43,6
1950,21534,1050,461,86,112,164,182,270,231,531,1037,1681,2111,2191,2290,2399,2142,2333,1239,727,247,42,9
1951,23062,791,428,99,83,142,163,229,287,508,1095,1832,2481,2518,2556,2703,2175,2595,1266,787,270,46,10
1952,24238,583,381,96,97,120,185,242,311,454,1159,1922,2637,2845,2863,2848,2645,2390,1458,733,224,44,3
1953,26639,544,287,91,58,109,169,253,410,483,1252,2155,3197,3276,3170,3140,2885,2498,1631,788,203,38,3
1954,26176,433,229,77,50,80,138,220,412,415,1169,2054,3050,3368,3205,3236,2823,2418,1689,802,259,43,6
1955,27710,425,247,87,62,79,132,225,373,491,1092,2134,3197,3668,3496,3427,3079,2523,1761,913,250,48,3
1956,28932,378,187,84,44,83,127,205,416,605,1022,2077,3274,3843,3668,3619,3354,2649,1998,910,337,51,2
1957,27629,368,194,60,59,61,99,180,373,576,921,1903,2961,3669,3653,3430,3188,2643,1982,989,274,43,4
1958,25403,386,150,58,64,56,80,161,323,537,599,1506,2432,3277,3271,3298,3005,2757,2069,1004,301,65,4
1959,26318,366,147,63,55,55,95,154,334,638,632,1584,2588,3290,3377,3280,3198,2793,2160,1082,345,79,3
1960,27595,274,97,60,63,32,56,159,336,630,715,1534,2713,3583,3915,3461,3338,2836,2172,1180,355,81,5
1961,28237,264,109,54,61,42,69,166,358,594,865,1472,2605,3613,3982,3780,3267,3041,2179,1245,365,97,11
1962,29388,242,103,37,52,51,61,145,361,709,1020,1335,2671,3606,4273,3979,3518,3101,2317,1311,403,84,9
1963,31022,267,92,50,39,57,67,157,357,717,1246,1234,2805,3857,4605,4266,3585,3180,2394,1451,494,95,7
1964,30537,232,88,39,46,60,69,159,357,759,1291,1106,2724,3621,4326,4358,3560,3225,2540,1383,499,88,10
1965,32018,189,76,47,32,50,52,139,362,871,1339,1307,2573,3787,4802,4660,3732,3257,2504,1591,541,90,14
1966,32673,146,76,28,38,53,64,130,352,831,1385,1525,2369,3709,4812,4829,3943,3390,2701,1589,627,71,5
1967,34312,143,62,38,35,44,88,100,378,888,1355,1837,2109,3777,4845,5133,4396,3618,2916,1770,649,129,2
1968,34570,208,65,31,36,46,81,109,324,860,1345,2010,1928,3754,4698,5320,4424,3671,2957,1780,764,152,9
1969,35669,210,72,33,25,52,66,122,352,871,1430,2175,1727,3616,4807,5453,4784,3856,3181,1934,720,173,10
1970,35227,258,58,38,31,34,83,135,328,805,1423,2038,1996,3177,4550,5215,4859,3943,3179,2111,793,144,28
1971,36472,259,54,30,36,63,108,127,275,850,1537,2194,2311,3033,4557,5320,5129,4073,3294,2146,873,188,17
1972,37252,230,48,29,32,48,77,165,291,762,1571,2139,2561,2672,4577,5314,5225,4434,3477,2427,964,189,20
1973,38161,272,49,41,36,54,106,175,298,776,1637,2317,2832,2520,4574,5460,5308,4497,3605,2410,951,222,19
1974,37318,229,51,25,27,44,87,151,294,607,1538,2227,3014,2204,4265,5144,5262,4688,3688,2497,1075,185,15
1975,38488,191,44,27,39,41,82,209,305,684,1525,2357,3030,2521,4028,5241,5320,5061,3807,2612,1092,250,24
1976,38300,169,41,38,39,44,84,167,326,672,1423,2380,3080,2952,3583,4959,5408,5003,3831,2625,1205,254,17
1977,37195,162,35,23,13,51,69,185,298,553,1290,2324,2820,3194,3141,4752,5171,4924,3935,2743,1175,276,58
1978,36837,132,53,30,16,44,66,157,352,513,1200,2224,2919,3300,2823,4582,4864,5041,4055,2787,1319,321,38
1979,36399,69,29,24,25,41,58,169,324,496,1098,2048,2886,3363,2417,4392,4883,5034,4340,2958,1414,297,35
1980,35646,56,34,27,20,44,53,126,300,501,899,1870,2762,3169,2732,3812,4766,5119,4572,2969,1452,325,38
1981,35449,61,24,13,20,33,49,103,334,509,883,1660,2634,3142,3114,3639,4839,5237,4724,2822,1271,309,29
1982,33793,41,26,14,20,25,32,101,294,521,810,1683,2540,3052,3287,3057,4412,4713,4369,3000,1366,389,41
1983,33980,28,38,12,13,18,53,104,308,524,772,1453,2502,3020,3407,2532,4181,4608,4772,3417,1704,452,63
