"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,16825,54,87,67,77,129,269,361,481,612,783,1041,1234,1488,2087,2278,2313,1857,1074,429,85,20,0
1926,18193,57,71,97,66,132,297,412,512,638,804,1061,1263,1596,2154,2539,2589,2125,1172,477,101,24,4
1927,20422,69,107,107,78,189,319,408,600,676,850,1083,1427,1740,2341,2822,2943,2535,1424,565,105,33,1
1928,21023,77,103,122,60,157,345,449,564,650,754,1087,1492,1861,2486,2887,3157,2632,1416,558,121,37,8
1929,22424,62,88,154,69,146,321,437,543,671,851,1115,1456,1917,2606,3153,3410,2909,1679,657,144,37,1
1930,22304,104,117,152,66,157,278,362,482,595,759,1070,1401,1903,2511,3114,3314,3187,1635,829,215,43,8
1931,22142,99,109,149,78,142,278,395,529,587,737,1082,1323,1881,2415,3108,3277,3189,1634,834,237,49,9
1932,22037,100,118,127,87,109,254,326,464,588,690,985,1304,1931,2395,3167,3352,3163,1746,826,241,54,10
1933,21747,58,91,118,96,98,242,334,491,581,686,993,1220,1884,2420,3045,3401,3146,1712,812,246,62,13
1934,20911,71,102,112,91,73,220,284,432,565,588,913,1183,1735,2400,2887,3256,3125,1729,829,241,61,14
1935,21663,76,86,96,100,76,214,284,434,608,620,964,1172,1829,2347,2959,3424,3333,1789,900,270,66,16
1936,21747,59,90,103,81,92,191,279,419,562,674,860,1176,1614,2403,2917,3531,3471,1892,977,280,63,14
1937,21090,82,86,26,65,138,144,251,413,598,625,889,1239,1627,2200,2845,3315,3314,1885,1014,287,43,3
1938,21310,89,78,49,54,182,120,242,455,597,698,960,1284,1711,2105,2768,3207,3322,1972,1061,298,52,4
1939,19405,73,71,52,57,209,116,249,397,557,585,903,1139,1572,1942,2513,2986,2984,1762,923,264,49,4
1940,29480,106,112,110,97,139,140,228,429,591,725,997,1256,1911,2911,3955,4978,5100,3314,1692,533,128,27
1941,30711,82,110,110,84,140,187,232,368,574,749,998,1238,1919,2800,4353,5041,5440,3749,1841,558,115,23
1942,31792,119,115,136,98,136,177,187,367,485,662,898,1196,1821,2799,4296,5526,5877,4155,1990,603,123,23
1943,26289,91,121,121,114,131,204,173,335,444,574,752,1016,1456,2236,3442,4565,4741,3527,1677,499,65,6
1944,25738,99,100,106,101,135,210,143,315,439,528,705,904,1400,2194,3391,4600,4701,3395,1703,491,71,7
1945,23930,94,88,92,100,127,213,170,303,425,529,818,876,1317,2065,3073,4234,4268,3066,1574,435,59,5
