"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,475,351,56,7,8,10,4,12,6,5,4,2,3,2,1,3,1,1,0,0,0,0,0
1926,526,394,59,8,8,10,4,12,7,5,4,2,3,2,1,3,1,1,0,0,0,0,0
1927,491,345,68,14,9,12,6,11,6,4,3,2,3,2,1,3,1,1,0,0,0,0,0
1928,581,397,106,12,8,12,5,12,6,5,4,2,3,2,1,3,1,1,0,0,0,0,0
1929,757,614,59,11,6,10,4,16,8,6,5,2,4,3,2,3,1,2,0,0,0,0,0
1930,695,548,72,9,5,6,3,13,7,6,4,3,5,4,2,4,1,2,0,0,0,0,0
1931,471,387,18,9,5,5,3,10,7,5,3,2,5,3,2,4,2,1,0,0,0,0,0
1932,533,441,22,11,7,6,4,9,6,5,3,2,4,3,2,4,2,1,0,0,0,0,0
1933,441,351,27,9,7,4,3,8,5,4,3,2,4,3,2,4,2,1,0,0,0,0,0
1934,442,357,21,9,8,4,3,8,6,5,3,2,4,3,2,4,1,1,0,0,0,0,0
1935,369,282,21,8,7,5,3,9,6,5,3,2,4,3,2,4,2,2,0,0,0,0,0
1936,363,272,23,9,9,6,4,7,5,5,3,2,3,3,2,4,1,2,1,0,0,0,0
1937,490,403,26,6,4,6,4,7,6,4,4,2,3,3,2,4,1,3,1,1,0,0,0
1938,755,660,23,6,3,14,5,7,6,6,4,2,4,3,2,4,1,3,1,1,0,0,0
1939,892,795,8,12,8,21,4,11,3,5,5,2,4,3,2,4,1,2,1,0,0,0,0
1940,1162,1049,14,12,10,10,3,10,9,7,6,3,5,4,3,8,3,3,1,1,0,0,0
1941,1033,916,14,11,7,8,4,9,10,8,7,4,7,5,4,9,3,3,2,1,0,0,0
1942,1166,1063,14,10,6,6,3,6,8,6,6,3,6,5,4,8,3,4,2,1,0,0,0
1943,1169,912,76,19,22,18,15,9,8,9,8,7,7,7,8,14,7,8,9,5,2,0,0
1944,1388,1125,97,34,26,15,12,5,8,7,9,6,9,4,3,11,4,4,4,3,1,0,1
1945,1468,1188,128,42,23,23,11,6,7,7,6,4,4,3,3,5,3,3,1,1,0,0,0
1946,1885,1630,110,41,20,19,12,3,7,5,5,4,5,3,4,6,3,3,2,1,0,0,0
1947,2319,2040,114,34,28,28,12,9,5,7,4,4,5,3,7,6,4,5,2,1,0,0,0
1948,2167,1880,125,38,18,22,18,14,6,7,8,8,6,4,3,6,3,3,1,1,0,0,0
1949,2579,2201,179,39,43,31,19,15,9,3,4,3,4,4,3,8,4,5,3,2,0,0,0
1950,2342,1999,153,21,26,26,17,17,6,1,11,9,9,8,9,7,7,9,5,2,1,0,0
1951,2536,2144,174,34,26,23,27,13,6,12,10,12,11,7,5,11,7,8,3,2,1,0,0
1952,2604,2196,182,32,19,29,22,15,7,7,7,14,20,14,9,12,7,6,4,2,1,0,0
1953,2848,2366,199,41,24,31,18,19,10,6,11,24,22,18,13,16,12,13,5,3,1,0,0
1954,2926,2416,204,51,28,27,23,18,18,16,11,21,31,15,10,13,5,14,3,4,0,0,0
1955,3020,2470,265,42,29,31,21,17,19,13,14,13,16,16,10,10,12,8,7,7,0,0,1
1956,3161,2608,249,56,29,30,31,16,14,13,17,19,20,10,15,7,9,6,8,3,1,0,0
1957,3215,2525,294,73,50,36,33,24,22,19,15,11,24,25,17,20,13,6,4,0,1,1,0
1958,3322,2586,307,76,49,31,45,31,25,24,19,20,23,32,15,13,9,9,5,4,0,0,0
1959,3383,2602,298,102,63,37,40,32,21,37,11,25,23,25,12,23,11,11,5,7,0,0,0
1960,3491,2642,344,80,71,52,41,27,30,34,27,30,32,20,17,16,11,13,2,5,0,0,0
1961,3488,2601,337,97,65,68,33,22,35,39,17,27,29,29,20,26,18,13,11,2,1,0,0
1962,3620,2734,317,91,66,44,44,27,35,29,42,29,37,46,33,24,8,8,5,0,2,0,0
1963,3656,2763,356,90,62,58,36,24,40,30,36,20,33,36,26,13,18,5,6,3,0,0,1
1964,3716,2818,335,95,49,56,29,27,34,35,22,33,47,39,38,25,8,14,8,4,1,0,0
1965,3515,2608,311,78,78,75,38,28,37,29,31,26,39,33,28,22,20,12,12,6,1,1,4
1966,3632,2726,321,97,51,54,42,36,24,32,42,35,35,33,35,25,13,17,9,3,3,0,0
1967,3511,2619,315,71,65,63,40,31,26,36,33,30,34,40,47,16,12,13,8,12,2,0,0
1968,3328,2410,263,75,57,56,48,23,30,26,50,46,32,46,46,30,32,23,23,9,3,0,0
1969,3160,2307,261,83,65,48,39,24,22,26,46,45,27,37,33,26,17,22,16,11,3,2,1
1970,3075,2267,261,74,62,51,26,30,26,24,22,35,32,32,32,29,24,22,11,10,3,0,5
1971,3141,2316,243,95,60,44,37,35,28,15,30,36,22,32,42,32,20,19,13,15,7,0,1
1972,2946,2123,236,93,66,41,54,32,26,26,24,31,37,30,38,26,29,15,15,3,1,0,1
1973,2999,2117,256,107,66,53,44,24,19,30,26,29,35,24,29,34,32,34,22,9,7,3,1
1974,2893,1981,280,112,75,51,41,38,28,30,22,35,42,20,25,36,30,21,13,10,2,0,3
1975,2605,1757,270,96,59,56,37,29,23,21,23,39,35,20,31,34,24,17,19,7,3,2,4
1976,2611,1666,292,92,53,56,42,44,19,28,40,36,41,37,30,32,32,34,15,14,6,0,4
1977,2573,1675,282,80,77,46,35,40,41,18,29,20,41,50,23,36,30,21,10,14,1,1,4
1978,2329,1582,229,67,51,50,39,25,25,21,27,29,28,30,18,27,22,28,15,8,3,0,6
1979,2239,1431,215,82,45,55,36,36,33,19,30,26,33,35,33,22,38,33,20,10,8,1,0
1980,2441,1618,228,80,58,42,32,37,26,24,27,32,32,36,21,31,38,32,19,16,3,3,6
1981,2379,1580,214,70,36,45,39,24,30,27,24,36,32,37,33,39,34,32,21,9,6,1,10
1982,2329,1524,203,49,47,40,31,46,41,40,25,22,34,37,43,33,35,29,31,5,7,1,6
1983,2241,1410,223,53,51,51,45,37,42,39,18,32,38,36,43,19,26,35,13,9,9,0,12
1984,2051,1300,196,40,55,52,26,30,32,20,22,30,37,36,40,17,44,36,19,7,5,2,5
1985,2088,1264,210,47,42,56,37,33,35,34,26,29,36,36,41,34,32,24,29,20,9,2,12
1986,1896,1198,165,42,43,44,27,35,30,17,23,27,29,29,39,23,30,24,25,26,16,1,3
1987,1843,1183,140,54,30,38,28,28,37,21,34,24,29,28,35,32,22,35,19,11,14,0,1
1988,1816,1089,181,54,26,49,32,28,31,25,29,21,28,36,35,43,20,35,29,12,12,0,1
1989,1741,1084,129,41,31,35,28,34,40,31,32,24,30,34,36,33,17,24,21,26,10,0,1
1990,1709,1062,143,37,36,38,35,39,28,30,29,28,28,23,32,29,20,24,26,11,9,1,1
1991,1639,971,141,40,36,32,38,23,33,27,40,24,27,36,34,23,34,25,27,18,8,1,1
1992,1412,861,109,31,26,38,36,30,16,27,39,23,18,29,28,21,26,21,19,8,5,1,0
1993,1531,927,104,31,30,34,36,23,32,38,31,26,29,35,22,37,29,18,20,14,8,3,4
1994,1484,853,107,30,35,32,37,25,22,27,25,40,30,26,43,33,38,26,25,15,13,1,1
1995,1420,770,99,44,38,35,34,33,32,24,37,33,23,30,34,37,31,21,29,19,14,2,1
1996,1431,777,79,20,27,44,41,39,35,41,37,32,43,34,31,30,31,18,24,29,18,1,0
1997,1401,731,96,29,26,42,36,26,31,30,41,39,36,41,27,41,32,30,18,29,18,1,1
