"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,18544,2535,2168,1008,736,798,680,484,464,422,506,539,591,719,926,1195,1478,1527,1115,516,123,13,0
1926,19277,2974,2307,1168,684,825,667,511,496,426,510,531,628,725,942,1228,1474,1541,1044,481,104,12,0
1927,19960,3154,2302,1417,640,887,756,532,508,439,510,560,645,776,1028,1315,1497,1530,951,416,84,12,0
1928,20420,3574,2335,1504,584,851,710,562,521,419,541,567,648,793,994,1347,1497,1533,921,422,88,10,0
1929,20900,3598,2318,1578,537,857,757,590,545,460,539,554,635,814,1006,1391,1575,1584,997,461,92,11,0
1930,19518,3505,1761,1057,430,616,600,492,542,460,585,629,722,925,1078,1483,1578,1617,848,455,118,17,1
1931,18696,3094,1675,1106,491,502,558,508,537,456,501,604,678,888,1009,1441,1546,1596,875,480,133,19,1
1932,18760,3120,1788,1022,545,435,509,446,508,489,536,573,636,898,1072,1455,1628,1606,887,456,132,19,1
1933,17758,2799,1513,933,588,349,455,404,487,454,519,595,639,860,1022,1401,1605,1596,904,473,141,20,1
1934,17186,2567,1464,908,594,310,429,423,542,467,480,532,589,852,1015,1346,1566,1613,872,465,133,19,1
1935,17067,2312,1252,783,551,376,413,419,531,527,506,571,651,836,1078,1368,1605,1687,912,514,151,21,1
1936,16331,2223,1228,726,522,382,388,366,485,481,536,520,591,786,1078,1258,1555,1624,899,516,147,21,1
1937,15979,2060,1093,631,395,340,310,486,526,435,470,511,553,765,1081,1294,1530,1741,978,586,167,26,1
1938,16405,2038,1077,580,398,306,278,498,522,420,495,554,579,728,1081,1359,1519,1918,1142,682,200,30,1
1939,15346,1706,958,567,372,308,217,411,441,361,472,438,559,685,972,1251,1493,1887,1248,746,220,34,1
1940,18907,1518,1103,557,383,428,265,329,479,466,658,647,742,1005,1275,1783,2151,2460,1499,845,271,40,2
1941,18231,1178,844,436,311,348,314,301,487,567,737,777,841,1061,1347,1933,2004,2334,1393,751,234,31,2
1942,16804,1189,710,355,273,330,308,220,390,461,616,635,704,983,1268,1796,1977,2262,1365,708,224,30,2
