"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,93665,12028,7151,876,468,988,1455,1237,1311,1597,2115,2730,3471,4412,6461,8518,11594,12277,9739,4076,1023,132,6
1926,100189,12691,7422,1045,444,1045,1577,1394,1436,1887,2353,2888,3849,4564,6875,8997,12306,13419,10482,4367,1008,134,6
1927,118142,14230,7788,1310,438,1169,1624,1504,1704,1985,2480,3111,4152,5108,7968,10930,14716,17422,13026,5932,1357,172,15
1928,102891,13554,7225,1181,397,1031,1435,1330,1368,1648,2147,2622,3676,4599,6890,9902,12730,14285,10677,4849,1188,147,9
1929,133198,15516,8473,1490,369,1165,1792,1663,1861,2254,2998,3749,5173,6219,8929,12648,17185,18841,14511,6559,1590,202,10
1930,94317,12698,6181,1097,325,828,1182,1197,1385,1596,2113,2581,3457,4560,6280,8900,13414,11506,9656,4200,1010,141,9
1931,105994,12343,6458,1076,390,702,1370,1269,1519,1743,2185,2640,3480,4883,6426,9511,15949,14126,12534,5660,1499,213,15
1932,92826,11914,6044,964,385,578,1215,998,1366,1513,1775,2267,2908,4220,5669,8046,14117,11965,10935,4538,1227,175,9
1933,96754,10461,5173,918,429,567,1033,1081,1555,1809,2130,2795,3278,4658,6084,8355,14920,12660,12042,5133,1454,207,12
1934,81031,9147,5044,832,359,333,960,887,1213,1568,1576,2047,2612,3713,5222,6987,12626,10925,9650,4092,1081,150,7
1935,87677,9142,4310,830,440,462,1053,962,1344,1899,1930,2374,2925,4016,5741,7551,13593,12012,10735,4833,1329,186,12
1936,82207,9084,4373,733,364,449,780,820,1213,1698,1793,2134,2697,3462,5364,6802,12840,11443,10112,4636,1223,174,13
1937,76572,7819,3394,651,276,509,574,854,1069,1627,1789,2148,2817,3629,5553,6436,12240,10390,9110,4355,1148,176,11
1938,76107,7312,2557,719,236,532,489,806,1228,1821,1693,2173,2741,3568,5424,6544,12035,10621,9606,4578,1226,189,11
1939,71946,6696,2271,577,217,461,392,701,1019,1435,1634,2017,2408,3170,4988,6078,11284,10675,9827,4623,1266,197,10
1940,105637,10655,4497,641,322,492,418,551,891,1359,1876,2180,2922,4177,6809,9581,16026,15751,15952,7752,2398,363,26
1941,76164,7472,3000,484,261,396,366,428,708,1070,1567,1867,2260,3173,4739,6922,11316,11272,11671,5383,1582,213,15
1942,77077,7757,2562,452,269,354,397,317,598,856,1245,1636,1965,2986,4742,7158,12101,11907,12345,5543,1648,223,15
1943,72484,9091,2674,574,264,398,491,301,575,829,1186,1395,1777,2744,4201,6734,10950,10691,11108,4864,1436,187,14
1944,83135,9787,2802,476,258,432,524,323,647,854,1216,1587,1980,2946,4665,7667,12852,12511,13294,6243,1794,258,20
1945,75286,14725,3701,555,271,371,488,375,526,724,1135,1371,1668,2300,3819,5976,10281,9825,10557,5031,1378,194,13
1946,61762,11413,2415,343,202,248,338,304,352,601,793,1158,1339,1980,3105,4895,8837,8004,9442,4562,1233,185,14
1947,57805,10963,1687,182,137,205,254,219,230,420,663,1028,1252,1667,2667,4224,8507,7917,9426,4697,1252,194,13
1948,50378,8083,1471,142,92,164,214,236,195,402,634,1043,1264,1554,2552,3730,7581,7128,8348,4233,1124,177,13
1949,72621,8501,1780,166,125,205,205,265,189,421,713,1139,1595,2089,3502,5661,11420,11636,13386,7132,2125,343,23
1950,54041,7165,1276,89,93,145,154,180,168,339,576,949,1376,1630,2719,4356,8146,8384,9589,4951,1497,224,35
1951,67745,6892,1477,123,100,143,165,220,209,338,636,1075,1594,2182,3361,5595,10240,11629,12302,6914,2180,324,46
1952,47735,5146,1295,99,51,106,103,142,167,204,453,795,1272,1631,2390,3987,6140,8769,7965,5017,1720,260,22
1953,67534,4514,1144,125,77,120,134,163,234,246,610,989,1536,2237,3276,5526,8969,13489,12893,7953,2823,434,44
1954,45767,4345,991,105,54,69,99,110,192,166,427,722,1183,1643,2244,3674,5842,8342,8262,5137,1836,310,15
1955,46563,3782,1025,106,43,85,100,125,173,171,374,705,1164,1683,2261,3697,5850,8379,8945,5559,1993,331,14
1956,50322,3540,864,107,54,81,100,112,175,219,377,756,1224,1810,2407,3861,6459,9131,10234,6092,2267,416,36
1957,54389,2918,986,192,142,144,159,186,237,261,429,817,1359,2172,3136,4749,7344,9584,10097,6554,2459,430,33
1958,39365,2618,680,99,56,60,76,101,120,204,223,477,903,1496,2031,2933,4975,6903,7998,5080,1960,349,25
1959,42695,2375,728,108,77,66,67,106,155,261,196,567,979,1601,2287,3235,5394,7396,8588,5749,2259,457,45
1960,49153,1986,569,75,77,63,80,106,163,280,257,574,1151,1727,2812,3784,6066,8760,9835,7201,2976,575,37
1961,33979,1611,435,80,54,42,64,72,112,184,205,388,694,1190,1944,2449,4076,5914,6893,5231,1928,390,24
1962,44203,1624,507,92,62,80,73,81,135,208,336,390,916,1517,2480,3494,5133,7707,8955,7002,2844,518,45
1963,48191,1779,510,109,63,98,63,85,138,212,329,368,969,1603,2595,3749,5560,8465,9795,7822,3198,620,61
1964,33424,1245,329,63,59,60,41,59,102,170,312,264,659,1103,1921,2759,3958,5664,6630,5279,2261,450,36
1965,42881,1148,317,66,66,67,51,63,109,201,296,330,723,1319,2288,3528,4837,7348,8894,7097,3325,756,53
1966,33147,1034,281,69,45,80,38,60,92,159,266,297,540,1069,1839,2882,3869,5561,6507,5356,2557,499,49
1967,36131,855,312,53,50,82,57,55,74,129,268,384,481,1122,1939,3108,4419,5885,7437,5818,2905,680,20
1968,42105,788,288,59,75,96,81,66,105,189,357,587,581,1477,2488,3806,5124,6673,8285,6672,3380,837,92
1969,48050,707,324,110,102,117,121,107,175,354,567,961,800,2169,3605,5659,7534,7743,7381,5911,2845,694,64
1970,35760,623,225,77,54,93,90,63,95,210,376,546,572,1175,2207,3811,5057,5871,6327,5073,2497,647,70
1971,35571,547,225,83,60,90,89,75,102,171,314,550,668,1081,1950,3383,4510,5658,6603,5605,2954,780,74
1972,35329,454,205,72,66,82,104,73,118,197,338,589,744,937,2065,3333,5006,5904,6394,5272,2606,686,82
1973,40869,443,177,60,57,92,113,100,74,208,376,597,908,1014,2165,3710,5839,7094,7566,6317,2989,885,83
1974,36190,383,207,49,50,93,98,103,94,159,343,569,896,767,1986,3240,4844,6230,6548,5567,3082,782,98
1975,36115,272,144,60,37,69,107,104,105,168,292,529,859,844,1750,3157,5112,6715,6547,5533,2833,783,92
1976,37687,233,129,40,51,77,94,102,104,153,286,525,847,1041,1517,2989,4692,6540,7059,6436,3656,1007,109
1977,33262,205,104,47,39,78,76,78,104,130,255,495,722,1051,1309,2591,4020,5853,6284,5489,3299,894,141
1978,36668,179,101,42,40,76,80,93,115,135,247,510,774,1191,1245,2827,4668,6733,7441,5873,3279,880,138
1979,31598,161,71,29,40,66,56,79,101,114,200,412,680,1130,1020,2521,4062,5984,6254,5007,2718,771,122
1980,33227,191,78,28,33,58,87,86,110,105,236,414,672,1069,1128,2383,4113,6065,6891,5363,2997,981,140
1981,37226,167,90,34,39,54,83,81,120,114,182,379,705,1106,1339,2222,4152,6530,7929,6642,3818,1253,189
1982,32026,135,71,22,36,58,63,73,72,103,155,284,594,957,1325,1757,3725,5469,6984,5632,3257,1063,192
1983,37591,120,92,20,36,59,83,86,97,136,187,370,615,1051,1634,1773,3982,6482,8187,7062,4040,1271,210
1984,32424,109,44,26,32,48,76,73,107,145,175,304,532,1008,1618,1517,3625,5478,6845,6113,3270,1104,175
1985,35976,108,65,16,40,56,68,93,105,186,169,292,606,1021,1562,1659,3569,5950,7946,6988,3994,1259,225
1986,37642,124,61,26,27,49,63,80,103,179,191,290,546,947,1631,1863,3337,6044,8253,7742,4377,1467,241
1987,32307,115,54,24,28,51,64,86,102,167,181,261,499,851,1472,1902,2847,5485,7062,6343,3501,1016,196
1988,33323,125,56,29,45,53,65,95,110,184,216,259,463,864,1377,2036,2347,5170,7082,6994,4202,1341,210
1989,35423,101,59,20,30,51,64,75,95,156,218,237,466,828,1396,2284,2138,5228,7487,7803,4681,1680,326
1990,37916,113,46,17,30,63,66,57,89,136,214,216,402,769,1316,2210,2368,5134,7881,8751,5762,1895,381
1991,35790,132,40,17,39,65,62,86,100,147,243,244,386,734,1352,2172,2729,4656,7605,7690,5355,1646,290
1992,37518,126,42,17,21,32,66,65,106,156,221,299,391,701,1338,2272,3075,4358,7656,8593,5749,1869,365
1993,40120,125,32,13,27,53,57,65,89,132,252,286,357,693,1350,2269,3394,3853,8277,9416,6635,2355,390
1994,36831,87,32,15,26,34,53,59,89,128,214,311,322,699,1263,2146,3546,3749,7822,8428,5642,1840,326
1995,39708,53,31,13,20,34,61,72,81,123,228,402,381,613,1281,2299,3615,3792,7545,9387,6695,2500,482
1996,42097,48,33,13,17,42,59,74,97,128,227,351,413,624,1356,2338,3770,4652,7285,9827,7417,2770,557
1997,42832,57,44,11,20,39,56,61,75,133,220,340,399,635,1187,2280,3758,5172,6519,10123,7914,3187,593
1998,42832,63,31,13,22,44,44,57,77,131,198,341,447,564,1159,2222,3729,5543,5784,10466,7921,3345,626
1999,43341,41,20,13,19,33,40,53,86,116,200,341,504,584,1091,2197,3681,6112,5193,10578,8269,3447,720
