"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1751,197,43,12,23,31,35,44,59,67,89,98,112,116,172,179,186,145,91,42,11,1,0
1926,1766,218,49,16,23,33,37,48,61,66,91,97,115,111,169,178,179,144,83,39,9,1,1
1927,1730,227,51,14,19,27,31,56,65,62,89,92,106,113,161,179,177,144,74,34,7,1,0
1928,1778,236,56,23,24,37,42,57,62,64,93,90,105,115,159,182,175,143,71,34,7,1,2
1929,1858,227,52,26,20,41,44,50,63,63,88,91,115,125,176,192,185,164,86,40,9,1,0
1930,1791,220,73,29,22,40,38,49,56,57,90,87,123,145,165,163,152,155,73,40,11,2,1
1931,1721,218,55,28,31,23,35,41,65,58,80,91,110,119,170,163,154,149,75,42,12,2,1
1932,1795,203,36,21,20,18,37,45,68,67,76,99,121,151,173,184,169,159,87,46,13,2,1
1933,1860,198,44,24,22,19,38,46,61,71,80,116,122,153,177,210,176,161,82,44,13,2,1
1934,1877,183,40,20,21,15,27,48,60,73,81,113,136,148,193,211,185,178,81,46,13,2,2
1935,1861,163,31,20,26,22,31,36,65,72,87,102,134,139,206,187,193,186,90,53,15,2,2
1936,1802,155,33,21,16,19,20,41,58,87,93,115,117,122,184,184,180,180,98,58,17,3,1
1937,1914,127,20,14,28,6,22,49,57,91,99,108,90,153,200,197,198,241,119,70,20,3,2
1938,1974,144,18,9,33,11,25,48,68,89,98,97,87,158,205,179,213,255,132,77,22,4,2
1939,1653,150,19,15,20,20,23,36,48,81,67,89,79,135,165,150,177,218,90,52,15,2,1
1940,1560,210,45,14,17,20,14,19,28,49,62,94,66,97,157,184,174,163,81,48,15,2,2
1941,1595,197,32,14,20,16,19,22,42,57,74,115,87,115,151,157,164,158,86,49,15,2,2
1942,1591,203,23,12,14,18,17,17,35,46,72,87,83,117,145,185,176,178,92,52,15,2,2
1943,1685,227,42,8,12,24,29,26,39,52,71,90,93,108,120,174,176,179,124,65,20,3,2
1944,1662,271,32,7,9,21,37,14,50,50,65,74,82,101,137,165,160,169,125,69,21,3,1
1945,1628,323,27,10,6,17,33,15,27,52,60,78,85,94,135,135,155,161,121,68,20,3,1
1946,1340,281,23,3,4,14,15,12,22,36,43,62,64,71,101,115,141,138,111,63,18,3,1
1947,1024,198,21,4,3,5,12,6,12,28,29,51,36,53,78,93,112,113,95,56,16,3,1
1948,832,149,17,1,0,2,14,12,6,21,28,36,41,42,56,72,97,99,75,46,13,2,1
1949,819,135,22,1,2,6,6,7,8,20,22,36,39,42,60,60,100,107,79,48,15,3,0
1950,849,159,19,0,4,4,10,9,5,15,10,32,41,47,57,75,94,105,87,54,18,3,0
1951,943,192,27,2,2,2,4,4,9,11,25,26,41,22,59,63,110,135,110,71,25,4,1
1952,909,169,40,1,2,3,4,5,11,14,13,32,35,48,61,67,112,124,95,63,10,1,0
1953,899,143,22,5,3,3,11,7,9,13,19,37,24,41,44,77,112,130,108,71,17,3,0
1954,847,134,22,1,2,2,4,3,9,6,13,23,30,32,31,54,79,135,129,93,37,7,1
1955,848,123,25,1,0,4,4,0,4,5,11,18,19,22,36,50,102,127,160,101,30,5,0
1956,947,121,16,2,0,2,5,7,5,12,12,17,21,25,43,69,132,188,157,84,23,4,1
1957,854,76,8,3,1,2,1,3,6,1,5,11,22,31,36,60,112,148,171,104,42,6,3
1958,888,85,16,2,3,1,1,6,5,4,6,9,14,18,33,48,78,150,202,131,63,11,2
1959,824,66,5,1,2,2,6,6,6,5,5,13,24,23,39,37,97,145,165,114,44,14,2
1960,855,56,9,0,0,3,2,2,4,7,6,11,17,23,33,56,95,138,180,133,65,13,2
1961,893,54,5,1,2,1,2,3,1,5,5,13,16,19,43,43,92,138,207,142,82,17,1
1962,1020,43,10,2,1,4,2,2,9,7,9,10,16,24,34,57,106,182,217,196,70,15,3
1963,1032,39,10,0,0,2,1,1,7,10,6,4,15,21,42,46,93,174,235,195,103,23,5
1964,909,18,2,0,2,5,1,2,4,4,14,4,4,20,35,51,87,150,214,183,83,25,2
1965,874,24,4,0,3,2,1,0,2,8,7,11,13,29,33,66,116,185,189,141,37,2,0
1966,804,16,2,0,1,6,2,2,9,5,5,16,40,96,128,143,106,71,78,51,21,4,1
1967,869,11,1,0,0,2,6,4,4,9,12,14,7,12,34,41,85,126,175,193,99,32,1
1968,950,15,2,0,0,5,7,3,4,5,10,8,11,22,31,48,89,164,205,209,84,28,2
1969,872,12,3,1,0,1,5,4,5,6,6,9,3,13,34,61,92,140,185,172,93,22,5
1970,878,10,0,0,1,1,3,0,2,9,7,3,10,20,27,45,68,143,188,191,124,24,1
1971,875,9,3,1,2,3,5,1,3,4,14,19,8,14,29,54,74,130,176,189,99,30,7
1972,882,9,3,1,0,4,4,5,5,6,10,3,11,16,35,55,141,166,202,155,43,7,0
1973,1035,6,1,1,0,2,4,1,2,3,8,11,9,12,40,62,81,174,221,202,134,48,13
1974,1052,11,4,0,1,4,2,1,2,2,7,14,14,14,19,49,111,155,227,252,120,38,6
1975,1187,6,2,0,2,2,4,7,1,8,11,10,22,28,30,59,118,181,259,244,138,52,2
1976,1268,3,1,2,2,3,3,4,4,4,4,7,29,15,31,66,127,212,238,292,152,58,10
1977,1309,8,1,0,1,0,2,4,5,4,6,6,20,30,17,60,123,220,283,289,164,55,10
1978,1534,6,4,2,1,1,4,2,3,5,8,11,19,18,33,57,148,259,349,339,201,60,4
1979,1649,0,3,1,0,3,2,3,5,2,6,17,21,19,18,60,172,279,384,375,213,58,7
1980,1777,0,2,2,2,3,5,2,7,3,6,4,17,23,43,99,249,370,472,308,129,29,2
1981,1695,2,2,0,1,2,4,1,1,5,9,9,18,17,20,64,169,298,406,366,231,66,4
1982,1758,2,0,0,0,2,6,4,5,0,2,14,8,10,32,43,134,313,440,425,237,72,9
1983,2086,2,1,0,0,2,5,3,6,5,7,4,9,17,41,51,143,326,519,534,319,77,15
1984,1920,0,0,1,0,0,2,2,4,6,3,8,13,15,22,30,137,268,480,517,322,78,12
1985,1940,0,1,0,0,2,2,3,2,4,11,12,8,26,36,47,126,306,416,495,326,96,21
1986,1956,2,0,0,0,0,1,3,2,3,9,6,17,21,30,47,118,282,459,521,313,109,13
1987,1868,0,2,0,0,0,1,2,1,4,2,1,8,15,24,37,97,246,458,504,316,134,16
1988,1927,3,0,0,0,2,2,3,3,2,8,11,12,23,38,52,65,252,444,554,310,121,22
1989,2027,0,0,1,0,0,0,1,4,19,5,3,17,28,49,78,162,427,513,481,191,46,2
1990,2093,0,0,0,0,0,2,0,2,9,8,6,7,34,22,33,84,258,483,570,393,161,21
1991,2156,1,1,0,0,0,2,1,2,5,15,11,10,16,52,67,140,390,610,543,221,65,4
1992,2298,0,0,0,0,2,1,2,1,4,8,6,14,13,39,41,84,142,318,511,568,371,173
1993,2242,2,1,0,0,0,2,1,2,1,5,3,9,24,36,81,175,367,634,567,260,67,5
1994,2442,0,0,0,0,0,0,2,2,5,4,7,14,9,24,44,112,121,254,335,458,640,411
1995,2507,1,1,0,0,1,2,0,3,5,6,10,13,15,41,46,156,170,492,707,594,199,45
1996,2499,3,1,0,0,1,4,0,2,3,3,8,13,11,33,59,125,205,454,726,567,239,42
1997,2610,0,1,0,0,0,1,1,0,6,7,6,12,7,33,58,124,252,373,751,641,292,45
1998,2479,1,0,0,0,0,2,1,3,5,5,10,12,16,31,66,129,234,321,705,609,264,65
1999,2481,1,3,0,0,0,1,1,0,5,2,9,11,16,23,44,118,263,265,670,655,321,73
