"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,40.82,22.15,7.66,2.94,1.02,5.40,2.74,4.57,5.27,9.36,11.41,19.16,25.62,40.68,78.11,72.16,126.62,291.75,553.39,852.42,1121.08,1283.19,2.70
1926,40.76,21.13,7.15,2.76,1.06,4.89,2.68,4.41,5.13,8.39,10.56,17.94,23.62,36.81,71.52,74.34,131.45,302.43,573.46,855.23,1197.19,1465.25,4.47
1927,40.00,20.41,4.05,1.64,0.93,3.36,2.27,3.80,4.60,6.57,8.43,14.44,19.35,30.94,59.04,73.21,134.74,321.10,615.64,951.48,1276.16,1225.27,1.15
1928,39.71,20.07,4.19,1.64,1.04,3.66,2.24,3.97,4.34,6.79,8.64,14.46,19.37,32.04,61.50,75.65,132.92,317.48,589.38,903.72,1262.23,1358.91,5.65
1929,41.60,17.95,4.37,1.82,0.88,3.71,2.34,3.65,4.40,7.02,8.75,15.80,21.20,33.47,64.84,74.36,135.74,328.58,638.57,973.54,1372.97,1270.08,2.26
1930,36.44,16.62,3.74,1.82,0.58,3.94,2.00,3.91,4.27,7.13,9.04,15.47,21.05,34.17,64.54,69.97,151.63,243.80,580.57,749.16,868.89,844.31,7.60
1931,39.99,13.81,4.53,1.98,1.24,3.70,2.56,3.69,4.63,7.22,9.82,17.91,23.75,36.87,65.68,71.92,162.92,266.34,637.43,856.04,1072.56,1018.42,11.46
1932,39.37,11.06,5.15,2.29,1.18,4.40,2.44,4.61,5.64,6.69,10.57,15.48,25.51,40.81,72.61,76.57,158.45,251.01,611.24,800.00,936.82,925.24,1.68
1933,39.66,13.48,4.24,2.17,1.33,4.52,3.03,4.36,4.62,8.93,10.28,17.99,26.38,41.26,71.16,73.92,157.72,245.41,614.58,799.27,985.51,1075.04,1.00
1934,38.23,14.72,4.26,2.44,1.24,3.22,2.28,4.64,4.42,8.96,10.85,18.00,26.29,39.82,71.18,77.51,152.35,243.06,565.70,727.22,882.81,1112.64,9.54
1935,39.69,10.06,3.54,2.02,1.27,3.95,2.67,4.80,5.60,9.58,11.82,18.17,26.41,45.02,79.74,74.11,155.94,242.91,589.96,745.34,962.58,1087.96,4.24
1936,37.95,9.21,4.22,2.05,1.02,3.19,2.52,4.10,5.00,8.65,9.87,17.79,26.57,40.02,78.91,68.86,153.93,239.77,564.43,704.77,940.85,934.59,3.11
1937,34.08,17.47,5.27,1.46,0.52,4.27,2.20,6.10,4.33,8.26,9.08,16.12,26.30,40.24,64.42,55.03,139.07,180.16,511.59,635.56,936.44,868.13,2.38
1938,34.73,22.05,5.96,1.20,1.09,3.23,3.80,7.33,4.53,7.61,10.19,17.79,26.49,46.77,64.28,49.27,137.22,179.51,515.32,666.99,847.50,1048.27,0.98
1939,35.83,36.15,6.69,1.13,1.15,2.05,4.13,7.11,3.67,7.63,9.09,19.31,22.82,44.14,68.21,48.27,137.22,181.02,551.24,731.74,959.93,1132.52,28.24
1940,41.08,45.84,8.18,2.75,1.88,4.08,2.20,4.37,5.31,8.22,11.61,16.90,25.73,45.55,76.92,81.61,156.54,256.07,581.51,744.39,1040.01,1344.08,44.15
1941,35.92,42.33,5.98,2.92,1.68,4.19,3.30,5.48,5.63,9.91,12.33,19.16,25.50,39.08,68.45,77.61,134.05,220.86,477.54,586.81,778.51,814.04,17.00
