"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,84.70,378.25,59.11,8.79,9.88,13.81,11.36,12.84,22.73,35.99,56.52,83.52,121.94,160.74,210.54,238.70,261.65,286.90,251.96,254.27,218.50,521.85,111.95
1926,93.92,537.72,79.93,9.61,10.93,14.09,13.25,14.00,23.56,36.65,60.14,93.29,122.89,173.35,214.70,252.76,290.86,312.84,283.71,307.93,391.27,259.21,185.87
1927,94.03,415.09,54.55,9.52,10.79,14.92,11.86,15.80,22.70,36.36,55.32,89.07,128.11,176.12,220.98,274.69,313.38,364.06,338.83,400.98,303.93,281.39,0
1928,97.12,534.54,74.93,11.29,12.39,15.11,12.85,16.37,25.08,36.79,59.29,87.33,127.12,174.16,230.00,270.75,299.17,354.94,317.93,333.89,398.87,265.80,311.31
1929,98.74,526.72,64.85,9.43,10.53,13.15,13.87,15.53,25.48,39.39,61.17,94.65,134.36,177.36,228.43,273.18,307.38,386.29,342.24,384.89,350.48,155.67,47.55
1930,88.93,344.06,51.46,15.30,13.71,16.02,14.73,18.49,27.26,38.40,57.50,91.48,128.65,170.06,210.71,237.23,232.17,356.30,230.10,351.45,471.94,522.59,930.60
1931,87.06,315.14,48.80,13.98,13.40,18.41,14.74,18.11,25.27,39.26,55.40,84.09,117.02,163.96,207.78,241.49,229.28,363.63,239.25,379.48,549.56,593.31,1162.93
1932,88.24,305.82,50.61,15.71,16.51,18.26,14.84,17.80,26.31,38.23,60.65,89.42,125.02,164.59,203.79,247.72,232.15,363.06,229.33,354.17,479.68,537.74,658.63
1933,86.01,295.95,47.04,15.68,14.36,14.14,14.30,17.51,26.73,35.98,57.06,85.67,121.65,169.02,203.39,242.99,229.49,349.43,219.20,335.22,477.81,590.67,456.25
1934,87.37,266.41,44.21,15.31,12.78,13.50,13.94,18.76,29.22,40.51,61.40,92.45,124.41,172.36,204.38,245.47,231.35,351.31,229.44,346.29,485.59,691.95,428.46
1935,89.51,238.32,39.61,12.91,12.57,15.35,14.07,16.03,27.90,42.95,63.96,94.70,141.22,179.09,218.26,243.86,231.61,346.05,247.26,367.99,550.30,703.09,2105.94
1936,86.91,217.45,41.38,12.83,13.23,12.23,12.11,16.16,26.31,41.06,73.09,93.22,138.62,180.19,207.77,230.69,218.32,328.65,233.43,341.71,527.80,591.88,1164.64
1937,91.46,230.15,40.14,18.20,9.34,9.18,13.17,14.66,29.88,43.47,75.92,110.12,143.18,172.76,220.33,243.71,240.28,336.75,262.50,380.52,646.02,672.89,1501.61
1938,92.23,226.77,36.45,17.94,8.29,9.69,18.19,14.95,31.56,47.26,84.13,112.64,143.46,172.10,215.91,227.51,229.86,361.83,275.29,413.07,607.77,841.78,1126.36
1939,83.29,222.07,32.38,20.66,4.59,8.83,17.24,12.26,29.55,36.99,76.38,103.37,131.22,162.90,190.18,206.81,197.62,342.03,221.61,339.56,515.19,676.10,1393.69
1940,101.83,423.48,69.39,14.44,12.36,16.19,8.09,9.77,19.76,34.70,64.06,107.82,152.06,198.07,229.20,257.82,267.43,418.37,336.67,501.53,805.49,1162.36,2390.84
1941,104.58,301.77,41.64,12.46,12.25,11.96,9.92,12.36,24.91,37.91,71.13,114.32,160.57,204.87,244.73,279.56,281.53,456.80,405.52,578.94,877.01,1023.56,1810.88
1942,95.79,360.32,48.50,14.78,10.27,13.01,12.75,9.80,19.42,27.77,54.61,83.26,121.37,168.83,204.91,275.68,289.77,466.78,432.23,604.60,927.29,1098.18,2666.95
1943,82.51,412.36,43.73,12.71,9.70,13.71,9.48,11.55,18.44,25.24,46.35,66.92,101.19,129.21,169.39,222.95,250.78,401.10,379.77,524.96,785.25,912.99,3541.32
1944,73.16,360.18,45.79,10.54,10.06,15.26,14.08,17.04,18.12,23.51,38.88,58.87,82.67,115.93,152.34,183.66,206.92,329.66,342.96,505.18,714.62,902.83,2991.12
1945,77.92,594.38,72.61,11.49,11.07,15.70,12.64,15.52,20.52,26.37,43.41,62.82,88.14,118.29,148.53,181.10,190.94,305.88,301.87,461.43,635.62,965.24,2864.71
1946,62.64,336.65,33.58,8.66,8.85,8.41,11.60,9.42,14.38,22.30,34.29,54.85,72.50,93.85,121.98,160.75,185.50,299.47,277.93,430.29,564.32,1040.93,4114.95
1947,64.59,326.64,46.11,7.69,8.12,9.41,9.70,9.81,16.59,21.08,36.40,52.68,79.96,102.24,124.83,172.45,185.65,294.10,276.80,425.97,578.13,985.02,2831.18
1948,63.69,218.99,27.14,4.99,5.60,6.81,8.26,10.81,15.50,20.24,35.95,57.72,86.51,107.00,148.06,180.67,185.46,290.04,290.96,435.10,598.03,1007.67,3439.65
1949,65.39,243.46,34.27,5.83,6.22,7.64,7.44,9.18,13.11,21.26,38.41,62.44,90.14,125.40,141.59,169.08,180.44,288.33,295.99,447.60,629.44,902.64,2365.81
1950,67.78,153.48,19.30,4.51,4.30,6.34,5.88,8.21,10.95,19.48,39.67,67.44,99.50,136.54,161.80,187.32,194.87,305.06,304.54,462.82,664.53,811.74,12205.53
1951,70.81,118.56,17.08,3.74,3.15,5.65,5.49,7.58,10.96,24.03,41.88,72.63,110.51,148.14,178.44,211.09,197.45,319.54,309.56,478.83,664.42,700.61,8666.84
1952,72.34,87.29,14.94,3.32,4.00,4.70,6.73,9.04,11.16,21.18,43.90,76.51,116.34,164.02,192.21,224.09,247.86,299.56,320.43,401.69,457.72,283.36,1323.56
