"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,5.37,31.42,1.54,0.83,1.08,1.34,1.39,1.63,2.49,3.68,4.11,5.21,6.13,6.31,9.71,13.36,17.28,19.57,20.80,26.39,33.53,38.43,61.25
1926,5.34,33.18,1.77,0.97,1.17,1.41,1.39,1.81,2.48,3.44,4.08,5.26,6.17,6.14,9.58,13.39,17.07,19.61,19.77,24.47,28.01,30.32,31.06
1927,5.34,36.57,1.67,0.64,1.02,1.10,1.02,2.09,2.65,3.37,4.16,5.16,5.69,6.11,9.29,13.34,18.19,21.48,19.85,22.10,23.65,29.91,25.97
1928,5.54,38.00,1.71,0.94,1.44,1.39,1.24,2.16,2.52,3.60,4.25,5.16,5.68,6.22,9.37,13.50,17.41,22.90,20.68,23.30,30.25,26.01,38.85
1929,5.71,35.96,2.04,1.09,1.36,1.67,1.36,1.73,2.33,3.39,3.81,5.31,6.44,6.72,10.40,13.86,17.18,25.96,23.29,26.77,30.87,29.57,51.09
1930,5.63,34.31,2.73,1.17,1.46,1.86,1.26,1.86,2.15,2.81,4.01,4.85,6.83,7.90,9.40,12.20,15.40,26.24,18.85,28.80,38.53,45.14,75.57
1931,5.42,34.96,2.72,0.84,1.15,0.90,1.10,1.48,2.31,3.40,3.67,5.09,6.47,5.91,10.19,11.97,13.54,24.16,20.81,33.14,47.69,54.30,102.12
1932,5.84,36.98,1.68,0.78,0.82,0.68,0.78,2.08,2.51,2.98,3.68,5.29,6.80,8.58,11.23,14.15,15.55,26.63,23.46,36.31,48.85,57.62,68.09
1933,5.99,36.74,1.84,0.68,0.78,0.82,1.06,1.61,2.29,3.88,3.92,6.72,7.75,8.35,10.73,16.51,15.24,24.54,20.37,31.27,44.35,57.86,43.37
1934,5.93,34.25,1.56,0.76,0.64,1.11,1.06,1.96,1.83,3.68,3.66,6.82,7.99,7.94,11.62,15.96,16.77,25.06,18.66,28.28,39.42,59.43,34.62
1935,5.74,30.85,1.13,0.90,1.04,1.47,1.56,1.17,2.54,3.60,4.02,5.81,6.55,7.44,11.44,12.97,16.83,25.82,21.16,31.47,46.75,62.63,183.62
1936,5.77,30.01,1.85,1.05,0.69,1.15,1.07,1.64,2.19,4.11,4.20,6.73,6.99,6.74,10.37,13.23,16.13,25.19,23.38,34.35,52.71,61.81,119.11
1937,6.47,26.38,0.83,0.60,0.92,0.31,1.71,1.38,2.21,4.79,4.26,6.48,5.61,9.73,9.63,12.93,17.83,42.28,36.55,53.41,90.01,96.57,226.16
1938,6.60,26.67,0.93,0.21,0.73,0.47,2.13,1.42,2.72,4.96,4.81,5.89,4.85,11.98,8.94,12.74,17.30,43.00,38.11,57.83,84.70,121.05,166.28
1939,5.97,30.04,0.85,0.26,0.34,0.95,2.17,1.13,1.94,4.15,3.35,5.46,4.83,10.37,8.84,10.17,18.82,40.56,29.28,45.20,68.24,93.33,190.60
1940,5.35,45.96,2.94,0.66,0.73,0.85,0.75,0.87,1.17,2.05,2.51,6.20,4.21,5.86,9.89,15.85,15.68,22.10,20.62,30.60,49.04,76.91,136.63
1941,5.54,48.26,1.64,0.76,0.65,0.70,0.72,1.43,1.67,2.64,3.30,7.83,5.19,6.55,10.09,13.52,16.31,23.07,18.82,26.87,40.59,51.55,76.95
1942,5.54,50.21,1.13,0.53,0.71,0.92,0.63,1.22,1.43,2.16,2.77,5.84,5.26,6.88,9.37,14.32,18.25,25.15,23.40,32.69,50.02,64.14,131.89
1943,5.59,48.25,1.92,0.30,0.24,0.82,1.21,1.75,1.48,2.49,2.91,4.78,5.91,6.99,7.46,12.88,16.29,26.34,29.85,41.35,61.72,78.02,249.92
1944,5.47,55.26,2.21,0.31,0.37,0.81,1.39,1.40,2.08,2.24,3.07,4.30,5.12,5.58,9.39,12.21,13.32,21.52,30.39,44.91,63.30,86.53,242.27
1945,5.24,66.93,1.29,0.31,0.30,0.52,1.54,0.60,1.18,2.54,2.00,4.34,5.26,5.80,7.46,10.68,13.07,21.27,28.01,42.88,58.75,96.25,243.77
1946,4.02,45.43,1.27,0.07,0.16,0.31,0.60,0.71,1.08,1.51,1.70,3.10,3.75,3.22,6.47,8.36,11.06,18.11,24.80,38.58,50.37,99.78,338.72
1947,2.92,30.51,1.34,0.22,0.15,0.16,0.44,0.22,0.53,1.22,1.13,2.67,2.06,2.65,4.30,6.39,8.22,13.24,19.19,29.70,40.22,75.54,172.79
1948,2.32,22.78,0.85,0,0,0.05,0.47,0.51,0.27,0.89,0.98,1.60,2.25,2.36,2.96,5.04,7.45,11.81,15.67,23.54,32.32,60.11,162.77
1949,2.14,18.87,0.91,0,0,0.23,0.31,0.32,0.41,0.56,0.95,1.68,1.67,2.36,2.81,3.70,7.49,12.20,15.13,22.94,32.24,52.15,101.80
1950,2.12,22.55,0.61,0,0.13,0.12,0.23,0.14,0.42,0.74,0.42,1.56,2.02,2.42,3.00,4.82,6.24,9.89,14.67,22.36,32.26,45.03,483.95
1951,2.44,27.48,1.33,0.07,0.15,0,0.09,0.14,0.35,0.61,1.18,0.99,2.21,1.05,3.20,4.61,7.48,12.32,21.22,32.89,45.81,52.73,541.80
1952,2.40,27.61,1.50,0.07,0.14,0.07,0.06,0.07,0.36,0.84,0.61,1.35,1.30,2.75,4.05,4.37,7.20,12.22,17.68,37.78,39.85,8.44,0
1953,2.23,21.68,0.91,0.25,0.07,0.07,0.49,0.20,0.14,0.77,0.69,1.55,0.83,1.50,2.17,3.93,5.57,12.37,19.08,49.53,37.91,150.77,0
1954,2.35,22.81,0.86,0,0.14,0.14,0.07,0.07,0.25,0.26,0.40,0.90,0.95,1.17,1.32,3.40,6.49,12.31,18.74,51.13,41.32,88.40,3333.33
1955,1.82,17.46,1.00,0,0,0.14,0.07,0,0.19,0.16,0.30,0.48,0.54,0.84,1.78,4.13,6.30,11.63,18.74,34.83,64.41,59.14,0
1956,2.21,18.66,0.64,0.11,0,0.08,0.19,0.37,0.14,0.30,0.33,0.33,0.78,0.77,1.48,3.16,8.86,11.53,24.15,49.33,72.86,9.61,1694.92
1957,2.08,13.06,0.36,0.10,0,0.15,0,0.06,0.24,0.08,0.26,0.28,0.83,1.33,1.76,2.90,9.15,12.93,21.49,38.28,72.80,119.53,1562.50
