"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,492.32,140.45,13.53,13.40,12.56,18.21,24.01,34.77,49.80,76.97,135.44,217.07,360.48,602.45,1003.87,1667.01,2657.42,3842.78,4962.84,6026.83,6917.96,7097.59,12225.57
1926,488.44,134.66,14.48,12.26,12.49,19.12,27.41,34.10,49.73,77.57,139.32,211.42,367.48,614.08,1030.35,1663.25,2628.38,3907.08,4934.29,5671.52,5940.06,5955.15,5108.22
1927,469.90,88.34,9.35,10.39,11.92,17.86,26.49,32.41,49.57,74.14,128.28,199.50,358.12,588.33,1005.74,1659.16,2609.72,3713.11,4618.11,5106.13,5468.11,6521.40,10933.79
1928,473.02,145.31,11.52,11.49,12.55,18.61,22.70,37.04,47.79,73.41,132.92,215.36,371.49,612.35,1041.86,1688.43,2626.75,3696.63,4350.67,5075.18,5469.28,3906.51,7996.57
1929,523.44,128.91,11.96,12.59,12.91,20.80,26.23,36.99,51.00,82.57,143.01,234.90,408.49,664.80,1123.54,1815.69,2804.17,4214.98,5097.07,5805.93,6449.41,6018.05,10636.80
1930,471.53,99.55,10.94,11.99,12.62,19.59,25.33,32.12,50.36,77.06,131.83,219.17,373.26,610.14,1026.47,1669.55,2380.56,3796.96,3715.57,5620.28,7292.10,7885.00,14902.25
1931,490.71,124.71,13.35,10.88,10.72,18.82,25.26,30.70,42.70,74.82,125.24,208.20,370.73,622.18,1036.24,1691.50,2476.43,4029.50,3958.75,6223.89,8714.46,9197.47,19352.40
1932,478.80,103.11,12.35,11.93,12.16,16.78,24.82,31.06,45.07,66.87,126.08,202.72,369.28,607.58,996.25,1653.41,2434.82,3953.72,3990.03,6097.80,7960.54,8701.77,11542.06
1933,486.05,112.10,13.17,11.25,11.62,16.37,22.90,28.21,43.87,69.74,125.20,207.97,359.21,606.10,987.78,1699.87,2472.06,3959.31,4143.99,6274.42,8604.55,10333.85,8872.34
1934,476.06,122.97,13.32,11.10,10.70,13.64,20.39,29.46,42.18,74.74,123.47,209.16,358.54,589.13,978.03,1654.47,2427.57,3925.04,3991.67,5961.08,8034.88,11118.84,7497.79
1935,497.14,92.52,11.59,10.74,10.19,17.82,22.42,27.36,45.23,73.31,125.01,216.02,375.41,613.92,1025.09,1692.96,2520.21,3984.29,4266.48,6266.58,9000.94,11173.36,36825.56
1936,487.28,81.86,11.57,10.39,9.76,14.68,22.18,28.80,41.70,68.75,124.23,203.65,363.77,597.08,1014.36,1662.12,2479.40,3902.37,4292.40,6230.75,9260.04,10101.19,21625.51
1937,501.65,102.01,17.84,11.85,12.62,17.53,23.32,29.15,42.20,65.03,121.30,199.89,371.19,625.61,1030.51,1680.52,2487.24,3851.45,4599.45,6606.86,10799.39,10928.51,26006.31
1938,521.29,102.79,17.12,11.15,11.71,16.43,30.44,29.39,40.35,67.42,124.53,204.34,380.12,618.93,1047.36,1691.87,2511.47,4031.93,5120.52,7601.71,10664.48,14146.06,20434.57
1939,524.50,95.69,12.02,7.17,11.51,14.25,22.71,24.82,34.50,61.35,119.65,206.64,371.65,600.31,1049.38,1596.50,2582.67,4286.02,5167.20,7798.74,11177.16,13930.43,31733.30
