"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,6.82,1.15,0.18,0.17,0.13,0.26,0.48,2.04,3.73,4.59,7.17,6.14,7.83,8.98,11.71,14.44,21.20,43.30,44.63,71.75,110.49,140.67,0.04
1926,7.18,1.31,0.19,0.16,0.13,0.31,0.51,2.28,3.91,4.53,7.33,6.42,8.51,9.36,12.21,15.35,22.38,45.43,47.43,73.44,118.82,161.36,1.19
1927,7.33,1.21,0.15,0.23,0.16,0.47,0.75,1.98,3.86,4.37,7.03,6.15,8.31,9.35,12.45,15.23,22.78,48.11,52.40,84.39,128.45,140.25,0.67
1928,7.44,1.54,0.19,0.06,0.04,0.25,0.48,2.22,3.82,4.79,7.61,6.52,9.35,10.07,13.24,14.62,21.70,48.50,50.38,80.36,127.26,154.06,2.12
1929,7.58,1.19,0.19,0.03,0.02,0.13,0.32,2.22,4.03,5.31,7.78,6.95,9.13,9.78,12.30,14.06,22.34,51.18,54.77,86.77,138.12,143.64,0.03
1930,7.63,1.00,0.21,0.03,0.02,0.02,0.17,2.28,4.00,5.69,9.15,7.77,11.12,12.02,13.85,14.74,25.03,37.75,48.71,69.84,94.56,101.20,6.22
1931,6.96,0.97,0.14,0.12,0.10,0.28,0.53,1.76,3.36,3.57,6.06,5.99,9.18,9.08,12.45,13.63,27.39,41.57,51.69,77.20,112.65,117.77,5.31
1932,6.92,3.13,0.15,0.16,0.14,0.34,0.62,2.00,3.46,5.07,6.09,7.81,7.65,8.74,10.74,13.98,25.83,39.82,50.76,73.53,100.28,108.63,4.44
1933,6.65,2.34,0.17,0.17,0.15,0.36,0.64,1.67,3.25,4.90,5.53,7.14,7.73,9.05,9.58,13.70,24.97,37.74,50.31,72.51,104.17,124.57,3.50
1934,7.17,2.44,0.28,0.13,0.09,0.25,0.70,2.22,4.67,6.34,7.77,8.61,9.90,9.83,10.02,13.30,24.03,37.31,44.84,63.23,89.35,122.72,2.60
1935,8.05,1.43,0.35,0.14,0.10,0.34,0.76,2.53,5.56,8.28,9.66,11.57,10.90,10.51,11.78,13.12,25.58,38.63,47.27,65.89,99.14,122.39,12.79
1936,7.57,2.05,0.44,0.09,0.05,0.27,0.85,2.51,5.77,8.00,9.51,9.13,8.90,8.57,11.07,13.92,25.21,37.68,46.29,63.60,98.85,106.99,8.95
1937,8.42,0.44,0.53,0.07,0.03,0.43,1.10,4.09,6.88,9.30,10.11,11.31,11.32,11.29,8.25,19.64,23.04,42.74,42.73,57.21,97.79,97.40,10.25
1938,9.19,0.61,0.46,0.09,0.01,0.74,1.10,7.40,6.75,8.94,13.78,11.11,12.29,11.60,8.34,22.58,26.07,43.00,42.68,58.97,87.71,115.86,7.19
1939,8.92,0.45,0.15,0.08,0.01,1.07,1.66,6.56,4.82,8.34,15.33,9.86,12.28,11.05,8.71,22.55,25.73,38.93,43.78,62.01,95.00,119.37,14.38
1940,10.16,4.66,0.32,0.21,0.15,0.50,1.13,2.95,3.61,7.73,10.90,12.44,14.27,16.93,17.31,23.98,33.03,47.31,57.43,77.43,125.04,170.91,48.79
1941,10.87,4.36,0.34,0.17,0.11,0.43,0.93,3.96,4.81,9.07,12.00,14.98,19.46,19.30,20.59,22.73,29.43,44.60,52.43,67.10,102.04,111.98,32.21
1942,7.82,4.45,0.25,0.05,0.04,0.40,0.40,1.62,2.63,4.05,6.48,6.95,11.94,12.68,16.83,17.95,28.03,43.28,51.95,64.66,99.55,110.45,39.91
1943,6.81,1.11,0.21,0.09,0.15,0.47,1.34,1.62,2.30,4.68,6.36,6.63,8.25,9.31,13.89,16.81,24.97,38.54,44.89,55.79,83.97,91.85,38.78
1944,7.34,1.03,0.32,0.15,0.12,0.56,1.54,1.97,3.64,4.87,7.09,8.36,11.24,9.83,12.22,16.64,24.02,36.82,47.69,63.38,90.05,107.25,64.01
1945,7.11,0.83,0.32,0.50,0.27,0.53,1.38,2.39,2.81,5.04,7.51,9.90,9.21,9.74,13.52,15.11,21.86,33.68,42.68,58.46,80.69,115.10,63.88
1946,5.01,0.54,0.10,0.11,0.52,0.66,1.01,1.07,1.74,2.74,4.25,5.22,6.05,7.27,8.53,14.01,17.40,26.83,33.42,45.66,60.03,103.05,58.65
1947,6.33,0.70,0.09,0.24,0.35,0.57,1.21,1.87,2.57,4.45,5.23,8.83,8.43,9.55,10.32,15.26,20.06,30.57,39.41,54.59,74.34,118.89,78.18
1948,8.14,1.48,0.19,0.26,0.14,0.38,1.14,3.01,4.39,7.00,9.95,13.14,13.88,12.16,13.79,17.35,22.03,33.21,36.20,48.49,66.96,105.64,70.44
1949,9.03,1.93,0.43,0.15,0.41,0.56,0.88,2.21,4.02,6.76,10.94,13.78,15.08,14.71,15.38,20.50,25.52,39.42,42.55,57.77,81.56,109.61,59.34
1950,10.62,2.94,0.42,0.20,0.35,0.35,0.90,2.27,3.43,7.97,14.99,17.68,20.46,18.72,18.73,23.15,27.75,42.03,41.72,57.04,82.39,94.07,250.09
1951,11.88,3.02,0.49,0.18,0.15,0.37,0.91,2.98,3.77,8.52,15.55,19.88,22.94,23.27,21.52,27.19,29.49,46.21,45.15,62.77,87.54,86.29,256.95
1952,12.55,3.57,0.50,0.20,0.30,0.35,0.95,2.06,5.13,8.65,15.89,19.70,24.17,24.18,23.16,31.35,35.70,46.75,47.87,72.17,78.53,7.35,0
1953,16.15,5.16,0.82,0.12,0.37,0.48,1.22,3.10,6.62,12.85,19.89,28.68,31.50,34.74,30.33,37.51,42.77,58.76,55.56,61.44,75.15,5.80,0
1954,16.76,3.01,0.66,0.17,0.15,0.37,0.68,2.42,6.85,11.38,21.25,30.05,31.72,34.64,34.57,42.20,48.85,50.02,56.77,80.35,65.00,137.81,0
1955,18.61,4.09,0.74,0.16,0.25,0.14,0.89,2.93,7.52,12.58,21.58,31.90,38.37,40.12,42.31,44.67,50.57,59.21,64.77,72.29,83.60,65.27,0
1956,24.03,3.24,0.66,0.16,0.12,0.31,0.47,2.97,8.63,16.60,27.69,42.26,51.09,50.38,52.39,57.57,69.84,78.74,91.08,79.55,116.12,107.90,0
1957,23.56,3.07,0.67,0.19,0.12,0.29,1.26,3.24,7.59,13.18,22.31,37.36,46.30,51.15,54.11,59.70,77.68,80.51,98.39,126.26,86.61,127.85,0
1958,17.82,3.69,0.54,0.21,0.08,0.22,0.45,2.78,4.86,8.81,14.95,23.25,28.91,37.48,39.32,49.61,64.59,78.91,97.25,112.95,129.84,61.46,0
1959,19.46,3.66,0.67,0.29,0.15,0.65,0.77,2.59,5.48,10.54,14.02,25.31,35.44,41.75,45.76,53.68,66.16,86.72,83.45,100.85,115.25,57.11,2083.33
1960,20.41,2.43,0.53,0.25,0.31,0.23,0.63,2.24,5.71,11.78,16.33,24.43,37.05,43.71,51.45,56.65,68.17,86.69,93.38,130.56,122.84,136.53,86.09
1961,20.07,3.98,0.55,0.29,0.19,0.21,0.62,2.61,6.32,10.18,15.76,23.58,34.24,40.30,48.78,59.50,70.48,90.79,108.49,115.90,107.62,138.62,16.22
1962,21.64,3.93,0.51,0.27,0.19,0.46,0.84,2.10,6.20,11.93,17.00,24.25,35.82,42.24,54.99,66.04,75.61,95.43,115.36,111.00,175.71,238.78,21.73
1963,22.43,3.51,0.68,0.48,0.14,0.34,0.75,2.96,6.64,12.50,17.95,24.62,34.60,45.58,55.66,62.99,78.74,98.69,122.61,159.05,206.84,186.05,0
1964,19.80,3.88,0.17,0.32,0.38,0.53,0.64,1.38,5.64,10.40,14.15,20.84,28.95,42.48,48.30,58.74,74.66,92.34,116.06,136.16,153.86,113.46,0
1965,22.18,4.11,0.38,0.21,0.10,0.24,0.57,2.72,5.98,11.86,16.24,24.06,33.35,45.13,57.51,67.74,77.67,105.32,123.63,142.42,170.30,133.72,0
1966,21.74,2.53,0.55,0.11,0.33,0.62,0.58,2.37,3.79,9.82,15.97,21.57,30.30,42.33,55.44,74.43,78.18,106.89,137.76,161.33,178.18,43.25,0
1967,21.72,2.57,0.49,0.31,0.15,0.32,0.81,1.92,4.67,10.33,15.83,20.66,30.19,42.35,54.87,71.50,83.46,100.13,148.21,151.99,185.21,149.47,79.40
1968,19.65,0.29,0.17,0.15,0.19,0.37,0.71,1.08,4.44,10.36,14.98,19.66,28.71,38.19,50.02,67.10,72.38,86.06,117.45,149.47,160.35,86.63,0
1969,21.06,0.11,0,0.06,0.10,0.09,1.16,1.67,4.69,10.27,18.06,22.63,29.72,39.83,53.37,67.72,76.68,93.81,125.68,144.88,192.05,316.77,39.70
1970,18.11,0.26,0.06,0.15,0.10,0.35,0.48,1.16,5.12,10.11,14.45,20.76,24.31,30.12,44.66,54.59,68.18,81.48,124.79,139.90,200.40,194.16,30.23
1971,19.21,0.05,0.06,0.10,0,0.24,0.26,1.47,4.68,10.70,17.27,21.43,27.78,36.77,46.24,57.25,68.84,85.70,111.87,157.81,189.91,140.47,18.69
1972,19.45,0.03,0.06,0.05,0.05,0.31,0.69,1.05,3.92,9.25,19.01,22.84,30.42,35.62,47.97,57.35,74.34,83.46,103.50,140.78,174.63,239.11,15.87
1973,17.81,0.03,0.06,0.05,0,0.19,0.63,1.14,2.71,6.83,16.23,22.96,24.57,31.59,40.90,58.01,62.16,83.46,113.35,145.42,187.52,252.97,0
1974,16.75,0.02,0.07,0.10,0.05,0.14,0.76,1.23,2.74,8.08,13.93,20.35,26.50,30.26,39.66,49.81,57.20,72.41,103.12,134.09,199.16,245.75,139.91
1975,18.29,0.01,0.06,0.10,0.14,0.10,0.73,1.59,3.10,9.16,17.38,26.00,27.90,30.93,42.63,55.10,66.80,78.76,108.48,150.26,124.13,176.47,13.06
1976,17.31,0.01,0.12,0,0.18,0.25,0.79,1.68,3.78,8.06,15.39,23.02,27.89,32.14,39.34,46.88,55.95,73.56,106.46,152.98,182.78,228.27,209.89
1977,16.70,0.01,0.06,0,0.19,0.19,1.33,0.99,2.66,7.26,15.73,22.67,27.16,29.37,36.89,40.78,59.38,75.01,106.37,144.94,216.06,171.08,7.76
1978,15.72,0.01,0,0.05,0.05,0.28,0.62,2.02,3.17,5.03,12.96,19.22,26.23,28.51,32.40,39.33,57.23,78.97,103.27,138.35,219.36,152.59,212.72
1979,16.11,0,0.07,0.15,0.14,0.29,0.95,1.54,4.09,5.87,13.49,18.33,24.96,30.03,27.38,42.37,51.24,79.10,114.86,174.97,233.37,379.34,593.47
1980,17.10,0,0,0,0,0.34,0.71,1.50,3.52,5.95,11.76,20.63,26.31,26.26,34.05,39.07,59.97,93.60,136.46,200.73,302.84,215.60,0
1981,18.91,0,0,0,0.10,0.29,0.48,1.48,3.66,5.95,12.34,22.17,25.51,29.96,33.65,42.29,65.92,103.81,175.45,272.05,356.84,251.20,0
1982,19.41,0,0,0.17,0.10,0.53,0.89,1.56,3.53,6.80,13.42,19.34,29.28,29.88,32.85,38.31,62.61,107.85,178.95,297.59,388.56,453.30,323.45
1983,21.26,0,0,0.06,0.05,0.24,0.97,1.86,3.29,7.29,11.10,20.64,29.36,34.37,32.87,47.69,67.89,124.56,211.85,318.23,506.18,432.04,233.37
1984,20.92,0,0,0,0.15,0.43,2.03,2.83,4.01,6.91,10.99,18.01,24.56,35.61,35.00,36.68,67.86,112.80,219.51,378.96,491.06,519.02,493.52
1985,20.30,0,0,0.06,0.10,0.34,2.09,2.37,4.36,8.09,10.34,17.12,25.63,29.57,31.98,42.12,60.78,115.17,206.23,346.16,487.56,747.48,372.66
1986,20.91,0,0,0.06,0,0.33,1.84,2.67,4.61,7.88,10.28,13.84,27.25,32.13,33.66,35.85,58.38,118.79,226.78,377.12,655.25,597.73,254.45
1987,19.09,0,0,0,0,0.30,1.53,2.46,3.59,6.85,10.02,16.09,23.30,28.09,26.86,31.98,48.42,106.03,221.80,342.73,606.30,846.49,372.90
1988,19.70,0,0,0,0,0.22,1.90,3.05,5.24,8.03,10.73,14.36,23.87,27.33,31.47,35.22,49.67,99.18,217.47,398.33,570.24,770.14,700.76
1989,19.69,0,0,0,0,0.19,3.03,4.35,5.61,8.44,11.57,15.03,22.32,28.85,30.00,32.07,49.81,91.54,215.38,391.58,603.14,822.86,318.47
1990,19.39,0,0.06,0,0,0.43,3.22,5.77,5.02,8.97,10.94,13.58,19.45,27.84,30.83,31.75,45.46,87.86,207.43,407.33,625.06,934.83,308.88
1991,18.74,0,0,0,0,0.35,2.83,5.01,7.20,8.08,12.50,14.77,17.98,25.19,29.73,27.12,35.11,95.19,195.64,412.78,627.99,727.31,396.84
1992,17.79,0,0.07,0,0.10,0.55,3.92,7.05,7.38,9.36,13.43,13.62,17.08,22.37,24.67,28.02,35.28,82.59,176.10,370.70,566.08,779.81,905.57
1993,18.06,0,0,0,0,0.52,3.33,7.11,7.00,10.98,12.62,15.76,17.84,21.44,26.73,26.92,34.15,76.31,177.02,388.95,577.26,820.32,1297.16
1994,18.09,0,0,0,0.10,0.41,3.87,6.60,7.78,9.68,12.11,16.62,20.28,20.60,26.56,25.73,33.53,70.55,180.59,411.14,601.56,798.15,430.57
1995,17.49,0,0,0,0,0.36,3.23,7.11,7.39,9.73,12.54,14.33,16.36,20.41,22.63,26.52,38.21,66.50,174.84,377.99,634.59,963.01,409.63
1996,17.10,0,0.07,0,0.10,0.85,3.35,6.08,6.60,7.88,13.17,14.48,16.61,19.12,21.81,28.77,35.10,67.79,170.19,384.74,609.88,825.80,617.55
