"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,137.87,92.95,71.13,30.51,31.50,59.82,99.32,109.80,112.29,119.05,137.35,157.23,177.96,198.11,237.53,260.72,306.29,372.56,406.65,463.48,513.10,249.55,213.21
1926,133.80,93.75,68.90,33.37,28.74,63.67,99.36,107.61,118.97,122.35,133.46,150.36,168.59,182.57,227.21,242.71,285.93,345.59,373.88,473.92,495.01,214.93,2551.86
1927,120.55,72.37,70.45,29.00,26.60,54.88,88.90,101.33,106.78,109.01,124.24,138.93,151.33,165.73,196.01,217.45,252.22,305.92,356.49,381.97,479.42,551.05,90.64
1928,123.15,62.77,66.47,31.08,31.59,64.12,91.94,105.35,110.33,116.71,131.17,137.91,150.36,170.45,198.69,219.69,244.12,304.20,334.91,365.80,530.65,158.69,4884.59
1929,132.22,68.57,70.51,29.55,27.79,65.30,96.88,113.01,117.51,127.88,134.78,157.24,162.72,180.19,217.69,239.97,276.66,317.96,364.82,421.32,455.95,528.60,5179.26
1930,136.33,92.69,68.15,29.66,27.02,67.25,100.68,114.55,121.16,134.36,141.22,164.11,167.65,188.96,220.98,253.59,253.73,384.45,304.79,445.59,579.24,617.85,1199.09
1931,130.57,73.59,58.37,27.86,21.04,65.24,97.76,110.10,111.43,122.43,130.39,147.84,165.36,189.73,216.36,240.93,239.62,379.67,336.87,507.61,706.58,729.18,1568.31
1932,133.98,74.49,60.98,27.69,25.04,67.84,98.13,110.75,113.89,120.94,142.86,161.09,171.40,189.89,224.62,254.98,249.08,386.38,315.06,459.87,596.30,636.59,853.03
1933,133.44,81.54,59.00,28.80,23.72,70.59,96.23,107.60,114.32,119.60,132.29,157.84,166.78,191.59,226.86,248.07,257.32,384.18,340.51,493.92,675.90,797.05,686.80
1934,139.04,83.70,60.98,28.81,24.32,67.51,100.44,111.75,118.25,129.94,143.05,164.06,187.26,196.45,231.41,270.12,254.74,391.17,338.14,483.14,649.52,881.72,594.64
1935,138.85,67.44,55.09,24.26,24.88,58.70,95.19,105.36,117.00,131.30,147.74,159.12,186.93,208.56,239.95,268.37,263.88,405.82,356.50,496.76,706.52,853.20,2803.31
1936,131.52,51.97,51.83,25.87,22.54,56.16,90.77,102.37,114.05,127.76,136.09,153.87,172.11,190.09,224.37,247.69,252.04,402.04,354.22,482.75,703.71,738.17,1575.39
1937,129.33,41.34,48.92,29.09,20.22,49.40,83.45,105.28,111.27,131.90,139.04,152.28,159.94,170.08,217.53,250.51,219.55,412.16,403.16,556.13,909.54,906.21,2157.56
1938,137.41,57.02,45.61,29.09,20.88,59.42,81.38,99.75,104.30,145.74,160.10,157.27,171.95,201.02,238.01,265.77,254.61,371.76,435.29,637.14,921.65,1246.10,1750.86
1939,140.47,57.30,43.74,31.49,22.28,53.40,75.90,92.07,99.57,143.98,145.32,153.91,168.72,214.72,243.73,298.94,278.98,383.70,505.36,760.11,1165.69,1634.33,4677.00
1940,177.86,115.47,80.32,58.13,60.67,111.45,76.72,91.31,109.93,144.34,187.27,220.22,260.63,274.97,302.64,314.57,337.63,499.41,493.83,719.00,1139.00,1616.23,3635.05
1941,116.87,90.32,58.00,32.31,32.30,61.84,59.13,77.57,77.85,95.39,122.71,146.41,153.81,173.53,196.92,209.14,214.63,358.72,352.40,487.64,723.51,823.19,1557.59
1942,104.44,98.08,58.24,30.97,29.64,62.76,71.19,60.97,69.37,81.96,95.07,123.18,121.52,138.10,165.64,180.10,197.38,331.60,398.71,544.23,821.52,954.02,2444.61
1943,130.16,106.23,72.05,45.56,40.98,78.78,103.43,96.26,102.87,110.51,129.51,145.16,157.29,166.00,187.21,212.79,224.56,356.77,436.10,583.15,852.36,962.26,3882.76
1944,466.81,206.86,162.54,126.30,146.30,464.64,795.00,685.89,541.98,498.30,503.45,515.24,507.38,489.37,472.45,497.00,456.18,724.09,633.40,904.13,1250.27,1535.21,5351.57
1945,146.35,118.01,84.30,52.88,59.99,100.75,167.43,174.76,141.17,130.18,130.34,128.81,144.02,153.94,175.44,219.54,238.15,377.71,423.34,612.09,808.56,1169.76,3619.51
1946,101.13,75.99,58.80,30.58,25.16,52.41,80.56,93.60,89.97,93.54,93.62,96.03,103.79,114.77,150.29,170.02,195.46,311.55,352.00,512.02,639.58,1113.09,4535.79
1947,106.18,68.04,51.98,27.05,23.98,63.11,84.60,87.06,95.25,96.11,102.51,117.83,127.23,129.90,149.15,169.76,196.19,308.24,360.98,534.01,704.00,1155.46,3476.07
1948,106.74,57.60,49.25,24.75,21.54,50.10,75.00,76.45,92.71,99.21,116.69,122.33,134.04,137.57,164.96,190.82,201.74,313.71,337.53,489.53,658.26,1077.56,3858.60
1949,103.52,48.47,43.97,21.95,17.72,48.65,72.91,70.75,83.90,93.06,106.80,120.58,132.50,140.37,169.52,185.05,199.56,317.05,348.44,510.59,702.12,977.14,2706.77
1950,109.42,52.11,39.26,19.92,17.81,47.78,74.32,79.52,88.35,98.09,110.92,133.77,148.52,149.43,160.77,191.41,198.37,308.75,389.50,579.15,819.12,976.44,15558.94
1951,110.37,57.43,34.42,19.07,17.50,47.77,68.38,79.06,79.09,92.46,111.83,132.30,152.78,153.64,171.30,202.78,212.60,342.57,408.22,618.17,846.00,871.65,11448.23
1952,112.66,71.06,35.32,17.73,17.72,49.82,79.75,79.67,85.43,98.67,113.93,139.71,158.14,165.14,171.72,195.89,227.52,296.04,390.22,628.41,916.55,754.75,3465.55
1953,119.10,63.85,35.00,16.77,18.50,51.66,87.49,87.87,89.79,98.93,117.84,146.53,164.07,183.13,187.03,206.68,243.91,318.47,435.81,700.91,804.34,809.55,5268.42
1954,120.04,66.20,33.30,15.59,15.95,51.02,84.24,91.18,91.73,108.63,120.62,144.83,167.56,177.35,183.57,208.62,238.56,305.48,429.55,663.30,961.74,1382.33,10001.45
1955,122.52,73.21,31.82,16.56,20.33,58.97,94.77,98.03,90.35,106.72,121.06,145.47,167.79,180.60,182.45,201.02,251.24,321.06,441.72,764.50,974.12,826.85,4651.82
1956,126.82,73.36,31.39,16.91,16.00,55.15,82.31,93.58,96.58,103.46,126.96,147.22,176.28,192.29,205.48,214.67,253.67,360.30,495.69,828.93,1068.95,838.67,6779.66
1957,128.46,75.51,32.95,17.11,17.44,64.18,91.51,114.12,101.71,105.00,126.37,145.35,167.70,192.20,195.44,208.71,256.35,344.68,521.72,750.75,1220.43,1128.78,3125.00
1958,119.58,71.00,30.76,15.53,17.60,59.80,86.79,107.96,96.40,99.26,115.54,130.88,158.16,173.00,177.54,187.82,238.29,308.40,482.05,753.54,1292.69,1416.16,1666.67
1959,121.59,77.07,30.99,17.62,17.96,63.01,83.00,100.90,97.23,99.96,117.65,132.45,158.05,173.61,197.14,187.77,242.54,312.89,505.74,752.84,1297.33,1142.18,8333.33
1960,115.79,55.04,30.94,16.80,16.61,53.92,77.68,92.33,93.46,93.99,107.56,126.27,151.71,170.37,181.24,185.48,235.78,316.43,483.90,811.12,1265.77,1439.31,3480.17
1961,123.50,71.75,28.93,19.07,17.49,66.14,89.31,105.40,102.64,103.58,118.07,134.00,156.09,174.20,190.79,188.08,241.59,312.64,494.06,798.08,1511.60,2007.74,1594.67
1962,124.90,66.60,30.16,19.95,17.95,59.24,86.46,99.01,102.58,105.25,114.78,141.96,165.22,180.56,189.99,196.66,232.49,345.41,527.89,828.39,1464.26,2027.93,597.53
1963,124.96,76.35,28.73,18.15,17.82,60.08,97.31,97.33,96.80,103.15,109.14,136.05,154.11,181.12,198.91,203.13,243.55,335.19,544.34,882.24,1349.63,2572.83,1544.83
1964,124.92,73.32,30.30,19.46,20.77,64.19,107.88,103.45,95.05,105.93,111.37,135.92,154.05,175.45,191.05,192.65,231.95,329.57,533.40,831.18,1377.23,2454.29,2551.36
1965,127.71,83.85,29.96,20.17,19.55,64.85,108.96,97.61,97.06,108.77,116.64,136.21,158.54,189.01,195.10,203.69,245.08,338.70,515.81,900.58,1313.19,1951.14,3191.48
1966,128.75,86.67,27.86,19.80,18.13,69.34,111.72,102.99,105.73,107.36,116.80,130.35,154.58,180.84,191.10,217.08,241.41,355.80,553.73,852.44,1512.71,1635.65,3786.77
1967,130.88,83.05,29.79,20.98,20.59,73.15,118.18,104.77,104.02,101.27,118.29,135.75,159.27,177.81,200.08,217.35,242.33,347.18,556.72,886.42,1468.36,2369.96,3662.05
1968,134.18,104.57,32.51,22.71,23.19,79.00,115.78,102.51,98.36,109.25,125.83,141.38,160.56,175.80,203.52,219.02,264.12,358.55,568.99,960.10,1510.79,2033.45,2747.25
1969,136.33,99.22,31.17,21.76,24.26,81.42,122.62,107.21,104.96,114.22,122.08,141.93,154.34,173.29,204.52,222.99,275.17,366.22,599.74,940.92,1638.47,2023.64,3473.95
1970,130.60,102.01,32.87,24.17,21.96,86.08,119.37,103.34,100.25,108.08,118.81,129.43,150.85,174.09,193.07,204.16,253.86,327.45,525.53,902.51,1370.52,2790.96,4030.23
1971,133.08,114.16,31.45,21.97,23.85,95.40,133.37,104.31,101.22,112.11,122.08,133.84,148.39,170.41,192.80,205.27,253.70,324.28,532.60,921.54,1613.70,2115.87,3738.33
1972,134.57,110.94,33.31,23.31,22.92,97.34,145.20,107.65,108.15,112.14,126.81,137.77,146.56,165.61,178.03,206.35,250.76,353.85,534.30,899.68,1540.01,2411.17,2380.95
1973,131.27,119.70,33.08,22.73,21.56,96.02,142.02,102.17,101.48,107.64,119.29,128.27,139.12,154.17,180.32,201.39,251.02,349.35,536.45,968.72,1695.26,2430.41,2305.93
1974,125.52,129.02,32.83,20.20,21.64,91.96,130.03,96.15,91.93,108.16,116.17,123.99,134.37,154.67,164.25,182.91,240.13,342.54,515.13,907.47,1598.04,2616.61,1234.56
1975,122.99,118.83,29.22,19.67,20.12,88.59,127.90,88.74,84.67,99.00,112.33,124.75,133.90,143.20,155.13,187.05,256.55,352.75,532.77,949.71,1646.56,2375.14,2393.91
1976,124.47,124.81,25.09,18.87,17.83,92.12,142.33,96.21,87.08,98.13,110.43,124.13,130.37,142.49,162.07,190.12,245.69,362.53,555.60,947.52,1581.25,2724.79,2219.98
1977,122.17,134.62,26.48,17.62,19.36,90.40,135.40,95.19,87.23,94.88,109.84,119.02,133.50,139.53,147.36,178.02,246.52,343.40,550.72,955.78,1635.75,2209.64,4849.66
1978,117.98,110.47,27.90,17.63,17.76,85.63,129.00,89.75,79.89,90.81,103.57,115.33,123.27,130.04,150.29,179.20,234.03,361.70,586.15,949.65,1559.83,2195.74,4588.11
1979,121.57,109.52,25.37,17.03,19.15,88.24,136.36,101.98,87.16,98.20,105.12,118.23,129.62,136.03,149.94,180.68,245.50,357.17,551.76,892.54,1699.55,2456.63,4015.81
1980,119.94,115.94,26.70,16.90,17.61,90.17,141.60,104.05,85.35,91.52,108.02,118.16,125.27,133.33,143.84,169.23,242.68,341.06,550.72,916.24,1622.90,2443.41,1590.75
1981,118.22,105.38,24.23,17.73,17.43,78.79,134.42,100.86,87.20,93.37,104.62,115.63,130.75,135.84,139.72,171.00,235.00,358.38,555.77,887.84,1633.14,2252.81,1960.79
1982,118.58,86.44,22.25,15.94,16.08,77.31,136.29,104.86,90.13,96.14,108.65,120.47,128.43,134.53,139.26,168.06,230.33,352.04,542.02,938.37,1569.20,2592.90,1617.25
1983,117.14,67.89,23.93,16.88,16.05,70.63,134.37,105.59,96.64,98.63,101.63,115.46,128.40,134.70,137.34,159.85,239.63,336.07,565.03,917.48,1544.15,2419.40,2450.42
1984,114.29,58.14,20.70,14.18,15.16,65.96,132.06,104.82,93.62,92.95,106.29,119.71,125.08,130.75,133.73,162.10,218.24,337.48,544.78,889.01,1456.62,2595.14,2097.47
1985,111.45,51.87,18.21,13.19,16.39,62.51,116.93,103.08,94.74,91.04,97.20,115.90,119.42,128.71,128.84,154.40,218.91,323.32,564.66,944.64,1635.75,2572.72,2360.24
1986,111.04,51.76,19.49,12.90,14.28,61.73,118.36,97.48,93.85,90.35,100.70,111.02,123.96,126.16,129.90,154.76,225.31,346.43,507.79,923.74,1555.53,2920.36,2544.52
1987,103.22,44.37,18.46,12.91,13.37,53.68,108.79,95.84,89.01,90.82,94.78,103.78,114.19,115.88,128.12,138.43,203.60,303.67,481.80,861.44,1403.78,2456.49,2361.71
1988,102.95,43.78,19.40,11.28,12.93,57.80,112.04,94.50,95.23,90.32,95.36,100.60,109.74,112.09,123.31,140.75,197.01,300.35,508.31,829.47,1493.99,2265.99,1541.69
1989,104.34,42.29,17.98,12.03,12.65,59.88,115.78,98.75,93.46,90.38,95.45,101.52,115.14,114.24,122.16,150.16,193.14,305.85,482.24,856.98,1497.89,2331.43,2547.78
1990,103.17,49.17,17.84,9.24,10.75,59.35,113.39,97.47,93.40,92.65,91.85,104.15,112.10,111.46,124.76,146.48,184.04,283.11,494.44,871.77,1570.86,2136.67,4324.32
1991,99.60,44.30,15.92,10.90,11.44,56.11,110.44,95.36,92.36,92.33,95.47,94.38,104.85,112.60,120.11,144.17,167.90,287.93,480.99,781.72,1365.33,2097.07,2777.80
1992,98.10,38.80,13.88,8.86,10.25,54.68,102.95,93.58,88.15,92.69,97.24,97.25,103.75,106.62,117.33,144.11,175.15,287.48,473.02,797.39,1380.26,2046.99,2457.96
1993,97.24,28.68,14.46,9.05,10.00,51.81,107.14,94.00,87.24,93.12,97.60,96.63,100.88,108.68,112.87,136.08,174.72,280.02,455.81,798.65,1355.79,2300.86,2948.10
1994,93.40,29.95,12.15,8.72,10.76,48.44,98.45,90.51,84.69,89.64,95.64,96.19,102.18,102.37,108.87,133.03,180.01,245.17,432.40,790.59,1222.29,2060.30,1722.28
1995,91.01,22.43,13.81,8.12,10.72,47.10,92.83,91.84,82.43,83.55,95.28,91.41,89.38,100.28,108.00,127.19,180.41,245.66,467.10,731.93,1305.56,2041.19,2662.58
1996,87.64,23.58,13.04,7.59,9.40,46.82,85.79,83.19,77.46,83.63,91.50,88.31,91.38,94.18,103.48,123.80,177.13,245.44,430.03,731.39,1263.47,1931.76,2029.11
1997,86.87,21.42,13.04,7.56,9.03,46.34,86.43,82.46,78.21,80.65,86.92,93.99,91.11,96.23,101.91,120.12,172.75,245.98,428.27,738.19,1283.40,1637.17,1634.40
