"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,5.09,1.43,0.58,0.98,1.61,1.33,1.21,0.40,0.54,1.03,1.05,1.96,1.59,2.41,4.47,7.30,12.63,28.91,69.54,148.41,256.21,352.17,0
1926,5.41,1.56,0.68,1.18,1.69,1.41,1.26,0.49,0.57,1.01,1.06,1.98,1.73,2.40,4.47,7.66,13.25,30.65,73.11,151.44,277.69,411.67,658.41
1927,5.82,1.71,1.07,1.47,2.17,1.93,1.59,0.36,0.43,0.75,0.70,1.62,1.79,2.69,4.70,7.96,14.83,34.63,81.16,174.00,300.02,349.04,0
1928,5.98,3.75,1.76,1.33,2.05,1.72,1.39,0.45,0.43,0.90,0.85,1.71,2.00,2.91,5.07,9.16,15.89,34.61,77.16,164.78,295.94,390.86,885.59
1929,6.20,5.92,1.27,1.25,1.70,1.73,1.43,0.65,0.74,1.30,1.37,2.35,1.99,2.72,4.93,9.71,16.51,34.03,81.42,174.89,320.17,359.85,0
1930,5.41,6.48,0.72,1.40,1.90,1.90,1.31,0.89,0.71,1.27,1.63,2.36,2.39,3.22,4.68,10.12,16.21,26.66,72.87,133.19,198.68,232.37,455.85
1931,5.90,6.26,0.14,1.33,2.02,1.34,1.42,0.31,0.56,1.01,1.12,2.22,1.95,2.78,5.30,10.72,18.37,32.49,84.84,159.30,254.53,289.49,631.87
1932,5.68,7.59,1.20,1.77,2.23,1.27,1.17,0.41,0.61,0.79,1.27,1.91,2.14,2.87,5.15,8.68,15.04,31.70,84.04,152.58,227.15,267.82,365.05
1933,5.53,8.17,1.37,1.17,1.50,1.21,1.28,0.45,0.54,0.98,1.12,2.38,1.89,3.03,5.50,8.58,13.97,29.53,82.60,149.19,234.18,304.50,266.57
1934,2.17,7.03,1.88,1.09,1.12,1.44,1.24,0.56,0.43,0.74,1.55,1.55,2.17,2.98,4.56,5.25,5.67,8.57,5.38,8.17,11.22,15.91,10.99
1935,5.30,6.98,0.62,0.79,0.93,1.06,1.08,0.22,0.54,1.01,1.02,1.46,2.59,3.65,5.54,8.96,14.30,27.17,78.70,137.93,226.91,305.10,1023.34
1936,5.17,4.69,0.61,0.92,1.05,1.07,0.73,0.50,0.42,0.68,1.02,1.58,2.52,4.17,5.77,10.32,15.14,26.37,74.20,128.80,219.11,258.71,566.39
