"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,54.41,389.11,86.14,46.21,22.63,24.44,22.42,15.72,19.04,18.68,21.35,25.08,26.36,38.34,53.77,86.55,153.65,218.16,340.88,483.56,531.36,490.72,192.94
1926,55.19,448.46,92.81,44.60,23.14,26.25,21.63,16.98,19.64,18.61,21.01,23.67,28.21,39.12,53.57,88.45,151.71,217.84,325.05,437.20,450.81,351.65,349.98
1927,56.36,514.20,93.59,47.05,25.18,28.12,23.68,17.16,19.30,20.07,21.85,26.22,28.51,41.13,58.02,92.43,150.51,206.81,285.50,361.85,343.62,398.72,582.42
1928,57.55,595.72,97.20,45.95,25.98,25.24,21.99,17.78,19.45,17.35,23.22,26.85,29.89,40.98,58.55,93.46,150.17,208.36,270.99,348.95,359.23,272.03,953.67
1929,58.84,570.83,95.10,44.09,25.77,27.66,23.77,18.02,20.38,20.53,23.21,27.15,28.46,43.06,57.42,96.96,153.93,224.71,310.74,405.40,389.26,327.38,384.67
1930,55.49,554.42,70.44,32.02,18.14,21.55,18.47,15.40,18.96,18.84,26.17,29.28,31.40,47.52,63.07,103.84,150.47,230.38,243.58,394.90,492.90,497.18,914.29
1931,53.17,493.56,69.05,32.25,19.17,17.96,18.80,16.63,17.52,18.72,20.67,26.06,30.14,42.60,59.61,97.23,149.07,232.01,242.03,414.04,553.83,545.72,1122.54
1932,53.24,498.54,74.70,30.34,17.70,18.34,17.03,13.90,17.19,18.37,21.20,26.39,28.45,43.03,62.44,100.28,153.62,235.15,245.88,408.17,511.21,517.93,653.49
1933,51.35,458.68,65.00,28.59,18.42,15.53,15.56,13.92,16.31,19.35,21.80,27.06,30.00,43.13,57.26,97.86,149.88,228.32,245.95,406.43,532.72,588.75,466.62
1934,49.98,449.30,64.43,28.09,16.82,16.28,14.33,15.26,18.31,18.18,21.14,23.93,28.62,43.08,55.55,93.45,145.65,223.16,237.19,384.05,496.00,629.25,381.37
1935,49.82,411.68,58.18,25.00,16.46,16.44,15.93,13.82,18.09,20.17,22.00,25.98,30.09,42.08,58.75,95.73,149.35,222.66,243.61,388.88,533.56,606.14,1802.26
1936,47.93,399.77,58.09,22.99,15.31,14.93,16.92,12.94,16.96,16.76,22.51,24.63,27.18,40.65,60.03,89.68,142.27,209.13,244.99,384.20,547.14,547.32,1071.82
1937,47.48,378.32,59.21,18.35,9.43,11.18,15.36,18.09,19.88,15.82,20.83,25.98,26.89,41.19,60.66,85.54,140.00,209.01,265.93,409.60,649.63,597.56,1252.30
1938,48.23,363.55,56.39,15.06,6.79,8.24,15.09,18.01,19.59,15.07,20.86,27.49,28.40,38.97,59.24,84.95,135.42,228.04,319.34,512.89,713.93,910.66,1403.08
1939,46.94,296.81,47.83,18.50,7.09,9.19,11.96,16.91,18.95,14.30,19.96,22.88,27.83,37.41,56.77,78.71,140.17,239.83,345.16,565.56,804.07,955.45,2176.48
1940,59.65,319.58,57.52,19.27,13.45,14.75,11.01,13.87,17.58,17.19,22.98,30.23,34.65,54.03,74.81,121.82,205.60,334.76,427.66,667.44,1023.86,1308.57,2535.32
1941,59.83,281.91,45.58,15.63,10.73,12.74,13.25,17.21,19.86,24.25,29.80,39.30,45.33,59.89,81.82,130.83,194.21,328.38,401.43,602.96,889.88,943.19,1630.52
