"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,241.21,1699.00,233.03,76.18,51.73,138.70,244.77,246.43,265.66,289.41,325.58,320.96,290.89,246.47,214.74,171.65,137.41,115.43,118.48,136.92,227.96,178.19,30.42
1926,256.30,2261.85,234.68,87.21,52.58,148.41,263.71,255.36,262.40,298.40,318.05,322.23,301.86,258.50,213.98,193.92,148.03,136.87,109.43,123.48,137.77,48.25,83.49
1927,261.04,1816.19,238.25,88.53,57.73,162.49,270.93,280.13,292.39,297.79,328.24,331.72,316.27,267.45,238.08,198.67,164.94,162.16,119.19,145.36,179.21,326.97,3.93
1928,260.45,2345.20,244.06,84.61,57.64,149.46,263.96,263.80,263.46,290.58,317.41,319.79,295.02,262.07,221.63,210.24,163.76,154.59,134.40,103.54,222.61,187.65,162.06
1929,260.65,2208.97,218.50,82.75,54.39,152.44,256.04,268.36,270.17,291.98,323.20,331.85,314.62,275.00,229.91,204.30,164.89,156.56,135.16,149.57,167.18,61.76,18.45
1930,244.77,1523.72,192.00,81.33,53.03,138.11,240.04,253.22,267.64,297.94,315.74,341.59,320.58,280.01,235.59,201.21,120.89,184.27,93.78,141.90,189.59,214.80,387.75
1931,234.68,1344.51,166.95,69.89,53.09,148.89,232.47,244.67,260.60,287.55,303.25,320.33,309.78,279.98,226.22,199.93,122.72,190.63,98.99,155.73,224.20,248.17,491.69
1932,225.14,1444.76,166.50,70.06,49.33,130.42,221.35,225.65,241.61,277.25,280.31,294.81,301.41,264.74,230.33,183.66,121.23,191.88,98.05,149.84,201.39,231.38,283.91
1933,215.41,1286.81,152.25,65.17,47.55,120.34,192.59,209.82,232.99,250.54,288.88,300.48,294.56,271.54,229.00,186.14,116.24,182.53,91.84,139.40,197.66,251.51,197.54
1934,210.40,1178.98,153.24,62.00,41.32,106.04,189.02,202.91,229.95,261.17,287.08,292.52,289.73,273.48,225.43,175.35,117.06,186.91,88.40,132.05,183.89,269.80,166.93
1935,203.27,1007.98,124.81,57.71,36.58,86.59,190.13,196.83,233.16,256.64,289.93,302.93,288.03,260.67,222.76,174.96,116.27,180.29,91.60,133.75,198.15,261.83,785.51
1936,196.14,971.71,124.66,52.37,35.07,83.23,181.48,194.86,222.91,255.63,280.01,283.21,277.56,244.51,220.43,173.72,111.05,171.24,96.79,140.98,216.37,248.90,478.77
1937,195.25,978.73,112.76,63.32,38.93,94.25,182.61,204.98,235.47,269.06,262.87,279.90,263.13,234.51,218.60,155.52,94.75,183.46,71.53,102.80,172.95,186.44,436.18
1938,197.04,906.87,101.28,61.61,35.41,89.02,198.24,208.96,232.95,292.15,275.03,279.19,254.75,234.36,206.63,147.70,103.84,217.28,114.92,172.36,266.26,448.45,974.28
1939,187.74,903.79,91.21,51.44,26.09,88.98,182.85,187.76,218.45,267.71,271.57,268.88,250.17,220.40,194.07,142.78,108.42,224.46,135.93,207.76,327.32,506.12,1625.62
1940,235.61,1766.02,150.86,61.95,41.64,101.46,148.43,220.63,217.48,270.91,292.23,316.91,334.75,308.22,278.75,243.36,169.59,270.06,159.14,232.77,371.41,557.51,1046.72
1941,259.65,1370.63,154.26,69.54,44.14,114.87,181.50,249.59,256.48,308.03,346.23,367.58,395.71,364.60,322.32,272.45,180.74,295.07,159.88,225.01,338.99,408.94,683.98
1942,254.37,1566.29,162.34,71.68,47.60,120.33,212.24,227.19,241.85,265.81,315.53,336.94,341.47,343.02,320.95,307.74,201.27,328.11,174.29,240.85,367.17,451.97,1044.19
1943,243.15,1626.44,160.73,69.67,46.85,104.69,195.74,266.37,228.63,243.83,281.10,300.06,306.16,308.99,312.17,295.76,208.68,334.77,185.10,253.83,378.17,450.19,1661.53
1944,214.64,1413.51,158.83,57.33,41.69,87.75,171.46,238.01,194.85,211.93,235.97,252.13,264.11,289.97,278.64,279.88,195.46,312.20,159.54,233.19,328.60,421.46,1288.38
1945,219.07,2662.54,206.24,59.93,35.67,81.37,178.98,209.28,181.70,189.16,208.68,223.50,241.10,240.65,241.71,241.14,166.36,267.35,143.13,216.01,295.41,456.22,1283.64
1946,149.96,1364.41,136.11,46.98,25.46,56.21,121.10,140.25,128.82,128.17,148.38,164.90,171.54,185.26,191.31,184.08,140.72,227.58,112.67,173.27,226.26,423.26,1599.18
1947,137.37,1327.82,92.31,30.09,21.56,45.01,95.84,121.21,118.06,118.02,133.58,161.33,172.88,177.73,184.38,187.77,139.30,221.13,104.91,160.70,217.70,376.14,1020.15
1948,128.11,940.74,77.26,20.84,13.98,32.56,75.72,100.60,105.69,114.21,136.85,169.07,177.60,193.37,198.41,204.88,146.78,230.07,106.71,159.18,217.98,371.66,1244.10
1949,120.98,1083.34,84.60,20.77,14.68,26.39,58.36,79.45,88.63,99.75,121.24,147.56,169.48,177.54,196.25,193.34,143.91,230.38,115.36,173.83,244.25,354.04,889.63
1950,102.00,597.80,47.88,16.91,11.51,18.82,44.43,69.51,75.23,89.10,113.41,139.64,160.33,176.98,176.51,181.81,131.58,206.26,91.45,139.18,200.15,246.27,3553.29
1951,103.95,482.28,51.95,13.99,8.40,17.80,41.91,66.40,78.37,98.18,124.78,152.09,173.70,186.52,181.01,175.17,132.81,215.36,103.70,160.35,222.65,237.64,2858.29
1952,78.13,344.81,42.51,11.45,5.56,12.51,26.25,38.33,50.18,70.48,85.06,106.62,130.76,143.53,150.62,155.03,152.21,138.51,120.07,123.73,153.41,175.93,821.78
