"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,20.43,1236.75,2.66,0,0,0,0.58,0.01,1.64,0.26,1.19,0,0.11,0.68,1.28,1.06,0.30,0.38,1.64,0.27,0.67,0.17,452.67
1926,22.98,1397.68,3.07,0.14,0,0,0.43,0.01,1.29,0.25,1.93,0,0.12,0.89,0.85,0.66,0.33,0.43,0.30,0.35,0.34,0.14,591.47
1927,23.55,1433.35,2.45,0,0,0.06,0.58,0.01,1.54,0.26,1.82,0,0.13,0.98,1.38,0.49,0.42,0.54,0.31,0.47,0.23,0.28,175.34
1928,24.37,1481.98,1.89,0.06,0.09,0.11,0.47,0.01,1.29,0.27,1.54,0,0.13,1.04,1.48,1.21,0.40,0.53,1.19,0.31,0.78,1.76,717.24
1929,25.10,1523.71,1.69,0,0.19,0.11,0.57,0.01,1.30,0.29,2.01,0,0.14,1.78,1.16,0.50,0.40,0.56,1.98,0.41,0.42,0.20,630.08
1930,21.49,1305.62,1.27,0.05,0,0,0.23,0.01,1.00,0.26,2.04,0,0.14,1.18,1.57,0.69,0.30,0.48,1.04,1.59,2.12,2.36,737.72
1931,20.47,1250.57,0.23,0,0,0,0.35,0.01,0.67,0.24,1.13,0,0.14,1.85,1.34,0.80,0.33,0.53,1.04,1.65,2.37,2.58,1055.63
1932,23.68,1452.21,0.32,0,0,0.15,0.50,0.01,0.67,0.17,1.24,0,0.16,1.97,0.81,1.47,0.34,0.55,0.21,0.32,0.43,0.49,571.64
1933,21.57,1324.61,0.30,0,0,0.09,0.05,0.01,0.54,0.34,1.77,0,0.17,1.18,0.66,0.27,0.35,0.55,0.65,1.00,1.41,1.75,463.51
1934,24.60,1508.59,0.14,0.11,0,0.09,0.11,0.01,0.45,0.29,1.95,0,0.16,1.54,0.88,0.94,0.33,0.53,1.04,1.58,2.21,3.14,343.59
1935,24.47,1489.54,0.08,0.06,0,0.16,0.15,0.01,0.41,0.33,1.95,0,0.14,2.16,1.43,1.07,0.34,0.54,1.03,1.53,2.28,2.92,1707.72
1936,24.31,1492.27,0.25,0,0,0,0.17,0.01,0.56,0.27,1.19,0,0.14,1.21,1.47,0.41,0.35,0.55,0.18,0.26,0.40,0.45,943.29
1937,21.16,1296.73,0.07,0,0,0,0.02,0.02,0.32,0.24,0.57,0,0.15,0.94,3.12,0,0.30,0.35,0.26,0.37,0.63,0.67,1066.03
1938,20.55,1249.49,0.10,0,0,0,0.16,0.02,0.32,0.19,0.07,0,0.15,2.59,2.19,0,0.25,0.33,6.32,9.35,14.00,19.39,786.54
1939,19.14,1159.31,0.18,0,0,0,0.18,0.02,0.27,0.19,0.06,0,0.11,2.52,1.15,0,0.23,0.37,6.31,9.52,14.69,19.29,1350.67
