"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1.39,16.59,4.12,1.15,0.76,1.61,1.61,0.40,0.56,0.48,0.22,0.53,0.63,0.56,0.93,1.12,1.73,3.86,4.20,3.89,3.74,3.54,0
1926,1.51,19.14,4.43,1.11,0.77,1.73,1.54,0.45,0.59,0.47,0.22,0.51,0.69,0.57,0.93,1.22,1.85,4.40,4.40,4.45,7.26,3.02,6.47
1927,1.28,19.09,3.43,0.86,0.63,1.37,1.26,0.68,0.92,0.81,0.39,0.93,0.80,0.75,1.33,0.37,0.55,0,0,0,0,0,0
1928,1.64,26.91,4.17,1.35,1.03,2.00,1.91,0.68,0.87,0.64,0.41,0.85,0.57,0.34,0.96,1.13,1.36,1.90,1.93,2.16,1.99,1.65,4.43
1929,1.67,27.52,4.54,1.32,1.05,2.24,2.11,0.46,0.60,0.50,0.32,0.57,0.38,0.25,0.62,1.70,2.04,2.89,3.29,3.20,2.98,2.43,0
1930,1.53,28.33,2.84,1.03,0.77,1.64,1.55,0.42,0.62,0.48,0.35,0.75,0.38,0.28,0.72,3.01,3.22,2.45,2.11,3.18,4.28,4.76,9.40
1931,1.57,27.13,3.08,1.07,0.83,1.43,1.62,0.65,0.81,0.73,0.40,0.91,0.37,0.24,0.67,1.89,2.30,4.51,3.61,5.68,8.22,8.87,19.44
1932,1.43,32.94,3.25,0.70,0.55,1.13,1.26,0.25,0.37,0.31,0.17,0.47,0.30,0.21,0.65,1.33,2.09,4.84,3.24,4.97,6.74,7.58,10.37
1933,1.34,33.55,3.12,0.55,0.49,0.79,0.91,0.27,0.38,0.34,0.18,0.46,0.39,0.25,0.71,1.19,1.93,4.28,3.12,4.71,6.74,8.28,7.31
1934,1.24,36.50,2.90,0.47,0.39,0.72,0.77,0.24,0.36,0.27,0.16,0.34,0.49,0.34,0.88,0.96,1.55,1.15,0.78,1.15,1.62,2.31,1.60
1935,1.40,41.55,2.59,0.38,0.33,0.66,0.69,0.25,0.40,0.34,0.18,0.41,0.52,0.39,0.93,1.37,1.94,3.12,2.15,3.15,4.72,6.05,20.42
1936,1.40,48.90,2.03,0.32,0.28,0.55,0.68,0.17,0.26,0.19,0.14,0.28,0.35,0.31,0.71,1.27,1.88,2.98,2.50,3.62,5.60,6.30,13.87
1937,1.54,67.44,2.04,0.21,0.25,0,0.57,0.13,0.14,0.12,0.05,0.30,0,0.31,0.35,0.72,2.24,2.11,1.72,2.49,4.23,4.40,11.65
1938,1.67,74.42,1.55,0.04,0.12,0.25,1.21,0.43,0.10,0.12,0.35,0.61,0,0.15,0.72,0.22,1.54,4.37,0,0,0,0,0
1939,1.93,90.75,2.08,0.05,0.13,0.24,0.92,0.45,0.11,0.12,0.35,0.60,0,0.14,1.04,0,0.73,2.17,0.89,1.35,2.06,2.71,6.43
1940,2.23,111.38,2.09,0.04,0.04,0.09,0.15,0.20,0.29,0.22,0.20,0.40,0.37,0.37,0.67,0,0,3.51,3.11,4.57,7.37,10.66,24.14
1941,2.21,109.50,3.50,0.07,0.07,0.15,0.18,0.16,0.23,0.21,0.10,0.33,0.42,0.36,0.64,0,0,1.39,1.43,2.01,3.05,3.57,6.83
1942,2.23,120.05,2.69,0.07,0.06,0.16,0.17,0.11,0.18,0.18,0.08,0.26,0.17,0.23,0.29,0.19,0.32,0,0,0,0,0,0
1943,1.64,89.85,1.25,0.02,0.04,0.11,0.07,0.04,0.25,0.15,0.09,0.23,0.22,0.34,0.52,0.34,0.06,0.09,0.74,1.00,1.44,1.67,6.90
1944,1.70,87.85,1.75,0.12,0.12,0.28,0.11,0.09,0.07,0.17,0.05,0.18,0.14,0.48,0.32,0.34,0.56,0.89,0.26,0.38,0.54,0.68,2.38
1945,2.94,153.22,2.79,0.11,0.04,0.17,0.36,0.25,0.20,0.29,0.17,0.26,0,0.29,1.06,1.15,0.72,1.12,1.67,2.54,3.47,5.32,16.72
1946,2.88,153.72,1.79,0.05,0.15,0.31,0.21,0.09,0.18,0.10,0.05,0.34,0.34,0.44,0.38,0.89,0.52,0.81,2.18,3.46,4.52,8.36,34.85
1947,2.75,146.96,3.67,0.03,0.08,0.14,0.11,0.11,0.05,0.09,0.05,0.28,0.12,0.30,0.29,0.57,0.38,0.58,0.65,1.00,1.36,2.33,7.12
1948,2.02,114.16,1.84,0.08,0.04,0.04,0,0.05,0.14,0.09,0.03,0.11,0.12,0.03,0.22,0.35,0.31,0.44,0.63,0.94,1.30,2.19,7.96
1949,1.99,107.44,2.15,0.05,0.04,0.10,0.11,0.14,0.06,0.06,0.03,0.06,0.11,0.08,0.37,0.45,0.29,0.45,1.81,2.78,3.92,5.58,15.69
1950,1.61,83.18,1.57,0.08,0.07,0.19,0.06,0.06,0.09,0.07,0.07,0.13,0.07,0.11,0.59,0.45,0.60,0.91,1.04,1.57,2.28,2.76,44.54
1951,1.48,73.51,1.57,0,0,0.19,0.18,0.12,0.16,0.20,0,0.14,0.29,0.11,0.72,0.42,0.38,0.63,1.05,1.61,2.26,2.37,31.59
1952,1.37,64.04,1.68,0.15,0.15,0,0.12,0.06,0.07,0.18,0,0.07,0.07,0.38,0.24,0.28,0.70,0.97,2.16,3.22,0,58.62,273.84
1953,1.02,45.35,1.65,0.12,0.07,0.07,0.12,0.12,0,0,0.27,0.33,0.14,0.54,0.47,0.14,0.36,1.22,2.04,1.60,0,0,0
1954,1.10,50.36,1.04,0.06,0.23,0.07,0.06,0.18,0.18,0,0.26,0.20,0.21,0.37,0.36,0.28,1.08,1.48,0.49,0,0,0,0
1955,0.99,44.83,1.57,0.11,0.07,0,0.06,0.12,0.18,0,0.13,0.07,0.21,0.10,0.70,1.16,0.59,0.50,1.42,0,0,0,0
1956,0.95,43.05,0.94,0.16,0,0.07,0,0,0.12,0.16,0.32,0.21,0.21,0.41,0.11,0.28,1.03,1.51,2.74,0,0,0,0
1957,0.78,35.38,0.93,0.14,0.06,0,0.05,0.18,0.18,0,0.27,0.07,0.20,0.32,0.41,0.28,0.88,1.03,0.49,4.20,0,0,0
1958,0.73,28.75,0.86,0.11,0,0.28,0.07,0.06,0.12,0,0.20,0.12,0.14,0.15,0.41,0.14,0.51,1.49,1.33,5.24,0,0,0
1959,0.61,24.11,0.80,0.10,0.05,0.21,0.07,0.24,0.06,0.06,0.22,0.14,0.21,0.14,0.39,0.28,0.33,0.51,2.20,0,6.83,0,0
1960,0.46,16.74,0.61,0,0,0,0.07,0,0.06,0,0.09,0.22,0.21,0.15,0.18,0.27,1.18,1.25,1.34,0,0,0,0
1961,0.46,13.98,0.92,0.15,0,0.06,0.07,0.05,0.06,0.06,0,0.16,0.07,0.14,0.26,0.52,0.53,1.48,4.88,2.22,0,0,0
1962,0.47,18.80,0.42,0.05,0,0.05,0,0,0,0.06,0.14,0,0,0.14,0.16,0.49,0,1.46,2.64,1.08,4.64,6.49,1.92
1963,0.33,9.59,0.42,0.05,0.05,0.10,0.14,0.12,0.06,0.06,0,0,0.21,0.21,0.24,0.36,1.18,1.20,1.32,0,0,0,0
