"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,2324.12,11361.21,1093.40,277.02,189.56,372.89,604.33,602.21,687.01,826.13,1072.91,1351.93,1768.22,2410.61,3478.37,5056.72,7774.72,12091.46,19297.81,29069.76,40851.35,48981.42,80002.76
1926,2310.71,12100.99,1106.65,286.62,186.50,379.92,611.39,591.41,675.99,822.68,1050.89,1323.23,1729.28,2366.36,3417.61,4966.86,7690.69,12117.29,19269.29,28045.13,39829.64,52258.66,72502.03
1927,2189.67,10400.88,989.99,263.76,175.05,358.59,555.29,565.48,645.72,746.93,952.26,1206.46,1605.94,2169.90,3193.80,4723.86,7431.90,11868.52,19327.99,28674.93,39568.51,44616.72,84002.08
1928,2163.48,11536.97,1006.95,256.35,184.72,352.14,540.55,560.70,609.32,738.89,950.96,1195.54,1593.96,2179.98,3221.03,4719.31,7272.81,11446.34,17935.29,26849.82,39121.71,42716.14,90003.78
1929,2383.02,11891.69,1036.00,258.59,177.66,365.95,568.04,584.79,657.14,800.94,1031.03,1338.19,1782.75,2386.42,3504.11,5179.64,7999.40,12964.56,20828.01,30659.90,44666.74,45357.36,125002.85
1930,2092.15,9881.53,849.76,239.23,164.64,338.56,517.59,552.02,636.36,780.99,980.77,1284.52,1679.85,2252.51,3225.43,4728.21,7128.95,11055.67,16668.98,25399.19,34040.56,37627.62,74286.93
1931,2191.60,9419.08,831.19,227.24,162.08,348.14,528.35,544.06,613.55,757.35,949.69,1229.50,1671.82,2312.79,3286.18,4852.34,7566.23,12062.26,18480.39,29259.69,42254.88,45540.36,100008.13
1932,2117.46,9748.24,822.94,223.86,165.59,328.18,512.25,515.33,595.89,727.14,929.95,1219.97,1648.63,2279.12,3218.23,4772.33,7286.37,11579.12,17773.92,27370.53,36941.39,41336.24,56670.53
1933,2141.66,9194.32,756.59,220.16,160.73,319.76,461.33,498.18,598.70,722.28,952.14,1267.67,1669.19,2333.55,3257.64,4874.48,7438.00,11597.66,18381.44,28069.95,39904.32,49213.16,43334.33
1934,2067.63,8944.45,759.65,215.45,147.45,285.87,459.50,497.18,592.69,761.94,950.99,1240.05,1675.72,2300.15,3225.52,4754.16,7109.88,11224.33,16956.61,25541.04,35705.36,50760.55,35001.89
1935,2156.43,8543.29,671.21,199.38,144.34,273.17,475.83,486.14,619.92,777.93,1005.86,1301.86,1746.30,2402.95,3380.01,4885.18,7488.17,11574.51,18266.17,27060.15,40292.70,51375.58,173335.49
1936,2102.63,8514.62,682.68,189.26,135.76,250.10,450.10,477.97,594.10,750.00,983.61,1247.95,1699.58,2300.20,3315.65,4811.79,7378.13,11408.46,18024.63,26376.28,40580.49,45402.51,100000.68
1937,2065.50,8288.57,678.79,186.31,134.09,257.17,435.49,486.74,602.76,749.18,957.48,1248.46,1686.76,2287.67,3255.23,4757.91,7174.90,11011.08,17290.92,25045.86,42428.17,44065.02,108006.17
1938,2117.76,8356.66,641.94,181.15,131.79,253.98,461.66,491.45,601.09,785.11,1008.96,1265.07,1735.03,2385.30,3319.59,4778.55,7402.72,11307.73,18035.48,27106.55,39968.27,55327.09,80007.97
