"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1.00,43.94,2.34,0.26,0.36,0.43,0.14,0.58,0.26,0.26,0.19,0.06,0.11,0.10,0.01,0.07,0.13,0.18,0.07,0.08,0.11,0.06,0.20
1926,1.09,48.88,2.54,0.27,0.38,0.47,0.14,0.58,0.28,0.27,0.21,0.07,0.11,0.11,0.01,0.08,0.13,0.19,0.07,0.08,0.09,0.06,0.45
1927,0.97,37.39,2.94,0.49,0.45,0.50,0.18,0.55,0.26,0.24,0.20,0.07,0.08,0.10,0.02,0.08,0.14,0.11,0.04,0.04,0.06,0.03,0.04
1928,1.19,42.73,4.99,0.44,0.44,0.54,0.17,0.58,0.25,0.25,0.19,0.06,0.11,0.12,0.03,0.05,0.12,0.16,0.09,0.10,0.09,0.23,0.20
1929,1.53,73.05,2.33,0.43,0.50,0.49,0.17,0.77,0.31,0.32,0.26,0.07,0.15,0.15,0.04,0.06,0.13,0.26,0.12,0.16,0.18,0.13,0.77
1930,1.43,70.57,2.12,0.30,0.32,0.33,0.13,0.63,0.30,0.33,0.24,0.09,0.21,0.21,0.04,0.09,0.11,0.22,0.06,0.10,0.15,0.16,0.28
1931,0.92,48.33,0.73,0.19,0.16,0.19,0.06,0.47,0.23,0.24,0.16,0.07,0.23,0.19,0.04,0.12,0.16,0.11,0.04,0.08,0.10,0.11,0.28
1932,1.12,58.67,0.99,0.19,0.22,0.27,0.08,0.43,0.20,0.26,0.18,0.06,0.20,0.18,0.04,0.17,0.22,0.11,0.07,0.12,0.18,0.20,0.45
1933,0.97,50.55,1.15,0.12,0.18,0.23,0.05,0.37,0.19,0.20,0.18,0.07,0.16,0.16,0.04,0.15,0.20,0.09,0.07,0.11,0.17,0.20,0.37
1934,1.04,55.38,0.86,0.13,0.20,0.24,0.06,0.38,0.22,0.23,0.19,0.07,0.15,0.15,0.04,0.13,0.15,0.13,0.06,0.10,0.14,0.18,0.19
1935,0.88,44.80,0.91,0.04,0.10,0.19,0.04,0.44,0.22,0.24,0.17,0.08,0.18,0.15,0.04,0.11,0.15,0.19,0.08,0.13,0.21,0.26,0.35
1936,0.87,43.79,0.95,0.11,0.19,0.21,0.06,0.36,0.19,0.24,0.19,0.06,0.15,0.16,0.04,0.09,0.12,0.21,0.11,0.18,0.27,0.34,0.57
1937,1.17,63.44,0.90,0.04,0.10,0.19,0.12,0.35,0.15,0.20,0.21,0.05,0.11,0.20,0.03,0.10,0.13,0.21,0.15,0.24,0.34,0.48,0.84
1938,1.68,95.79,0.87,0.04,0.12,0.35,0.13,0.29,0.18,0.23,0.23,0.04,0.16,0.21,0.04,0.11,0.11,0.26,0.16,0.27,0.38,0.55,0.87
