"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,181.90,1385.51,242.88,82.96,76.86,218.32,283.68,253.00,206.35,182.92,167.59,135.70,119.70,110.71,110.70,99.41,101.61,92.86,96.94,112.70,105.56,374.27,99.24
1926,197.54,1806.76,248.57,91.26,86.74,238.57,304.51,263.13,222.74,194.18,171.45,143.11,126.56,117.04,109.27,99.49,102.61,105.92,95.47,118.11,119.89,152.33,187.96
1927,201.23,1488.96,242.46,95.71,96.03,244.38,328.60,278.37,235.77,202.82,178.04,146.07,131.93,125.05,117.68,114.34,114.15,117.24,106.26,128.83,137.31,169.07,1463.12
1928,203.63,1905.13,251.61,97.62,93.90,248.75,318.32,270.32,227.28,199.08,165.04,138.50,122.52,117.90,116.64,112.00,111.10,112.33,109.16,119.55,150.30,116.41,140.74
1929,199.10,1809.47,216.42,88.87,81.54,231.82,317.84,272.10,226.22,197.15,171.97,151.36,123.44,122.63,117.28,117.28,117.55,114.85,108.98,116.86,93.57,97.29,286.33
1930,177.52,1289.57,193.44,83.92,75.53,211.53,287.91,252.49,208.50,183.99,159.56,141.16,120.88,118.76,104.47,107.48,82.39,131.50,72.92,110.84,146.10,165.25,264.89
1931,168.48,1080.04,176.17,73.39,71.43,212.93,280.39,243.77,199.77,172.81,157.34,140.05,115.70,109.49,101.00,108.24,77.91,125.40,85.33,134.95,185.71,207.57,463.45
1932,159.45,1153.69,176.22,71.74,68.87,189.95,244.09,221.75,182.31,163.89,148.64,126.32,112.76,110.04,97.98,98.66,81.74,130.18,73.57,116.50,163.86,193.04,391.42
1933,146.92,1020.12,156.53,68.20,57.96,168.48,220.91,207.46,174.68,150.41,137.12,119.80,104.12,106.77,97.47,95.62,80.11,129.71,68.59,102.40,155.65,190.43,318.61
1934,138.52,900.78,153.95,61.57,59.13,149.29,210.43,197.14,160.92,146.82,126.81,113.01,101.54,98.67,94.72,92.12,80.48,129.78,73.20,111.14,155.03,208.38,208.65
1935,128.71,776.48,119.08,53.79,51.70,131.59,202.86,188.37,157.82,142.06,121.83,115.25,99.17,89.04,91.77,93.74,72.75,117.75,70.01,105.60,157.78,190.56,253.12
