"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1806.73,8754.77,1009.85,277.08,206.32,431.47,565.79,558.09,560.78,594.62,715.56,862.87,1171.53,1563.77,2367.20,3622.85,5953.70,9814.36,16108.64,23972.02,35412.46,45988.64,95718.95
1926,1809.22,9497.03,1047.09,280.59,213.58,443.79,579.98,560.87,565.18,604.41,720.99,883.05,1165.52,1570.80,2321.67,3564.26,5865.72,9759.79,15913.05,24196.01,33083.75,38857.30,125001.18
1927,1736.04,8224.80,929.47,258.84,205.55,406.89,555.39,531.68,536.33,565.56,656.19,808.59,1095.66,1451.75,2244.08,3427.69,5719.90,9595.76,16041.85,24202.37,34040.68,43902.18,118574.03
1928,1714.68,9077.73,945.53,254.42,205.75,413.27,539.36,528.63,518.30,550.42,639.74,785.95,1060.32,1454.27,2210.12,3418.87,5612.13,9289.94,15069.99,23021.65,33791.54,42465.81,148333.54
1929,1876.01,9330.70,939.43,261.69,196.86,397.64,547.47,538.58,524.67,585.40,688.89,855.34,1148.56,1541.58,2392.86,3791.94,6307.68,10579.10,17539.26,26459.95,39526.05,45125.01,147272.76
1930,1574.96,7807.44,767.23,225.73,174.99,363.92,492.66,489.42,484.25,536.13,634.45,809.31,1046.25,1456.50,2125.65,3321.40,5240.14,8591.58,13687.38,21007.92,28356.80,32054.27,54167.15
1931,1678.61,7240.17,771.81,220.64,175.10,366.66,493.71,489.30,488.43,532.73,641.39,814.83,1059.55,1484.60,2159.24,3491.19,5698.96,9434.73,15571.42,24812.21,34887.77,39028.13,93340.19
1932,1617.53,7432.28,762.47,213.41,167.16,345.98,453.13,453.01,461.07,513.66,631.66,795.53,1043.46,1456.39,2123.90,3383.95,5515.46,9006.42,14485.02,23130.42,33160.36,38964.50,83753.53
1933,1613.18,7150.92,677.17,206.49,156.19,331.75,422.99,442.33,452.45,501.91,616.47,803.09,1040.09,1479.43,2148.00,3380.01,5494.50,9048.89,15066.88,22712.75,35162.44,42688.41,76365.88
1934,1506.79,6754.40,673.76,198.78,153.17,280.54,408.98,420.06,427.84,481.34,573.47,755.85,1006.87,1384.81,2061.86,3185.17,5170.22,8531.29,13745.50,21071.00,29882.02,39960.38,42668.00
1935,1559.65,6443.18,600.47,180.60,146.31,265.64,404.78,422.27,434.87,496.27,606.00,799.10,1074.00,1449.46,2144.62,3334.11,5416.30,8933.75,14464.89,22018.12,33457.09,40284.09,56667.19
1936,1516.55,6438.47,616.84,172.25,138.19,245.95,386.36,388.80,408.52,461.85,585.31,747.11,1037.40,1378.56,2100.35,3200.08,5280.55,8731.07,14044.02,21710.57,32614.50,41945.20,68667.45
1937,1472.26,6352.93,578.78,167.86,133.16,252.08,392.69,408.51,398.74,454.09,553.40,730.39,1003.92,1343.97,2021.90,3100.04,5132.28,8439.70,13487.77,21020.07,30306.44,43399.66,72002.27
1938,1511.88,6406.15,556.16,166.12,129.62,233.24,399.32,394.87,403.64,444.77,561.14,751.27,1008.33,1364.02,2079.62,3157.17,5279.98,8730.52,14152.34,22852.11,31848.20,45014.66,70409.50
1939,1506.70,6192.93,495.24,149.82,117.33,222.66,380.40,368.63,379.54,425.82,529.21,729.26,971.74,1344.62,2036.31,3179.63,5304.20,9001.61,14611.93,23395.23,33150.93,49350.13,60435.06
1940,1819.08,8497.98,701.60,199.92,154.14,264.79,397.91,417.56,444.26,500.80,603.90,810.35,1090.46,1550.73,2347.77,3781.14,6226.02,10668.69,17891.91,28529.30,44571.82,58386.96,92264.87
1941,1570.58,7036.05,557.28,169.93,132.75,243.16,349.86,383.33,397.77,451.29,572.78,762.61,1033.91,1421.20,2078.99,3324.59,5363.77,9170.31,15371.15,23745.79,35281.44,43231.09,77152.40
1942,1539.26,7273.00,525.92,163.17,129.76,241.62,347.73,382.26,397.93,425.44,517.05,682.92,946.49,1334.29,2006.62,3207.74,5278.85,9241.63,15682.84,23395.20,35500.84,42155.62,68583.96
1943,1502.09,7616.68,560.44,180.85,138.15,236.42,345.71,398.35,392.19,417.83,502.65,642.26,889.87,1253.96,1876.68,3101.04,5164.10,8842.26,15579.35,22602.90,34572.08,38804.53,65120.88
1944,1699.39,7619.88,642.80,217.75,193.56,320.29,447.55,504.61,496.02,511.75,603.92,758.38,1014.75,1385.59,2108.27,3413.14,5750.33,9854.20,17346.02,26224.83,38097.56,47226.17,73804.50
1945,1514.55,10910.63,719.17,178.74,121.01,202.41,304.37,348.47,359.49,389.40,450.96,595.29,831.93,1180.36,1823.39,3030.68,5081.31,8676.27,14895.33,23204.05,33023.02,37528.85,53307.89
1946,1243.52,7511.37,464.73,128.29,93.81,157.68,239.99,281.00,293.71,324.73,373.74,480.06,707.98,1040.03,1596.93,2581.84,4322.85,7357.01,12379.73,19641.94,28879.08,32721.06,36473.07
1947,1174.06,6593.19,352.96,96.10,72.33,133.87,209.47,237.99,261.76,282.82,342.60,479.43,686.97,972.58,1534.77,2463.29,4215.05,7163.65,12129.87,18934.40,27811.56,32930.78,43156.84
1948,1074.29,5025.22,282.24,75.48,54.69,108.26,171.25,203.58,236.50,261.82,337.91,471.58,663.52,957.75,1471.34,2348.90,3981.75,6607.82,11203.67,17380.31,25005.86,30884.83,46844.61
1949,1212.76,5479.81,310.56,75.58,61.13,102.71,147.27,187.53,224.15,260.89,353.88,479.12,705.14,1015.78,1567.48,2594.14,4541.38,7767.09,13408.01,20982.03,31517.94,39538.89,59780.98
1950,1097.84,4637.31,217.11,58.30,51.33,83.73,130.67,160.58,196.29,251.74,323.86,469.80,676.62,972.25,1480.27,2417.89,4123.25,7060.34,11838.24,18844.14,28202.97,31102.53,94931.20
1951,1156.41,4483.72,222.53,55.35,48.40,77.54,122.16,160.83,194.20,249.89,321.74,476.13,699.65,1014.07,1544.78,2475.18,4296.31,7587.68,12983.33,20831.37,32726.03,32182.01,87644.72
1952,1047.38,4093.07,218.53,47.65,38.56,65.68,98.33,127.84,163.91,222.58,307.44,442.51,663.03,937.32,1425.86,2325.89,3980.46,6802.06,11516.78,19047.45,27884.28,29308.93,53626.67
1953,1104.28,3662.77,176.37,46.86,36.37,57.81,92.62,121.43,160.11,229.53,304.40,449.10,678.80,972.88,1464.65,2379.64,4182.15,7431.52,12749.34,21303.34,31521.05,33692.53,73346.99
1954,1004.12,3638.36,169.97,41.29,32.97,55.10,82.46,108.75,148.15,207.94,286.50,423.65,625.59,915.71,1381.39,2219.89,3749.05,6660.84,11178.07,18409.23,27021.06,37821.01,54997.33
1955,997.17,3419.16,170.28,38.61,28.55,49.45,75.33,104.48,136.29,193.01,279.64,417.82,614.05,886.44,1357.24,2202.29,3738.26,6673.33,11396.57,18850.87,27981.85,36528.77,43800.65
1956,1018.92,3186.66,139.21,39.00,29.98,49.32,69.46,97.14,136.20,195.84,274.53,414.94,613.45,876.81,1351.96,2205.61,3841.97,6887.95,11933.08,19920.44,30204.19,38817.98,64915.03
1957,968.46,3008.11,147.50,39.48,32.63,52.75,70.79,95.24,126.63,182.00,268.91,390.58,586.40,842.26,1319.80,2148.18,3732.69,6486.55,11107.45,18207.39,29431.11,33454.69,61180.13
1958,902.52,2781.28,131.69,35.67,28.04,45.05,64.87,83.62,113.48,158.76,238.98,353.45,532.07,771.50,1206.31,1994.19,3432.31,6112.76,10729.10,17485.62,27858.23,31650.41,48293.28
1959,897.99,2625.60,128.05,41.69,29.37,43.28,72.16,82.82,111.05,161.35,246.91,346.63,531.65,780.21,1206.35,1969.86,3390.83,6079.82,10650.08,17191.03,27564.98,34258.68,60634.55
