"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,4.13,22.79,1.92,0.16,0.41,0.45,0.69,1.05,1.75,1.42,2.64,2.21,3.08,4.66,8.06,10.55,15.62,20.22,27.16,35.64,46.53,49.82,122.25
1926,4.07,26.58,2.24,0.16,0.45,0.51,0.79,1.09,1.81,1.54,2.85,2.27,2.90,4.53,7.73,10.23,14.73,19.27,24.56,32.27,36.10,43.86,121.82
1927,3.84,27.01,2.53,0.24,0.50,0.53,0.78,1.20,1.74,1.37,2.66,2.10,2.78,4.38,7.36,10.07,13.54,17.06,20.97,26.48,32.16,32.45,36.75
1928,3.85,28.91,2.95,0.44,0.66,0.77,1.19,1.14,1.59,1.36,2.81,2.03,2.60,4.21,7.16,9.98,13.67,15.79,18.67,24.65,28.35,35.95,62.13
1929,4.13,28.95,2.26,0.36,0.65,0.78,1.22,1.10,1.62,1.41,2.86,1.96,2.76,4.52,7.83,10.72,14.51,18.77,23.82,30.30,35.19,37.91,123.37
1930,3.89,27.66,3.34,0.46,0.39,0.77,0.95,0.91,1.28,1.51,2.88,2.03,3.13,5.08,7.42,8.63,10.32,16.91,19.58,31.24,41.14,46.79,61.84
1931,3.76,26.26,1.83,0.76,1.15,0.73,0.97,0.82,1.54,0.90,2.47,2.20,2.68,4.22,7.55,8.78,11.72,16.70,18.46,30.48,41.89,47.14,90.61
1932,3.77,21.53,1.34,0.39,0.44,0.78,1.41,0.54,1.48,1.78,2.18,2.56,3.45,4.37,6.58,9.52,11.68,17.17,20.69,34.20,47.96,56.70,98.42
1933,3.93,22.57,1.84,0.68,0.51,0.89,1.23,1.13,1.27,1.09,2.33,2.61,2.64,4.84,7.07,10.59,12.77,18.55,20.74,32.32,48.97,59.81,86.40
1934,4.01,22.28,1.85,0.42,0.53,0.39,0.63,0.87,1.62,1.28,2.68,2.38,3.65,5.02,7.58,10.98,12.63,20.91,21.30,33.81,46.91,63.08,54.12
1935,4.12,20.66,1.60,0.23,0.45,0.41,0.55,0.96,1.22,1.03,2.73,2.53,4.74,4.86,8.63,10.60,13.58,21.02,23.17,36.29,54.13,65.50,77.16
1936,3.85,20.60,1.17,0.18,0.22,0.26,0.38,0.84,1.23,1.34,2.90,2.73,3.00,4.30,7.07,10.51,12.28,19.62,24.66,39.22,57.81,74.77,102.48
1937,3.91,16.10,1.06,0.22,0.72,0.09,0.13,1.63,1.27,0.78,2.93,2.39,2.14,4.46,9.15,11.76,13.11,20.06,24.74,39.44,56.09,80.68,119.19
1938,4.08,22.37,0.73,0.37,1.23,0.16,0.24,1.59,1.40,0.43,2.19,2.11,2.56,3.77,10.45,11.17,12.82,20.64,28.01,46.02,63.30,89.65,125.15
1939,3.40,23.61,1.08,0.71,0.93,0.23,0.36,1.29,1.17,0.69,1.47,2.27,2.31,3.38,7.20,8.29,10.24,16.81,21.36,34.87,48.69,72.55,78.04
1940,3.44,33.80,1.75,0.29,0.33,0.38,0.44,0.56,0.69,1.13,1.75,1.84,1.82,3.61,6.32,7.50,12.73,18.28,18.79,31.71,47.80,63.24,67.93
1941,3.57,33.45,1.80,0.23,0.62,0.33,0.68,0.52,1.13,1.13,1.77,1.90,2.88,4.88,5.81,6.04,11.18,16.73,22.21,36.24,52.01,64.33,78.60
1942,3.55,31.80,1.42,0.35,0.20,0.24,0.56,0.38,0.87,0.92,2.18,1.48,2.44,4.73,6.02,8.81,11.04,19.41,21.56,34.26,49.93,59.97,62.73
1943,4.10,36.57,2.86,0.31,0.53,0.70,0.76,1.03,1.18,1.05,1.78,2.34,3.07,3.59,5.55,8.33,12.20,20.54,31.42,47.56,70.85,80.09,102.27
1944,3.98,41.23,1.48,0.16,0.23,0.51,0.91,0.22,1.41,1.12,1.36,1.53,2.71,4.34,5.54,8.60,12.06,20.25,30.67,48.68,68.55,85.70,96.58
