"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,49955,6824,3674,404,199,476,815,690,683,896,1278,1786,2276,2750,3780,4687,6115,5905,4589,1729,363,31,2
1926,52997,7136,3725,521,197,532,890,717,733,1038,1382,1870,2512,2855,3942,4813,6449,6566,4905,1809,358,48,2
1927,61653,8018,4010,633,191,572,906,760,850,1070,1410,1922,2578,3158,4523,5813,7524,8593,6067,2518,480,53,3
1928,54451,7686,3670,598,166,507,833,713,708,965,1275,1715,2386,2867,3917,5242,6554,7133,4978,2066,427,45,1
1929,69165,8873,4445,705,154,584,1116,918,1039,1263,1783,2369,3276,3825,4946,6541,8626,8967,6474,2683,520,53,3
1930,51310,7134,3214,559,148,402,709,676,804,933,1315,1645,2279,2912,3653,4882,7353,5923,4550,1818,356,43,3
1931,55982,7061,3385,548,178,368,824,690,866,1010,1304,1603,2215,3046,3610,5068,8455,7028,5775,2342,540,61,4
1932,49461,6840,3143,442,181,277,777,552,812,866,1073,1456,1871,2659,3229,4319,7478,5980,5159,1872,423,48,2
1933,51241,5920,2734,466,193,318,600,592,941,1076,1271,1777,2095,2914,3466,4462,7897,6214,5647,2094,504,58,1
1934,44165,5230,2628,410,182,178,639,512,774,1029,997,1350,1755,2439,3049,3923,6814,5516,4621,1686,389,44,1
1935,47351,5256,2278,412,197,280,699,535,837,1181,1150,1531,1852,2561,3354,4139,7401,6058,5130,1975,469,52,3
1936,44645,5142,2274,369,174,245,498,469,777,1143,1166,1420,1741,2217,3209,3821,6956,5747,4876,1921,428,48,2
1937,41519,4321,1768,341,106,281,324,436,675,1043,1080,1404,1835,2245,3110,3607,6883,5184,4525,1872,427,51,3
1938,41295,4204,1420,381,92,309,271,395,834,1043,1076,1366,1758,2133,3002,3463,6832,5535,4713,1976,434,57,2
1939,38877,3825,1259,293,87,257,210,321,699,929,992,1225,1646,1928,2887,3139,6399,5559,4757,1964,444,54,2
1940,54169,6209,2424,306,165,272,221,289,498,849,1275,1408,1877,2616,3855,5141,8305,7476,7139,2982,757,100,5
1941,40766,4228,1489,230,117,205,208,239,450,710,1120,1280,1561,2122,2874,4040,6151,5728,5340,2104,512,55,2
1942,40898,4306,1359,229,139,187,232,175,339,532,846,1127,1313,1924,2856,4175,6674,6061,5663,2181,519,60,3
1943,36822,5060,1412,319,124,220,267,162,324,517,777,912,1127,1741,2414,3704,5661,5081,4751,1784,416,46,4
1944,40025,5478,1489,255,127,241,301,157,335,498,729,1045,1208,1753,2438,3966,6269,5579,5398,2188,509,59,4
1945,37422,8246,1985,277,143,207,292,213,279,438,735,903,1027,1397,2054,3111,5041,4443,4369,1808,406,47,4
