"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,244,194,27,4,3,2,1,2,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0
1926,273,219,29,4,3,3,1,2,2,1,1,1,2,1,1,3,1,0,0,0,0,0,0
1927,273,214,32,6,3,4,3,1,1,1,0,1,1,1,1,3,0,1,0,0,0,0,0
1928,321,249,46,5,3,3,2,2,2,1,1,1,2,1,1,2,0,1,0,0,0,0,0
1929,419,363,31,4,1,2,1,3,3,1,1,1,2,1,1,2,0,1,0,0,0,0,0
1930,372,302,47,3,2,1,1,2,2,1,1,1,2,1,2,3,0,1,0,0,0,0,0
1931,255,217,10,5,3,2,2,2,3,1,1,1,2,1,2,3,0,0,0,0,0,0,0
1932,281,241,10,7,4,3,2,2,2,1,1,1,1,1,1,3,0,1,0,0,0,0,0
1933,228,185,13,7,4,2,2,2,2,1,1,1,2,1,1,3,0,1,0,0,0,0,0
1934,221,180,10,7,5,2,2,2,2,1,1,1,2,1,1,3,0,1,0,0,0,0,0
1935,186,142,10,7,6,3,3,1,2,1,1,1,2,1,2,3,0,1,0,0,0,0,0
1936,185,140,12,7,6,3,3,1,2,1,1,1,1,1,2,3,0,1,0,0,0,0,0
1937,262,216,16,5,2,3,3,2,3,1,0,1,2,1,1,3,0,2,0,0,0,0,0
1938,433,382,13,5,1,8,3,3,3,2,1,1,2,1,1,3,0,1,0,0,0,0,0
1939,499,448,5,4,1,15,4,7,1,2,1,1,2,1,1,3,0,1,0,0,0,0,0
1940,672,610,8,9,7,6,2,3,5,2,2,2,2,1,2,6,2,2,1,0,0,0,0
1941,569,507,8,7,4,5,3,3,6,3,2,2,3,2,3,6,1,1,1,0,0,0,0
1942,650,598,8,6,3,3,2,2,5,2,2,2,3,2,3,5,1,2,1,0,0,0,0
1943,641,503,42,11,15,10,8,2,5,3,4,5,3,3,6,8,3,4,4,2,0,0,0
1944,759,629,48,20,16,7,5,1,5,2,5,2,5,1,2,5,1,1,2,1,0,0,0
1945,850,694,73,25,14,11,6,2,4,3,2,2,1,1,2,4,1,1,1,0,0,0,0
1946,1066,928,57,27,13,6,6,0,3,3,3,3,3,1,3,4,2,2,1,1,0,0,0
1947,1323,1171,61,20,20,14,6,5,3,3,2,2,2,1,5,4,2,2,1,0,0,0,0
1948,1205,1063,68,14,8,9,10,6,5,3,4,3,3,1,2,4,1,2,1,0,0,0,0
1949,1424,1232,99,17,28,10,10,5,5,1,1,1,2,1,2,5,1,2,1,1,0,0,0
1950,1323,1142,81,10,16,17,8,7,4,1,6,5,5,3,5,5,3,3,2,1,0,0,0
