"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,24805,341,879,352,489,1034,1658,1767,1426,1516,1722,2003,2134,2065,2140,1845,1514,1099,582,195,39,2,0
1926,24240,345,843,451,404,1080,1683,1794,1569,1555,1672,1870,2095,1855,2066,1733,1413,1042,525,202,38,2,1
1927,22010,261,862,445,331,928,1523,1730,1479,1365,1554,1696,1869,1720,1787,1586,1235,949,485,166,36,4,0
1928,22671,225,812,523,351,1077,1593,1836,1596,1463,1640,1658,1848,1803,1798,1630,1209,950,456,162,39,1,1
1929,24421,243,862,534,282,1090,1679,1998,1797,1603,1679,1868,1978,1935,1975,1780,1408,988,497,187,33,4,1
1930,25305,332,828,530,321,1038,1733,2045,1969,1695,1741,1954,1987,2060,2011,1874,1330,1184,425,197,43,5,0
1931,24085,265,706,492,291,909,1642,1962,1873,1595,1596,1757,1913,2142,1921,1801,1272,1175,488,223,56,6,1
1932,24769,261,733,483,389,834,1632,1935,1962,1641,1723,1907,1944,2127,2037,1909,1346,1185,470,195,49,6,0
1933,24529,275,702,498,401,774,1579,1857,1992,1686,1590,1858,1862,2131,2094,1840,1411,1191,510,213,56,7,0
1934,25561,273,715,494,439,672,1628,1904,2059,1923,1708,1919,2061,2160,2168,2007,1402,1245,508,213,55,6,0
1935,25413,215,627,414,441,676,1420,1767,2017,2051,1759,1835,2056,2236,2279,2001,1453,1334,534,232,60,7,0
1936,24079,160,574,435,394,756,1218,1670,1944,2053,1668,1757,1884,1986,2200,1800,1398,1351,533,235,57,6,0
1937,23496,125,522,486,347,748,989,1698,1864,2168,1778,1712,1742,1741,2115,1862,1218,1417,602,282,70,9,1
1938,24915,170,476,477,356,983,860,1587,1731,2421,2127,1761,1863,2024,2300,2011,1396,1302,662,319,78,11,0
1939,23982,162,427,485,359,899,693,1383,1558,2284,1940,1635,1734,2033,2219,2208,1472,1266,755,362,94,13,1
1940,30686,309,766,864,962,1821,946,1130,1672,2249,2722,2433,2614,2575,2653,2362,1803,1626,736,339,92,13,1
1941,19905,221,534,463,502,981,817,851,1150,1461,1804,1665,1511,1597,1661,1597,1119,1159,520,226,59,6,0
