"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,14878,1386,730,101,153,239,190,206,289,458,709,1064,1462,1675,1898,1689,1294,847,360,107,17,4,0
1926,16617,1979,977,130,154,239,225,234,311,465,754,1160,1528,1761,1953,1805,1438,944,399,131,30,2,0
1927,16471,1497,668,146,134,253,203,270,315,456,693,1087,1581,1828,2015,2003,1535,1129,461,175,22,2,0
1928,17237,1914,916,190,138,254,223,286,364,462,741,1051,1562,1842,2082,2010,1482,1108,433,148,30,2,0
1929,17503,1867,793,170,106,219,240,275,390,494,762,1125,1633,1904,2071,2026,1564,1200,466,171,25,1,0
1930,15729,1233,626,274,162,247,254,331,443,484,709,1089,1524,1854,1917,1753,1217,1097,321,156,35,5,0
1931,15354,1135,591,246,185,256,248,323,424,511,679,999,1354,1851,1844,1804,1217,1126,346,167,44,5,0
1932,15624,1073,608,275,256,225,247,312,454,519,731,1058,1418,1842,1847,1855,1255,1113,342,150,39,5,0
1933,15208,998,560,271,243,155,235,302,466,506,686,1009,1358,1881,1877,1802,1259,1083,328,145,40,5,0
1934,15419,870,518,263,230,134,226,320,509,599,733,1082,1369,1894,1915,1824,1273,1118,345,153,41,5,0
1935,15685,761,451,220,223,177,210,269,480,672,762,1092,1553,1919,2072,1818,1275,1137,371,172,47,6,0
1936,15226,671,458,216,231,165,162,264,449,659,896,1064,1517,1881,2037,1676,1211,1104,351,166,43,5,0
1937,15957,696,428,304,161,139,156,237,502,714,971,1238,1559,1769,2142,1811,1333,1158,392,193,50,6,0
1938,16074,676,380,294,141,160,192,238,524,785,1118,1261,1554,1733,2085,1722,1260,1267,418,207,51,7,0
1939,13855,629,316,318,74,148,157,184,463,587,1019,1097,1348,1543,1731,1528,1043,1129,331,162,41,5,0
1940,16581,1133,661,214,196,264,100,121,301,541,931,1191,1525,1855,2009,1937,1428,1362,502,236,65,9,0
1941,16794,737,383,179,190,190,137,135,368,579,1045,1300,1577,1884,2065,2134,1467,1476,599,268,71,8,0
1942,15124,904,428,206,159,204,173,105,286,420,798,933,1173,1545,1691,2063,1534,1505,638,278,72,9,0
1943,12985,1123,386,173,147,212,139,109,266,376,682,774,966,1169,1365,1636,1320,1280,555,238,61,7,1
1944,11521,1029,404,140,151,233,220,146,258,348,574,717,783,1043,1211,1327,1100,1048,498,227,57,7,1
1945,12588,1740,653,151,164,243,197,155,270,392,649,819,851,1064,1206,1296,1040,983,448,210,52,6,1
1946,10784,1206,335,116,135,137,189,116,179,342,536,781,763,889,1045,1194,1105,996,449,213,51,6,1
1947,11455,1358,498,102,121,154,158,137,183,323,565,775,884,959,1075,1266,1117,1032,462,225,54,7,1
1948,11311,930,325,67,82,111,135,167,154,308,558,867,1001,1007,1279,1316,1125,1065,497,247,60,8,1
1949,11820,1039,454,79,89,124,121,153,119,319,593,947,1107,1178,1225,1227,1090,1094,521,264,69,9,1
1950,12032,652,307,57,61,99,97,135,117,269,610,1028,1296,1292,1382,1372,1152,1192,548,276,77,10,3
1951,12746,491,284,51,43,87,91,124,137,301,634,1103,1496,1450,1524,1545,1146,1300,552,295,79,10,2
1952,13383,354,247,50,54,70,110,147,157,234,663,1154,1628,1685,1622,1645,1421,1228,604,250,56,4,0
1953,15081,340,187,54,33,66,78,124,226,259,723,1308,1984,1961,1899,1867,1638,1262,742,271,52,5,1
1954,14815,270,140,29,32,49,77,121,213,214,664,1272,1955,2076,1932,1884,1596,1206,707,293,78,8,0
1955,15817,266,159,52,40,54,73,134,195,239,635,1285,2013,2313,2078,2045,1768,1287,784,319,67,9,1
1956,16683,239,105,53,25,41,78,107,214,313,583,1291,2065,2558,2254,2188,1892,1322,904,345,94,13,1
1957,16164,219,121,34,30,38,50,101,213,319,524,1204,1942,2446,2284,2079,1867,1347,893,373,72,10,0
1958,14842,237,88,40,35,31,46,101,188,323,344,958,1607,2225,2117,2027,1739,1383,902,346,93,11,1
1959,15427,225,91,38,24,29,50,84,194,380,383,1014,1706,2246,2213,2003,1870,1416,931,421,96,12,1
1960,16305,169,57,36,38,13,33,91,190,358,407,979,1803,2451,2626,2108,1962,1455,979,435,99,15,1
1961,16628,156,63,30,32,29,43,90,197,329,497,928,1695,2464,2769,2272,1903,1574,971,466,102,17,1
1962,17421,144,63,21,31,26,34,91,214,419,611,799,1786,2524,2935,2504,2043,1520,1014,499,126,18,1
1963,18546,166,57,37,25,27,34,93,199,448,752,772,1895,2663,3223,2751,2061,1643,1016,532,132,19,1
1964,18236,134,48,24,32,32,33,107,203,459,796,666,1778,2487,3092,2857,2050,1665,1106,514,131,21,1
1965,19339,107,44,27,12,30,21,73,219,511,847,806,1690,2662,3396,3150,2226,1700,1065,583,152,16,3
1966,19700,94,45,11,20,34,36,73,214,485,854,956,1602,2620,3386,3290,2352,1732,1146,569,175,8,0
1967,20710,83,38,25,23,21,48,47,223,506,846,1201,1371,2693,3455,3571,2624,1853,1260,620,173,30,1
1968,20897,124,35,16,20,23,35,58,198,507,848,1290,1300,2621,3326,3737,2670,1899,1322,633,206,29,1
1969,21321,125,46,20,15,24,34,66,205,504,887,1406,1142,2564,3408,3722,2949,1950,1339,674,200,38,1
1970,20825,157,37,18,22,19,38,88,196,482,885,1304,1277,2239,3198,3588,2988,1941,1356,720,241,24,8
1971,21631,154,32,19,22,34,58,70,155,503,965,1414,1550,2102,3201,3672,3234,2024,1376,740,264,40,3
1972,21840,119,28,16,12,24,31,100,177,450,961,1375,1728,1879,3238,3677,3348,2207,1389,790,245,44,4
1973,22421,161,27,26,15,26,64,104,166,448,1039,1544,1910,1715,3203,3698,3349,2315,1438,828,276,63,4
1974,22081,140,34,11,14,27,52,73,175,384,973,1465,2024,1495,3066,3606,3385,2493,1495,844,282,40,3
1975,22562,119,26,13,19,20,36,128,168,401,980,1541,2099,1727,2895,3623,3371,2678,1516,827,302,63,12
1976,22545,101,24,13,17,25,46,92,201,404,929,1576,2097,2022,2559,3437,3442,2736,1538,879,341,65,3
1977,21831,101,21,12,8,24,47,104,187,337,865,1562,1938,2214,2227,3245,3272,2716,1675,883,319,60,14
1978,21398,82,28,19,7,24,33,86,202,302,789,1479,1971,2250,1956,3148,3076,2845,1718,951,361,64,7
1979,21055,44,19,18,12,19,29,98,211,297,711,1399,1966,2346,1657,3069,3129,2807,1851,931,380,56,8
1980,20050,36,21,15,13,24,31,66,189,309,581,1215,1892,2219,1861,2583,2957,2757,1897,910,391,76,7
1981,19957,41,13,4,7,18,22,67,198,305,545,1090,1827,2192,2103,2319,2863,2713,2104,1038,400,84,4
1982,19083,24,13,8,9,12,18,64,180,318,502,1130,1789,2145,2211,1955,2630,2504,2059,1052,380,72,8
1983,18746,15,23,7,7,11,30,66,189,316,485,972,1717,2153,2378,1654,2521,2456,2112,1127,406,88,13
1984,18209,24,14,3,7,12,33,68,182,366,449,856,1589,2141,2416,1464,2341,2456,2081,1192,418,85,12
1985,17321,19,14,6,2,16,25,70,140,372,445,794,1445,1961,2263,1540,2097,2311,2037,1227,430,93,14
1986,16760,27,8,5,7,8,31,52,153,345,485,729,1253,1791,2120,1750,1905,2207,2043,1281,452,95,13
1987,15774,28,14,8,2,8,20,65,123,326,481,636,1137,1719,1994,1834,1519,2080,1956,1273,446,93,12
1988,15179,34,13,8,4,6,16,55,127,334,524,661,1037,1642,1858,1925,1324,1966,1813,1265,459,97,11
1989,14928,30,10,3,2,10,19,38,116,288,551,626,1033,1554,1826,1961,1102,1997,1824,1301,529,98,10
1990,14485,37,8,4,2,9,17,45,128,344,596,570,876,1434,1747,1810,1271,1780,1754,1349,555,133,16
1991,13981,30,9,5,8,8,15,49,113,287,516,656,760,1335,1704,1750,1383,1568,1808,1290,573,103,11
1992,13734,26,12,5,2,9,14,40,117,266,543,686,793,1196,1658,1656,1576,1285,1802,1371,573,97,7
1993,13707,56,7,3,5,10,17,31,107,272,501,746,752,1190,1616,1685,1648,1164,1719,1393,656,117,12
1994,13453,45,5,6,2,6,16,36,105,251,478,771,752,1103,1555,1643,1784,1015,1731,1384,611,144,10
1995,13727,23,4,4,3,7,15,26,101,275,487,828,781,1088,1593,1695,1698,1200,1520,1445,750,171,13
1996,13928,19,8,3,6,2,3,19,101,235,487,873,831,1039,1536,1741,1731,1455,1531,1400,732,161,15
1997,13816,22,2,3,1,11,9,26,87,272,463,857,937,996,1477,1638,1836,1578,1240,1430,713,195,23
1998,13933,30,8,2,4,5,10,19,73,262,471,741,1029,959,1470,1681,1747,1764,1156,1500,780,201,21
