"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,368384,41628,13509,3193,2947,6449,10092,9689,8719,10517,13458,17226,21206,25116,31349,35787,38439,35682,27596,12267,3125,360,28
1926,369385,44550,13523,3877,2624,6444,10354,9861,8921,10451,13173,16458,21495,24036,31084,35474,38007,36552,27064,11975,3027,405,29
1927,347210,37505,12115,4044,2175,6066,9511,9657,8944,9363,11919,14726,19827,22515,29121,34444,36402,36799,26277,12502,2928,348,21
1928,347533,41320,12307,4315,2053,5914,9364,9769,8819,9263,11885,14381,19596,23059,29150,35030,36016,35741,24410,11881,2895,346,18
1929,380492,42138,12674,4670,1798,6105,9843,10338,10054,10040,12845,15902,21662,25624,31783,38417,40705,40281,28378,13613,3216,381,25
1930,341076,35411,10329,4274,1948,5223,8913,9857,10345,9850,12089,15299,19910,24558,29344,34935,37377,34041,23220,11239,2553,333,26
1931,351795,33918,10056,4012,2242,4847,8875,9696,10313,9865,11626,14605,19334,26106,29173,36260,40143,37339,26741,12845,3359,403,35
1932,343496,34197,9897,3910,2569,4037,8522,9002,10261,9866,11215,14439,18705,25514,29182,35729,39384,35502,26528,11619,3029,372,17
1933,344120,30994,9005,3813,2715,3508,7573,8597,10431,10173,11438,14929,18637,25961,30068,36137,40808,35952,27536,12112,3312,406,13
1934,334943,29204,8907,3696,2656,2842,7448,8465,10320,11272,11352,14507,18442,25277,30210,35332,39123,35727,25486,11276,3017,368,14
1935,345738,27287,7636,3394,2555,3145,7094,8161,10684,12161,11973,15009,19210,25752,32093,36421,41235,38029,27381,12637,3445,411,26
1936,338043,26259,7556,3183,2370,3365,6044,7800,10130,12045,12063,14245,18597,24019,32513,34963,40912,38327,27109,12832,3287,395,25
1937,332029,25052,7238,3113,2307,3895,5162,7851,10106,12308,12252,14033,18372,23424,31650,35361,39796,37851,25832,12686,3288,423,27
1938,340401,24915,6699,2967,2248,4199,4876,7817,9973,13045,13408,14161,18797,24014,32064,36159,40587,39595,27423,13580,3377,473,20
1939,324059,23039,5630,2606,1996,4031,3694,6729,8721,11578,12785,13291,17421,22172,30561,35373,40402,39106,27556,13442,3449,451,24
1940,379423,29448,7881,3431,2946,5449,4188,5853,8261,11598,14873,15434,19972,25528,33772,41946,47019,45836,34623,16235,4476,617,36
1941,346044,21839,5658,2777,2242,4420,4954,5677,8404,11692,15316,15961,19057,24095,30813,40267,41598,42656,30782,13743,3659,413,20
1942,332922,23335,5314,2715,2212,4355,5552,4601,7411,9437,12934,13831,16444,21939,28685,39337,42640,42808,31646,13717,3552,428,28
1943,306991,26757,5423,2977,2326,4360,6228,4739,7335,9148,12181,12728,14319,19233,25482,34950,38526,37432,27616,11812,3028,353,37
1944,373512,28518,6480,3765,3930,10503,17939,9609,13390,14460,16960,17530,17441,22055,26980,36784,41413,39498,29200,13268,3347,403,37
1945,310656,39896,7447,2847,2575,4475,7660,5447,6626,8287,10778,12823,13259,17634,23771,31839,37424,35406,26584,12429,3047,366,35
1946,274541,34531,5322,2106,1720,3047,4922,4258,4396,6344,8683,11269,12075,15959,21879,28776,36213,32666,25190,11933,2870,334,45
1947,272917,35200,4497,1515,1427,2893,4354,4260,3727,5984,8324,11927,12814,15776,21251,27664,36195,33458,25688,12554,3002,370,36
1948,264780,28266,3936,1267,1090,2254,3692,4151,3234,5890,8841,12557,13956,16028,22196,27781,35523,33654,24738,12289,3007,390,40
1949,288408,30133,4656,1219,1097,2150,3218,3916,2581,5461,8267,12255,14950,16595,23180,29599,39594,39774,30017,15206,3977,529,35
1950,272213,25904,3940,976,961,1879,2940,3712,2823,4873,8017,12217,15975,16767,21991,28558,36245,37519,28105,14192,3965,504,148
1951,286359,24128,4325,945,824,1710,2785,3637,3249,4500,8133,12609,17162,18114,22824,29896,37448,42519,30254,16232,4385,541,138
1952,266888,21217,4117,983,716,1607,2648,3111,3272,3627,7245,11567,16805,18172,21624,28231,34440,39024,28562,15091,4240,539,50
1953,281699,19628,3455,969,707,1512,2556,3100,3621,3142,7277,11993,17750,19891,22565,30070,36385,42812,32384,16377,4842,600,63
1954,265369,19075,3148,922,655,1426,2417,2946,3755,2901,6904,11529,17237,20024,21781,27958,33601,38366,30208,15359,4491,620,48
