"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,627,5,7,12,25,23,21,7,7,13,13,25,20,25,40,52,62,85,99,63,20,3,0
1926,658,6,8,16,24,24,22,8,8,13,13,25,21,24,41,55,66,93,103,65,21,3,0
1927,724,6,13,23,27,32,28,7,6,10,9,20,22,28,43,58,73,107,110,76,22,3,0
1928,752,13,22,23,23,29,25,8,7,11,11,21,25,31,46,68,79,108,105,73,22,3,0
1929,791,21,16,23,17,29,25,12,12,17,17,28,24,29,45,72,84,106,111,78,23,3,0
1930,751,23,9,25,23,29,23,17,12,16,20,28,28,35,43,75,85,82,102,59,15,2,0
1931,785,23,2,24,28,19,24,6,10,13,14,26,23,32,47,80,98,101,123,70,20,3,0
1932,769,27,14,31,35,16,20,8,11,11,16,23,24,32,47,65,82,97,125,65,19,2,0
1933,746,28,16,20,26,13,21,8,10,14,14,28,22,34,51,64,77,92,124,64,19,3,0
1934,396,23,22,19,21,14,20,9,8,12,19,18,24,33,43,39,31,27,8,4,1,0,0
1935,708,22,7,14,17,12,16,4,10,16,12,17,29,39,53,67,79,89,118,64,19,2,0
1936,709,15,7,16,19,14,10,9,8,12,13,18,28,44,56,75,84,89,112,63,18,2,0
1937,395,4,7,18,12,17,2,8,4,8,16,11,35,26,27,66,35,69,18,9,2,0,0
1938,323,7,8,13,19,11,2,7,4,7,9,10,36,20,30,54,24,36,16,8,2,0,0
1939,377,12,8,10,21,11,2,13,8,10,11,17,32,12,36,55,12,97,6,3,1,0,0
1940,663,13,4,11,18,14,7,4,6,12,16,27,26,38,60,62,66,81,114,63,19,3,0
1941,732,10,20,19,21,20,12,8,8,15,19,24,36,44,65,61,61,108,106,55,16,2,0
1942,771,15,12,12,19,19,12,5,8,10,22,25,35,49,67,71,70,132,114,57,16,2,0
1943,696,12,17,16,28,20,11,6,12,13,19,18,23,38,50,83,83,87,97,48,13,2,0
1944,719,13,6,21,31,19,15,8,11,11,16,24,34,40,55,73,87,90,97,51,14,2,0
1945,688,17,13,25,36,18,16,6,8,10,17,20,23,35,54,58,91,91,89,47,13,2,0
1946,547,12,7,7,14,7,9,2,8,10,11,17,13,34,40,61,86,81,76,42,11,1,0
1947,494,11,4,7,6,6,7,2,2,7,8,14,22,34,38,43,76,74,76,43,11,1,0
1948,439,9,1,7,7,6,2,2,3,6,8,7,17,21,37,52,62,62,75,43,11,2,0
1949,476,7,3,3,9,8,4,4,2,5,4,10,22,16,39,38,73,77,86,50,14,2,0
1950,554,12,2,11,9,9,6,7,3,7,11,17,21,22,42,62,79,86,82,47,14,2,1
1951,582,14,8,5,9,9,8,3,7,2,9,14,23,37,46,63,71,85,93,57,17,2,1
1952,546,13,7,5,8,4,7,3,5,7,9,11,27,18,42,56,86,90,82,61,3,0,0
1953,551,11,10,4,7,7,4,2,6,9,13,17,32,28,40,64,73,89,75,42,18,0,0
1954,504,10,6,5,2,3,8,0,6,5,10,14,30,26,38,63,82,77,76,39,3,0,0
1955,470,5,7,1,3,2,5,4,6,5,9,12,22,28,44,53,61,70,70,43,18,0,0
1956,557,5,4,0,0,0,2,4,5,6,11,16,29,36,47,74,90,88,81,39,16,0,0
1957,535,9,1,3,4,4,2,4,5,5,10,13,26,36,48,71,74,84,76,43,16,0,0
1958,497,3,1,4,1,2,4,4,8,8,0,12,22,33,45,51,73,89,83,50,4,0,0
1959,470,2,4,2,2,5,5,3,4,7,4,15,18,22,42,42,69,80,87,43,13,0,0
1960,520,2,2,1,1,2,3,4,2,6,3,10,24,33,52,64,79,82,72,50,20,3,0
1961,488,5,3,0,0,5,1,2,1,7,7,6,24,45,47,44,68,96,68,50,6,1,0
1962,505,5,3,0,1,2,2,4,2,4,9,11,21,39,42,56,79,80,87,52,6,1,0
1963,521,3,1,1,3,4,2,2,3,6,17,8,22,26,40,67,68,92,81,53,21,1,0
1964,463,2,1,1,4,5,4,2,1,9,6,8,19,30,50,56,53,82,72,48,6,3,0
1965,495,2,1,1,2,2,1,1,3,3,10,10,23,34,64,73,64,70,60,51,20,0,1
1966,466,1,3,2,4,2,1,3,4,3,8,10,18,27,57,65,58,70,74,48,8,0,0
1967,514,4,1,2,2,3,3,2,2,3,8,11,19,33,54,66,79,85,76,41,20,0,0
1968,574,2,0,1,2,7,0,1,3,4,14,14,18,40,81,87,85,106,62,35,10,2,0
