"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,9445,1426,1064,533,352,423,375,253,242,238,268,320,316,399,485,613,760,644,487,204,41,4,0
1926,9816,1651,1134,604,325,445,367,283,259,236,263,295,351,397,487,632,750,657,457,187,34,3,0
1927,10255,1854,1145,721,313,475,405,293,267,252,274,320,352,427,529,674,737,641,388,158,25,3,0
1928,10581,2134,1188,773,288,424,380,310,282,217,290,323,368,434,530,694,744,651,369,154,27,2,0
1929,10782,2023,1163,797,261,462,413,319,312,258,290,323,346,462,521,719,783,698,423,180,28,3,0
1930,10058,1987,856,572,215,333,318,275,308,238,323,349,372,518,574,767,789,709,339,175,37,4,0
1931,9586,1777,836,569,265,250,316,297,295,244,253,309,348,481,529,726,791,718,350,182,44,5,0
1932,9575,1749,898,529,275,226,283,243,296,249,256,312,323,482,566,751,831,721,367,173,42,5,0
1933,9122,1546,774,496,311,170,255,240,284,273,262,318,335,480,529,725,822,708,368,175,44,5,0
1934,8868,1467,756,482,303,162,232,259,318,268,252,280,315,474,520,694,801,710,357,170,42,5,0
1935,8747,1315,662,425,291,189,238,233,312,316,262,299,331,451,558,714,823,732,365,182,46,5,0
1936,8343,1233,643,387,267,201,227,211,289,269,276,281,297,425,589,652,789,703,369,187,44,5,0
1937,8135,1144,631,306,162,169,182,292,333,260,267,292,293,422,590,636,777,719,397,207,50,6,0
1938,8045,1084,589,247,116,136,160,287,325,250,277,308,308,392,573,643,742,799,486,257,60,8,0
1939,7385,841,467,285,115,154,110,254,297,226,266,243,286,355,517,581,740,792,516,269,65,8,0
1940,9312,855,548,287,213,241,136,172,268,267,334,334,348,506,656,915,1098,1090,637,315,83,10,0
1941,9333,689,419,224,168,202,183,189,294,371,438,447,445,551,690,999,1012,1061,593,279,73,7,0
1942,8412,660,365,202,147,204,168,121,217,268,352,326,358,520,657,924,989,1020,577,263,67,7,0
1943,6484,1000,350,179,125,181,146,89,170,163,200,225,215,349,439,670,725,680,364,166,42,5,0
1944,6669,1017,398,173,160,204,168,84,165,157,223,221,217,324,430,645,752,694,396,190,47,5,0
1945,6907,1428,465,214,158,181,176,98,159,167,200,238,213,318,386,570,707,648,358,176,43,5,0
1946,6091,1130,369,156,143,161,135,102,103,126,170,206,185,304,371,544,696,610,355,176,42,5,1
1947,6295,1311,343,114,96,126,127,97,84,136,174,196,217,294,375,546,754,678,380,194,46,5,0
1948,5969,1105,335,111,89,124,105,107,87,122,164,182,221,282,377,532,726,670,378,197,48,6,1
1949,6583,1152,406,104,77,126,104,123,76,129,156,201,221,296,407,603,830,813,450,238,62,8,0
1950,6246,955,316,66,65,108,106,107,70,102,142,207,229,332,415,611,821,829,451,238,67,8,2
1951,6347,886,380,76,52,85,93,86,92,96,159,216,244,276,397,596,838,927,490,272,74,9,2
1952,6347,833,367,78,52,79,91,87,71,71,131,214,270,286,446,638,878,882,568,245,53,6,0
1953,6360,745,322,91,46,70,95,85,94,58,123,204,292,323,421,609,914,970,611,235,50,4,2
1954,6149,710,339,80,44,63,85,88,107,64,130,183,261,335,414,608,851,901,583,244,53,3,1
1955,6100,607,293,79,32,62,74,62,102,70,113,211,259,359,413,603,889,866,677,271,50,8,1
1956,6131,478,234,84,41,58,74,86,91,66,98,186,255,412,431,648,891,950,698,272,67,9,2
1957,6188,535,265,108,52,58,47,71,88,73,81,178,237,389,464,611,910,958,707,283,65,6,2
1958,6052,508,212,72,44,48,57,77,80,105,85,157,265,394,474,607,864,909,711,312,66,7,0
1959,5998,396,237,78,61,64,64,69,83,101,70,185,218,413,497,611,841,898,725,318,60,7,1
1960,5855,362,211,60,52,38,58,68,91,94,85,143,246,363,484,582,874,921,717,325,71,10,1
1961,5903,385,185,71,45,48,38,72,91,101,92,129,227,366,542,583,875,900,702,376,65,10,1
1962,6134,343,222,73,53,66,43,53,86,110,89,114,223,370,542,651,909,916,772,390,95,12,1
1963,6300,376,174,70,60,52,47,60,74,101,109,129,232,368,539,740,872,979,789,409,106,11,1
1964,6145,351,182,65,59,66,49,65,64,96,126,98,229,352,529,681,850,989,768,408,107,12,0
1965,6323,343,168,60,37,68,48,63,71,99,107,101,201,362,591,848,889,958,784,398,114,12,1
1966,6124,327,173,73,48,59,60,61,73,82,94,112,182,353,526,767,872,914,808,402,127,11,1
1967,6334,291,154,77,57,77,53,44,50,81,113,155,155,362,527,834,985,966,780,425,133,13,1
1968,6567,281,135,63,44,65,57,33,64,101,122,163,144,326,558,777,974,1080,941,465,152,19,2
1969,6749,314,141,62,60,81,64,37,65,94,121,170,133,360,563,810,1058,1050,857,515,175,16,2
1970,6333,241,123,51,47,46,67,38,73,94,115,173,149,278,496,777,1030,908,885,554,164,22,3
1971,6129,226,106,56,48,43,63,35,62,92,127,158,142,270,454,733,1001,917,862,506,194,31,2
1972,5731,219,123,58,32,53,55,48,59,89,85,142,173,202,398,658,971,891,795,489,169,19,1
