"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,13870,10,29,17,32,48,65,69,99,204,379,775,1396,1932,2422,2625,1983,1179,456,133,15,0,1
1926,15413,11,36,32,33,53,62,75,108,184,421,851,1559,2044,2827,2832,2286,1343,499,131,23,2,0
1927,17395,5,37,24,28,51,73,89,117,207,455,808,1668,2317,3106,3306,2741,1641,549,156,16,1,0
1928,17793,7,45,34,28,46,68,109,132,221,468,826,1700,2331,3093,3386,2795,1727,578,181,17,3,0
1929,18094,8,38,40,24,56,80,91,154,219,438,832,1740,2376,3172,3455,2811,1772,592,157,36,1,0
1930,17956,3,42,43,27,53,83,112,150,223,443,852,1700,2413,3105,3358,2382,2139,516,249,57,7,1
1931,18305,16,47,43,39,46,67,111,139,198,416,815,1549,2592,3057,3578,2485,2295,501,240,63,8,1
1932,18446,17,55,54,36,45,96,108,154,244,399,907,1487,2561,3123,3501,2522,2270,553,241,63,8,0
1933,18714,11,81,48,44,43,84,106,170,256,438,866,1517,2528,3126,3578,2605,2286,589,259,71,9,0
1934,18697,14,67,52,38,31,61,126,166,290,421,866,1510,2543,3246,3463,2561,2339,573,253,68,8,0
1935,18682,12,78,55,44,43,70,115,194,298,475,841,1509,2453,3186,3449,2531,2326,625,288,79,9,1
1936,19136,21,76,51,44,41,62,115,198,345,492,876,1553,2400,3436,3386,2624,2452,599,283,73,9,1
1937,20143,21,56,59,47,102,91,150,236,347,508,944,1490,2496,3364,3647,2791,2749,638,313,81,10,1
1938,20634,23,60,67,45,155,96,171,246,379,586,955,1547,2456,3434,3673,2826,2841,658,326,81,11,0
1939,18671,20,62,83,47,163,60,159,211,353,582,826,1394,2149,3090,3181,2672,2466,708,345,88,11,1
1940,24696,22,56,61,65,82,56,84,170,373,681,1008,1789,2723,3967,4575,3658,3550,1099,515,142,19,1
1941,26231,22,71,77,57,97,76,112,203,418,797,1177,1897,2902,3941,5004,3705,3784,1198,534,142,16,1
1942,27262,26,65,91,61,88,108,105,240,402,922,1370,1978,2969,4036,5081,3918,3910,1213,525,136,16,1
1943,27241,25,57,67,58,81,82,66,191,396,926,1357,1889,2953,3989,5150,4058,3943,1260,538,138,16,2
1944,26680,25,54,54,46,74,96,68,186,346,842,1441,1983,2891,3757,4927,4067,3879,1227,557,140,17,2
1945,27383,23,61,62,44,79,99,87,182,367,823,1557,1997,2883,4026,4907,4195,3968,1266,591,145,17,2
1946,28954,28,52,65,60,84,111,104,152,394,901,1684,2178,3097,4168,4896,4635,4180,1351,640,154,18,2
1947,31170,31,69,62,50,91,117,136,153,359,886,1892,2352,3228,4362,5176,5038,4656,1550,757,181,22,2
1948,33413,33,105,88,42,112,139,163,139,393,967,2032,2708,3381,4621,5417,5311,5030,1671,830,203,26,3
1949,34331,37,113,93,66,94,124,185,129,381,903,1914,2897,3358,4729,5499,5389,5413,1815,919,240,32,2
1950,35722,31,174,92,73,111,150,176,157,377,880,1966,3175,3593,4585,5727,5461,5652,2003,1011,282,36,11
1951,36476,35,201,80,78,103,155,191,181,302,799,1856,3337,3790,4709,5772,5355,6079,2027,1086,293,36,9
1952,37764,37,176,128,71,116,135,210,235,291,791,1880,3397,4048,4814,5805,6226,5505,2810,918,154,16,2
1953,38265,33,176,111,87,110,151,218,258,272,815,1844,3422,4325,4812,5989,6161,5651,2766,889,157,16,1
1954,38891,39,172,138,80,139,166,206,253,273,797,1832,3350,4592,4927,5768,6194,5672,3140,981,158,13,0
1955,39677,45,155,137,79,94,164,199,292,267,718,1696,3376,4763,5014,5895,6345,5680,3477,1069,190,20,1
1956,41373,41,191,164,102,133,166,208,294,327,652,1726,3420,5078,5370,6051,6426,5925,3752,1146,188,10,2
1957,42924,36,177,156,112,133,152,221,306,353,613,1667,3484,5541,5749,6387,6670,5896,3822,1209,218,17,4
1958,44309,28,172,145,129,120,180,224,308,425,577,1711,3483,5720,6108,6263,6857,6141,3997,1451,247,26,0
1959,45139,38,165,156,145,126,138,241,328,452,455,1729,3493,5739,6545,6368,7074,5978,4142,1530,255,40,2
1960,47119,28,186,168,130,129,156,221,337,471,547,1646,3625,5951,7402,6535,7045,6291,4229,1719,261,39,2
1961,48739,22,162,145,129,122,157,216,303,492,708,1533,3625,6033,7714,7247,7201,6402,4377,1807,295,48,3
1962,50195,30,195,158,154,165,161,219,315,557,806,1447,3569,6056,8164,7608,7230,6618,4386,1928,374,52,2
1963,52626,27,160,135,126,146,148,213,318,526,939,1291,3563,6330,8821,8302,7543,7054,4527,2019,399,36,4
1964,53644,23,187,137,140,164,160,223,323,536,1069,1172,3681,6299,8894,9019,7628,6826,4641,2029,445,42,6
1965,54542,25,156,156,138,204,140,184,312,570,1139,1305,3501,6195,8783,9733,7752,6895,4679,2130,496,45,4
1966,56215,23,166,147,117,198,172,197,299,630,1176,1677,3150,6101,8958,10364,8231,7034,4846,2210,477,38,4
1967,57396,28,150,141,114,186,172,169,278,607,1200,1968,2856,6147,8995,10595,8773,7041,5039,2297,574,59,5
1968,58986,50,156,128,131,183,201,222,295,605,1253,2188,2549,6059,8979,11084,9336,7427,5035,2425,612,60,7
1969,59814,47,157,124,107,168,214,179,270,647,1325,2432,2298,6108,9121,11138,9913,7309,5235,2275,659,79,7
1970,59323,51,121,161,126,174,243,200,292,602,1424,2367,2631,5506,8812,10852,10329,7228,5123,2346,646,73,17
1971,61511,25,109,174,133,156,226,216,265,572,1468,2518,3199,5202,8752,11228,11252,7604,5145,2516,659,73,19
1972,63419,33,142,137,134,155,202,264,292,615,1451,2810,3773,4828,8968,11249,11527,8177,5360,2568,637,87,11
1973,64487,39,123,139,129,188,191,246,269,536,1491,2807,4189,4332,8887,11166,12000,8752,5477,2721,697,100,7
1974,66996,30,130,150,148,196,220,263,273,581,1512,3030,4766,3999,9125,11395,12436,9620,5528,2716,750,115,13
1975,68113,32,123,128,116,162,204,293,284,547,1524,3061,4865,4573,8571,11487,12426,10309,5649,2836,805,107,9
1976,70365,27,117,116,130,158,207,273,338,535,1418,3227,5159,5666,7810,11694,12764,10877,6003,2913,808,114,9
1977,70940,34,116,170,119,153,193,287,328,534,1396,3350,5179,6193,6927,11715,12691,11280,6324,2918,876,140,17
1978,72563,19,147,151,136,170,185,289,343,528,1346,3447,5269,6955,6376,11315,12956,11712,6969,3171,933,130,16
1979,73902,19,104,129,111,156,191,250,375,522,1309,3196,5472,7683,5786,11437,13074,12059,7551,3265,1052,143,19
1980,74815,20,90,149,146,149,193,248,389,567,1324,3239,5592,7716,6589,10695,13104,12152,7930,3351,997,157,19
1981,76214,35,105,103,123,170,195,256,440,567,1231,3108,5782,7627,7710,9830,13053,12550,8479,3567,1103,167,15
1982,76623,26,111,100,131,159,200,224,383,667,1221,2937,5547,8133,8824,8692,12938,12485,8781,3774,1107,162,22
1983,77649,31,96,107,96,133,174,251,336,692,1264,2862,5574,8012,9671,7904,12980,12668,9379,4027,1162,200,31
1984,79408,26,100,102,104,142,163,230,363,725,1263,2766,5517,8319,10649,7286,13203,12990,9603,4450,1211,175,21
1985,80655,24,81,98,75,152,176,253,375,790,1340,2736,5497,8488,10579,8376,12232,13067,10068,4833,1192,193,30
1986,81323,27,79,114,78,147,173,218,369,843,1454,2566,5235,8516,10744,9711,11144,13071,10228,5033,1340,206,27
1987,82708,18,75,93,88,135,167,210,385,794,1514,2467,5063,8475,10839,11109,10152,13280,10375,5678,1545,221,25
1988,83567,19,66,80,61,130,175,180,338,785,1629,2473,5000,8466,10936,12113,8976,13455,10743,6040,1643,241,18
1989,84634,23,73,75,69,117,164,222,309,787,1698,2539,4825,8216,11191,13188,8278,13609,11049,6093,1835,257,17
1990,84586,21,79,76,71,104,148,193,326,778,1836,2663,4531,7920,11171,12953,9402,12534,11159,6339,1964,283,35
1991,85429,11,68,75,76,116,143,214,323,792,1927,2896,4362,7481,11077,12891,11233,11361,11182,6643,2209,321,28
1992,86321,20,69,75,80,101,153,193,324,758,1897,3171,4283,7320,11148,13232,12568,10176,11369,6674,2318,369,23
1993,87247,16,66,71,80,100,134,173,280,707,1838,3343,4165,7053,11101,13198,13795,9217,11807,7083,2565,421,34
1994,85958,12,57,67,81,86,138,195,304,681,1786,3563,4181,6743,10604,13086,14470,8397,11477,7021,2585,398,26
1995,86829,11,56,66,63,96,113,159,302,681,1729,3701,4314,6376,10128,13212,14577,9898,10623,7409,2813,471,31
1996,87649,5,43,55,62,109,134,167,261,628,1708,3550,4860,6261,9845,13150,14554,11424,9745,7633,2894,523,38
1997,87075,14,39,68,63,93,130,149,274,649,1738,3544,4980,6096,9289,12756,14326,12757,8778,7722,3017,550,43
1998,87578,33,41,66,61,98,107,166,250,595,1640,3652,5300,6022,8942,12523,14523,13912,7942,7930,3123,618,34
1999,87374,12,43,47,52,92,135,145,251,487,1583,3415,5525,5901,8651,12289,14548,14948,7306,8014,3222,661,47
