"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,938,115,19,10,17,23,23,26,32,47,52,67,73,65,87,95,85,58,30,11,3,0,0
1926,952,122,22,13,17,24,24,30,33,44,51,66,77,62,87,96,84,59,28,10,2,0,0
1927,952,132,21,10,13,19,18,36,37,43,52,63,70,64,85,97,89,67,27,10,2,0,0
1928,989,136,21,16,16,24,22,38,37,45,53,62,70,66,85,100,86,72,28,10,2,0,0
1929,1020,127,25,20,14,28,23,31,36,43,47,63,78,72,94,103,87,81,32,12,2,0,0
1930,1003,123,33,21,17,29,22,34,35,36,50,58,81,86,85,90,81,81,26,13,3,0,0
1931,954,126,33,15,16,13,19,27,39,45,45,60,75,67,90,89,72,75,30,15,4,0,0
1932,1028,130,20,14,13,8,13,36,43,41,45,62,77,96,102,106,84,82,35,15,4,1,0
1933,1056,124,22,12,13,9,18,28,40,55,47,79,86,93,99,122,84,76,31,13,4,0,0
1934,1046,112,18,13,12,11,17,33,32,54,44,80,88,87,109,119,92,80,28,12,3,0,0
1935,1006,99,13,15,19,17,23,20,44,56,48,67,72,80,108,97,93,85,32,15,4,1,0
1936,1007,92,20,18,12,16,14,27,38,66,52,77,76,70,102,96,89,85,35,17,4,1,0
1937,1089,80,9,10,16,5,20,23,37,79,55,73,61,100,94,96,99,145,55,27,7,1,0
1938,1113,79,10,3,13,8,23,23,45,82,64,66,53,121,86,96,95,151,58,29,7,1,0
1939,964,85,8,4,6,16,20,17,30,66,45,58,50,98,81,75,99,134,44,22,5,1,0
1940,870,123,28,10,11,14,10,11,18,32,37,68,42,55,87,119,84,72,31,14,4,1,0
1941,897,118,15,11,10,11,10,16,25,41,48,89,51,60,85,103,85,75,28,12,3,0,0
1942,882,126,10,7,11,15,9,13,22,33,40,65,51,63,78,107,97,81,35,15,4,1,0
1943,873,131,17,4,4,13,18,17,21,37,43,55,56,63,60,95,86,84,44,19,5,1,0
1944,865,158,19,4,6,13,22,12,30,33,45,52,48,50,75,88,71,68,44,20,5,1,0
1945,841,196,12,4,5,8,24,6,15,38,30,57,51,52,61,76,71,68,42,20,5,1,0
1946,689,163,13,1,3,5,10,9,14,23,27,44,40,31,56,62,66,60,40,19,5,1,0
1947,522,127,15,3,2,3,7,3,6,19,17,39,23,25,37,47,49,46,32,16,4,1,0
1948,424,97,10,0,0,1,8,8,3,14,15,24,26,22,26,37,45,43,27,13,3,0,0
1949,389,81,12,0,0,4,5,5,4,8,15,25,20,22,24,27,45,46,27,14,4,1,0
1950,391,96,10,0,2,2,4,2,4,10,7,24,26,23,26,35,37,39,26,13,4,1,0
1951,448,114,22,1,2,0,2,3,5,8,18,15,30,10,27,34,43,50,38,20,5,1,0
1952,452,112,25,1,2,1,1,1,5,9,9,20,18,28,34,32,41,50,33,23,5,0,0
1953,396,87,15,4,1,1,8,3,2,8,10,23,12,16,18,29,31,51,38,31,5,2,0
1954,366,91,14,0,2,2,1,1,4,2,6,13,14,13,11,25,37,50,38,33,6,1,1
1955,324,70,16,0,0,2,1,0,3,2,4,7,8,10,15,30,36,46,40,23,9,1,0
1956,363,75,10,2,0,1,3,6,2,4,4,5,11,10,13,23,51,46,53,33,10,0,1
1957,335,53,6,2,0,2,0,1,4,1,3,4,12,17,16,21,53,51,48,27,10,2,1
1958,323,67,13,1,1,0,1,2,2,1,4,7,6,12,13,23,29,49,53,33,3,1,0
1959,281,42,1,0,1,1,2,1,1,2,3,7,16,10,15,14,31,52,51,19,9,1,0
1960,281,38,7,0,0,1,0,1,1,2,1,4,8,8,13,27,32,37,53,32,13,2,0
1961,298,30,4,1,0,0,1,1,0,2,3,7,11,12,25,21,33,47,50,30,17,3,0
1962,352,31,8,1,0,2,1,2,2,5,3,3,7,14,13,29,33,54,66,60,14,2,0
1963,323,23,9,0,0,1,1,0,4,2,4,2,4,12,21,25,33,61,57,42,18,2,0
1964,294,12,2,0,1,2,0,0,1,2,6,2,2,9,17,24,32,49,68,41,20,3,0
1965,295,14,3,0,1,1,0,0,1,6,2,3,7,11,16,22,27,44,53,61,21,1,0
1966,231,11,1,0,0,2,2,0,5,3,3,3,5,11,17,18,27,34,40,32,13,3,0
1967,254,5,1,0,0,0,1,2,0,3,3,7,5,7,15,26,36,36,41,42,20,4,0
1968,280,11,1,0,0,0,1,1,1,0,3,3,6,12,12,22,37,53,46,51,17,2,0
1969,257,9,2,0,0,0,1,2,1,3,4,6,2,5,19,25,32,36,53,37,16,2,0
1970,241,4,0,0,0,0,1,0,0,2,2,1,2,11,14,24,22,46,46,38,23,4,0
1971,246,6,2,1,1,2,2,0,1,1,10,7,4,9,16,24,32,30,36,40,15,4,2
1972,255,7,1,0,0,1,3,2,1,2,3,0,5,4,10,16,48,35,48,45,18,5,0
1973,248,2,0,0,0,1,2,0,2,2,3,7,3,6,17,27,30,47,47,34,11,6,0
1974,276,6,2,0,0,2,1,0,0,0,4,4,7,7,4,20,39,46,62,43,24,4,1
1975,329,3,1,0,1,1,2,2,0,5,4,3,15,12,13,33,49,44,57,51,21,11,0
1976,326,2,1,1,0,0,1,0,2,1,1,4,11,8,14,33,55,64,55,51,15,7,0
1977,384,6,1,0,1,0,1,2,3,2,1,4,13,16,8,29,51,83,79,48,22,11,1
1978,443,3,3,1,0,1,2,0,1,2,4,6,11,10,17,29,60,97,95,68,23,9,0
1979,491,0,2,0,0,0,2,2,0,2,4,10,12,11,10,30,80,111,114,60,32,8,1
1980,523,0,0,2,1,0,1,2,5,2,4,2,7,14,10,31,65,111,138,81,37,9,1
1981,498,1,0,0,1,1,2,0,0,1,6,5,7,9,9,34,65,111,127,77,34,8,0
1982,496,2,0,0,0,2,4,3,2,0,0,8,3,4,19,18,65,108,127,85,33,12,1
1983,582,0,0,0,0,2,2,1,5,3,4,3,3,13,25,22,70,114,145,112,47,10,1
1984,574,0,0,0,0,0,0,0,3,3,1,5,8,9,11,21,61,121,149,122,49,11,0
1985,535,0,1,0,0,2,2,0,1,2,5,7,4,9,20,25,54,113,123,114,40,11,2
1986,565,1,0,0,0,0,1,1,2,2,4,5,7,12,16,24,55,112,136,115,56,16,0
1987,544,0,0,0,0,0,1,0,1,3,1,1,5,7,14,19,54,100,138,129,57,13,1
