"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1988,30,0,1,0,0,0,1,0,0,2,0,0,1,1,2,3,2,5,4,4,4,0,0
1989,29,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,5,6,6,4,1,0
1990,51,0,3,0,1,0,1,0,1,2,0,0,1,2,0,5,5,6,9,10,4,1,0
1991,31,1,1,0,0,0,1,0,0,4,0,0,0,4,1,3,1,5,3,2,4,1,0
1992,28,4,0,0,1,0,0,0,0,0,1,0,1,1,2,4,1,1,5,3,3,1,0
1993,29,4,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,2,6,1,6,0,0
1994,26,3,0,1,0,1,0,0,0,0,2,1,0,1,0,3,0,4,1,4,3,2,0
1995,37,2,1,0,0,0,0,1,0,0,0,4,2,2,1,3,2,4,9,3,3,0,0
1996,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,2,1,1,0
1997,28,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,4,2,3,8,1,0
1998,41,1,0,0,0,0,1,1,0,1,0,2,1,0,2,3,5,4,5,9,5,1,0
1999,29,1,1,0,0,0,0,1,0,0,0,1,0,0,4,1,1,8,2,5,2,1,1
